location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Single,,1,0,5,1,1,0.0,0.0,0.0,0.0,2026-01-01,2026-01-06
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Single,,1,6,12,1,1,0.0,0.0,0.0,0.0,2026-01-01,2026-01-06
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Single,,1,13,99,1,1,205.0,0.0,35.0,63.0,2026-01-01,2026-01-06
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Single,,1,0,5,1,1,0.0,0.0,0.0,0.0,2026-01-07,2026-01-31
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Single,,1,6,12,1,1,0.0,0.0,0.0,0.0,2026-01-07,2026-01-31
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Single,,1,13,99,1,1,180.0,0.0,35.0,63.0,2026-01-07,2026-01-31
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Single,,1,0,5,1,1,0.0,0.0,0.0,0.0,2026-02-01,2026-02-28
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Single,,1,6,12,1,1,0.0,0.0,0.0,0.0,2026-02-01,2026-02-28
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Single,,1,13,99,1,1,185.0,0.0,35.0,63.0,2026-02-01,2026-02-28
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Single,,1,0,5,1,1,0.0,0.0,0.0,0.0,2026-03-01,2026-05-31
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Single,,1,6,12,1,1,0.0,0.0,0.0,0.0,2026-03-01,2026-05-31
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Single,,1,13,99,1,1,180.0,0.0,35.0,63.0,2026-03-01,2026-05-31
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Single,,1,0,5,1,1,0.0,0.0,0.0,0.0,2026-06-01,2026-06-15
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Single,,1,6,12,1,1,0.0,0.0,0.0,0.0,2026-06-01,2026-06-15
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Single,,1,13,99,1,1,185.0,0.0,35.0,63.0,2026-06-01,2026-06-15
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Single,,1,0,5,1,1,0.0,0.0,0.0,0.0,2026-06-16,2026-09-15
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Single,,1,6,12,1,1,0.0,0.0,0.0,0.0,2026-06-16,2026-09-15
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Single,,1,13,99,1,1,205.0,0.0,35.0,63.0,2026-06-16,2026-09-15
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Single,,1,0,5,1,1,0.0,0.0,0.0,0.0,2026-09-16,2026-10-31
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Single,,1,6,12,1,1,0.0,0.0,0.0,0.0,2026-09-16,2026-10-31
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Single,,1,13,99,1,1,185.0,0.0,35.0,63.0,2026-09-16,2026-10-31
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Single,,1,0,5,1,1,0.0,0.0,0.0,0.0,2026-11-01,2026-12-20
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Single,,1,6,12,1,1,0.0,0.0,0.0,0.0,2026-11-01,2026-12-20
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Single,,1,13,99,1,1,180.0,0.0,35.0,63.0,2026-11-01,2026-12-20
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Single,,1,0,5,1,1,0.0,0.0,0.0,0.0,2026-12-21,2027-01-06
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Single,,1,6,12,1,1,0.0,0.0,0.0,0.0,2026-12-21,2027-01-06
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Single,,1,13,99,1,1,205.0,0.0,35.0,63.0,2026-12-21,2027-01-06
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Double,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-01-01,2026-01-06
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Double,,2,6,12,1,2,0.0,0.0,0.0,0.0,2026-01-01,2026-01-06
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Double,,2,13,99,1,2,58.75,58.75,35.0,63.0,2026-01-01,2026-01-06
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Double,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-01-07,2026-01-31
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Double,,2,6,12,1,2,0.0,0.0,0.0,0.0,2026-01-07,2026-01-31
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Double,,2,13,99,1,2,52.5,52.5,35.0,63.0,2026-01-07,2026-01-31
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Double,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-02-01,2026-02-28
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Double,,2,6,12,1,2,0.0,0.0,0.0,0.0,2026-02-01,2026-02-28
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Double,,2,13,99,1,2,53.75,53.75,35.0,63.0,2026-02-01,2026-02-28
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Double,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-03-01,2026-05-31
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Double,,2,6,12,1,2,0.0,0.0,0.0,0.0,2026-03-01,2026-05-31
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Double,,2,13,99,1,2,52.5,52.5,35.0,63.0,2026-03-01,2026-05-31
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Double,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-06-01,2026-06-15
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Double,,2,6,12,1,2,0.0,0.0,0.0,0.0,2026-06-01,2026-06-15
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Double,,2,13,99,1,2,53.75,53.75,35.0,63.0,2026-06-01,2026-06-15
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Double,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-06-16,2026-09-15
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Double,,2,6,12,1,2,0.0,0.0,0.0,0.0,2026-06-16,2026-09-15
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Double,,2,13,99,1,2,58.75,58.75,35.0,63.0,2026-06-16,2026-09-15
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Double,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-09-16,2026-10-31
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Double,,2,6,12,1,2,0.0,0.0,0.0,0.0,2026-09-16,2026-10-31
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Double,,2,13,99,1,2,53.75,53.75,35.0,63.0,2026-09-16,2026-10-31
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Double,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-11-01,2026-12-20
,Manual 20260309 105359 Kiwoito Africa Safaris Sto   2,,,,0,,USD,Double,,2,6,12,1,2,0.0,0.0,0.0,0.0,2026-11-01,2026-12-20
