location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,2026-01-01,2026-03-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Single Room,,1,6,12,1,1,260.0,0.0,0.0,0.0,2026-01-01,2026-03-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Single Room,,1,13,17,1,1,390.0,0.0,0.0,0.0,2026-01-01,2026-03-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Single Room,,1,18,99,1,1,520.0,0.0,0.0,0.0,2026-01-01,2026-03-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,2026-04-10,2026-05-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Single Room,,1,6,12,1,1,175.0,0.0,0.0,0.0,2026-04-10,2026-05-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Single Room,,1,13,17,1,1,262.5,0.0,0.0,0.0,2026-04-10,2026-05-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Single Room,,1,18,99,1,1,350.0,0.0,0.0,0.0,2026-04-10,2026-05-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,2026-06-01,2026-12-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Single Room,,1,6,12,1,1,260.0,0.0,0.0,0.0,2026-06-01,2026-12-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Single Room,,1,13,17,1,1,390.0,0.0,0.0,0.0,2026-06-01,2026-12-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Single Room,,1,18,99,1,1,520.0,0.0,0.0,0.0,2026-06-01,2026-12-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-01-01,2026-03-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Double Room,,2,6,12,1,2,220.0,440.0,0.0,0.0,2026-01-01,2026-03-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Double Room,,2,13,17,1,2,330.0,440.0,0.0,0.0,2026-01-01,2026-03-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Double Room,,2,18,99,1,2,440.0,440.0,0.0,0.0,2026-01-01,2026-03-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-04-10,2026-05-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Double Room,,2,6,12,1,2,115.0,230.0,0.0,0.0,2026-04-10,2026-05-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Double Room,,2,13,17,1,2,172.5,230.0,0.0,0.0,2026-04-10,2026-05-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Double Room,,2,18,99,1,2,230.0,230.0,0.0,0.0,2026-04-10,2026-05-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-06-01,2026-12-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Double Room,,2,6,12,1,2,220.0,440.0,0.0,0.0,2026-06-01,2026-12-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Double Room,,2,13,17,1,2,330.0,440.0,0.0,0.0,2026-06-01,2026-12-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Double Room,,2,18,99,1,2,440.0,440.0,0.0,0.0,2026-06-01,2026-12-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Twin Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-01-01,2026-03-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Twin Room,,2,6,12,1,2,220.0,440.0,0.0,0.0,2026-01-01,2026-03-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Twin Room,,2,13,17,1,2,330.0,440.0,0.0,0.0,2026-01-01,2026-03-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Twin Room,,2,18,99,1,2,440.0,440.0,0.0,0.0,2026-01-01,2026-03-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Twin Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-04-10,2026-05-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Twin Room,,2,6,12,1,2,115.0,230.0,0.0,0.0,2026-04-10,2026-05-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Twin Room,,2,13,17,1,2,172.5,230.0,0.0,0.0,2026-04-10,2026-05-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Twin Room,,2,18,99,1,2,230.0,230.0,0.0,0.0,2026-04-10,2026-05-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Twin Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-06-01,2026-12-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Twin Room,,2,6,12,1,2,220.0,440.0,0.0,0.0,2026-06-01,2026-12-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Twin Room,,2,13,17,1,2,330.0,440.0,0.0,0.0,2026-06-01,2026-12-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Twin Room,,2,18,99,1,2,440.0,440.0,0.0,0.0,2026-06-01,2026-12-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Triple Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,2026-01-01,2026-03-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Triple Room,,3,6,12,1,3,165.0,330.0,0.0,0.0,2026-01-01,2026-03-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Triple Room,,3,13,17,1,3,247.5,330.0,0.0,0.0,2026-01-01,2026-03-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Triple Room,,3,18,99,1,3,330.0,330.0,0.0,0.0,2026-01-01,2026-03-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Triple Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,2026-04-10,2026-05-31
,Salinero Serengeti Rateskiwoito Africa Safaris,,,,0,,USD,Triple Room,,3,6,12,1,3,105.0,210.0,0.0,0.0,2026-04-10,2026-05-31
