location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Keys Hotel,,,,0,,USD,Premium Rooms (Single),,1,0,4,1,1,0.0,0.0,0.0,0.0,2026-01-01,2026-12-31
,Keys Hotel,,,,0,,USD,Premium Rooms (Single),,1,5,16,1,1,80.0,0.0,15.0,30.0,2026-01-01,2026-12-31
,Keys Hotel,,,,0,,USD,Premium Rooms (Single),,1,17,99,1,1,80.0,0.0,15.0,30.0,2026-01-01,2026-12-31
,Keys Hotel,,,,0,,USD,Premium Rooms (Double),,2,0,4,1,2,0.0,0.0,0.0,0.0,2026-01-01,2026-12-31
,Keys Hotel,,,,0,,USD,Premium Rooms (Double),,2,5,16,1,2,47.5,47.5,15.0,30.0,2026-01-01,2026-12-31
,Keys Hotel,,,,0,,USD,Premium Rooms (Double),,2,17,99,1,2,47.5,47.5,15.0,30.0,2026-01-01,2026-12-31
,Keys Hotel,,,,0,,USD,Premium Rooms (Triple),,3,0,4,1,3,0.0,0.0,0.0,0.0,2026-01-01,2026-12-31
,Keys Hotel,,,,0,,USD,Premium Rooms (Triple),,3,5,16,1,3,38.33,38.33,15.0,30.0,2026-01-01,2026-12-31
,Keys Hotel,,,,0,,USD,Premium Rooms (Triple),,3,17,99,1,3,38.33,38.33,15.0,30.0,2026-01-01,2026-12-31
,Keys Hotel,,,,0,,USD,African Cottages (Single),,1,0,4,1,1,0.0,0.0,0.0,0.0,2026-01-01,2026-12-31
,Keys Hotel,,,,0,,USD,African Cottages (Single),,1,5,16,1,1,70.0,0.0,15.0,30.0,2026-01-01,2026-12-31
,Keys Hotel,,,,0,,USD,African Cottages (Single),,1,17,99,1,1,70.0,0.0,15.0,30.0,2026-01-01,2026-12-31
,Keys Hotel,,,,0,,USD,African Cottages(Double),,2,0,4,1,2,0.0,0.0,0.0,0.0,2026-01-01,2026-12-31
,Keys Hotel,,,,0,,USD,African Cottages(Double),,2,5,16,1,2,42.5,42.5,15.0,30.0,2026-01-01,2026-12-31
,Keys Hotel,,,,0,,USD,African Cottages(Double),,2,17,99,1,2,42.5,42.5,15.0,30.0,2026-01-01,2026-12-31
,Keys Hotel,,,,0,,USD,African Cottages (Triple),,3,0,4,1,3,0.0,0.0,0.0,0.0,2026-01-01,2026-12-31
,Keys Hotel,,,,0,,USD,African Cottages (Triple),,3,5,16,1,3,35.0,35.0,15.0,30.0,2026-01-01,2026-12-31
,Keys Hotel,,,,0,,USD,African Cottages (Triple),,3,17,99,1,3,35.0,35.0,15.0,30.0,2026-01-01,2026-12-31
