location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room (Single),,1,0,4,1,1,0.0,0.0,0.0,0.0,2026-01-01,2026-03-14
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room (Single),,1,5,16,1,1,35.0,0.0,28.0,55.0,2026-01-01,2026-03-14
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room (Single),,1,17,99,1,1,70.0,0.0,28.0,55.0,2026-01-01,2026-03-14
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room (Single),,1,0,4,1,1,0.0,0.0,0.0,0.0,2026-03-15,2026-06-14
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room (Single),,1,5,16,1,1,23.5,0.0,28.0,55.0,2026-03-15,2026-06-14
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room (Single),,1,17,99,1,1,47.0,0.0,28.0,55.0,2026-03-15,2026-06-14
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room (Single),,1,0,4,1,1,0.0,0.0,0.0,0.0,2026-06-15,2026-10-15
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room (Single),,1,5,16,1,1,35.0,0.0,28.0,55.0,2026-06-15,2026-10-15
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room (Single),,1,17,99,1,1,70.0,0.0,28.0,55.0,2026-06-15,2026-10-15
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room (Single),,1,0,4,1,1,0.0,0.0,0.0,0.0,2026-10-16,2026-12-05
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room (Single),,1,5,16,1,1,23.5,0.0,28.0,55.0,2026-10-16,2026-12-05
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room (Single),,1,17,99,1,1,47.0,0.0,28.0,55.0,2026-10-16,2026-12-05
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room (Single),,1,0,4,1,1,0.0,0.0,0.0,0.0,2026-12-06,2026-12-31
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room (Single),,1,5,16,1,1,35.0,0.0,28.0,55.0,2026-12-06,2026-12-31
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room (Single),,1,17,99,1,1,70.0,0.0,28.0,55.0,2026-12-06,2026-12-31
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room  (Double),,2,0,4,1,2,0.0,0.0,0.0,0.0,2026-01-01,2026-03-14
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room  (Double),,2,5,16,1,2,26.5,53.0,28.0,55.0,2026-01-01,2026-03-14
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room  (Double),,2,17,99,1,2,53.0,53.0,28.0,55.0,2026-01-01,2026-03-14
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room  (Double),,2,0,4,1,2,0.0,0.0,0.0,0.0,2026-03-15,2026-06-14
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room  (Double),,2,5,16,1,2,20.5,41.0,28.0,55.0,2026-03-15,2026-06-14
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room  (Double),,2,17,99,1,2,41.0,41.0,28.0,55.0,2026-03-15,2026-06-14
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room  (Double),,2,0,4,1,2,0.0,0.0,0.0,0.0,2026-06-15,2026-10-15
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room  (Double),,2,5,16,1,2,26.5,53.0,28.0,55.0,2026-06-15,2026-10-15
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room  (Double),,2,17,99,1,2,53.0,53.0,28.0,55.0,2026-06-15,2026-10-15
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room  (Double),,2,0,4,1,2,0.0,0.0,0.0,0.0,2026-10-16,2026-12-05
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room  (Double),,2,5,16,1,2,20.5,41.0,28.0,55.0,2026-10-16,2026-12-05
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room  (Double),,2,17,99,1,2,41.0,41.0,28.0,55.0,2026-10-16,2026-12-05
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room  (Double),,2,0,4,1,2,0.0,0.0,0.0,0.0,2026-12-06,2026-12-31
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room  (Double),,2,5,16,1,2,26.5,53.0,28.0,55.0,2026-12-06,2026-12-31
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room  (Double),,2,17,99,1,2,53.0,53.0,28.0,55.0,2026-12-06,2026-12-31
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room  (Twin),,2,0,4,1,2,0.0,0.0,0.0,0.0,2026-01-01,2026-03-14
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room  (Twin),,2,5,16,1,2,26.5,53.0,28.0,55.0,2026-01-01,2026-03-14
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room  (Twin),,2,17,99,1,2,53.0,53.0,28.0,55.0,2026-01-01,2026-03-14
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room  (Twin),,2,0,4,1,2,0.0,0.0,0.0,0.0,2026-03-15,2026-06-14
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room  (Twin),,2,5,16,1,2,20.5,41.0,28.0,55.0,2026-03-15,2026-06-14
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room  (Twin),,2,17,99,1,2,41.0,41.0,28.0,55.0,2026-03-15,2026-06-14
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room  (Twin),,2,0,4,1,2,0.0,0.0,0.0,0.0,2026-06-15,2026-10-15
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room  (Twin),,2,5,16,1,2,26.5,53.0,28.0,55.0,2026-06-15,2026-10-15
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room  (Twin),,2,17,99,1,2,53.0,53.0,28.0,55.0,2026-06-15,2026-10-15
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room  (Twin),,2,0,4,1,2,0.0,0.0,0.0,0.0,2026-10-16,2026-12-05
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room  (Twin),,2,5,16,1,2,20.5,41.0,28.0,55.0,2026-10-16,2026-12-05
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room  (Twin),,2,17,99,1,2,41.0,41.0,28.0,55.0,2026-10-16,2026-12-05
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room  (Twin),,2,0,4,1,2,0.0,0.0,0.0,0.0,2026-12-06,2026-12-31
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room  (Twin),,2,5,16,1,2,26.5,53.0,28.0,55.0,2026-12-06,2026-12-31
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Standard Room  (Twin),,2,17,99,1,2,53.0,53.0,28.0,55.0,2026-12-06,2026-12-31
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Cottage With Private Garden (Single),,1,0,4,1,1,0.0,0.0,0.0,0.0,2026-01-01,2026-03-14
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Cottage With Private Garden (Single),,1,5,16,1,1,53.0,0.0,28.0,55.0,2026-01-01,2026-03-14
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Cottage With Private Garden (Single),,1,17,99,1,1,106.0,0.0,28.0,55.0,2026-01-01,2026-03-14
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Cottage With Private Garden (Single),,1,0,4,1,1,0.0,0.0,0.0,0.0,2026-03-15,2026-06-14
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Cottage With Private Garden (Single),,1,5,16,1,1,41.0,0.0,28.0,55.0,2026-03-15,2026-06-14
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Cottage With Private Garden (Single),,1,17,99,1,1,82.0,0.0,28.0,55.0,2026-03-15,2026-06-14
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Cottage With Private Garden (Single),,1,0,4,1,1,0.0,0.0,0.0,0.0,2026-06-15,2026-10-15
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Cottage With Private Garden (Single),,1,5,16,1,1,53.0,0.0,28.0,55.0,2026-06-15,2026-10-15
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Cottage With Private Garden (Single),,1,17,99,1,1,106.0,0.0,28.0,55.0,2026-06-15,2026-10-15
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Cottage With Private Garden (Single),,1,0,4,1,1,0.0,0.0,0.0,0.0,2026-10-16,2026-12-05
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Cottage With Private Garden (Single),,1,5,16,1,1,41.0,0.0,28.0,55.0,2026-10-16,2026-12-05
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Cottage With Private Garden (Single),,1,17,99,1,1,82.0,0.0,28.0,55.0,2026-10-16,2026-12-05
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Cottage With Private Garden (Single),,1,0,4,1,1,0.0,0.0,0.0,0.0,2026-12-06,2026-12-31
,Tulivu Kilimanjaro Retreat,,,,0,,USD,Cottage With Private Garden (Single),,1,5,16,1,1,53.0,0.0,28.0,55.0,2026-12-06,2026-12-31
