location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite ( Single),,1,0,3,1,1,0.0,0.0,0.0,0.0,2026-01-06,2026-03-31
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite ( Single),,1,4,11,1,1,429.0,0.0,0.0,0.0,2026-01-06,2026-03-31
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite ( Single),,1,12,15,1,1,717.86,0.0,0.0,0.0,2026-01-06,2026-03-31
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite ( Single),,1,16,99,1,1,1430.0,715.0,0.0,0.0,2026-01-06,2026-03-31
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite ( Single),,1,0,3,1,1,0.0,0.0,0.0,0.0,2026-05-15,2026-06-14
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite ( Single),,1,4,11,1,1,348.0,0.0,0.0,0.0,2026-05-15,2026-06-14
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite ( Single),,1,12,15,1,1,582.32,0.0,0.0,0.0,2026-05-15,2026-06-14
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite ( Single),,1,16,99,1,1,1160.0,580.0,0.0,0.0,2026-05-15,2026-06-14
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite ( Single),,1,0,3,1,1,0.0,0.0,0.0,0.0,2026-06-15,2026-10-31
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite ( Single),,1,4,11,1,1,429.0,0.0,0.0,0.0,2026-06-15,2026-10-31
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite ( Single),,1,12,15,1,1,717.86,0.0,0.0,0.0,2026-06-15,2026-10-31
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite ( Single),,1,16,99,1,1,1430.0,715.0,0.0,0.0,2026-06-15,2026-10-31
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite ( Single),,1,0,3,1,1,0.0,0.0,0.0,0.0,2026-11-01,2026-12-19
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite ( Single),,1,4,11,1,1,348.0,0.0,0.0,0.0,2026-11-01,2026-12-19
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite ( Single),,1,12,15,1,1,582.32,0.0,0.0,0.0,2026-11-01,2026-12-19
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite ( Single),,1,16,99,1,1,1160.0,580.0,0.0,0.0,2026-11-01,2026-12-19
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite ( Single),,1,0,3,1,1,0.0,0.0,0.0,0.0,2026-12-20,2027-01-05
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite ( Single),,1,4,11,1,1,471.0,0.0,0.0,0.0,2026-12-20,2027-01-05
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite ( Single),,1,12,15,1,1,788.14,0.0,0.0,0.0,2026-12-20,2027-01-05
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite ( Single),,1,16,99,1,1,1570.0,785.0,0.0,0.0,2026-12-20,2027-01-05
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite (Double),,2,0,3,1,2,0.0,0.0,0.0,0.0,2026-01-06,2026-03-31
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite (Double),,2,4,11,1,2,429.0,1430.0,0.0,0.0,2026-01-06,2026-03-31
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite (Double),,2,12,15,1,2,717.86,1430.0,0.0,0.0,2026-01-06,2026-03-31
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite (Double),,2,16,99,1,2,1430.0,1430.0,0.0,0.0,2026-01-06,2026-03-31
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite (Double),,2,0,3,1,2,0.0,0.0,0.0,0.0,2026-05-15,2026-06-14
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite (Double),,2,4,11,1,2,348.0,1160.0,0.0,0.0,2026-05-15,2026-06-14
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite (Double),,2,12,15,1,2,582.32,1160.0,0.0,0.0,2026-05-15,2026-06-14
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite (Double),,2,16,99,1,2,1160.0,1160.0,0.0,0.0,2026-05-15,2026-06-14
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite (Double),,2,0,3,1,2,0.0,0.0,0.0,0.0,2026-06-15,2026-10-31
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite (Double),,2,4,11,1,2,429.0,1430.0,0.0,0.0,2026-06-15,2026-10-31
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite (Double),,2,12,15,1,2,717.86,1430.0,0.0,0.0,2026-06-15,2026-10-31
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite (Double),,2,16,99,1,2,1430.0,1430.0,0.0,0.0,2026-06-15,2026-10-31
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite (Double),,2,0,3,1,2,0.0,0.0,0.0,0.0,2026-11-01,2026-12-19
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite (Double),,2,4,11,1,2,348.0,1160.0,0.0,0.0,2026-11-01,2026-12-19
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite (Double),,2,12,15,1,2,582.32,1160.0,0.0,0.0,2026-11-01,2026-12-19
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite (Double),,2,16,99,1,2,1160.0,1160.0,0.0,0.0,2026-11-01,2026-12-19
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite (Double),,2,0,3,1,2,0.0,0.0,0.0,0.0,2026-12-20,2027-01-05
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite (Double),,2,4,11,1,2,471.0,1570.0,0.0,0.0,2026-12-20,2027-01-05
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite (Double),,2,12,15,1,2,788.14,1570.0,0.0,0.0,2026-12-20,2027-01-05
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite (Double),,2,16,99,1,2,1570.0,1570.0,0.0,0.0,2026-12-20,2027-01-05
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite( Triple),,2,0,3,1,2,0.0,0.0,0.0,0.0,2026-01-06,2026-03-31
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite( Triple),,2,4,11,1,2,429.0,1430.0,0.0,0.0,2026-01-06,2026-03-31
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite( Triple),,2,12,15,1,2,717.86,1430.0,0.0,0.0,2026-01-06,2026-03-31
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite( Triple),,2,16,99,1,2,1430.0,1430.0,0.0,0.0,2026-01-06,2026-03-31
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite( Triple),,2,0,3,1,2,0.0,0.0,0.0,0.0,2026-05-15,2026-06-14
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite( Triple),,2,4,11,1,2,348.0,1160.0,0.0,0.0,2026-05-15,2026-06-14
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite( Triple),,2,12,15,1,2,582.32,1160.0,0.0,0.0,2026-05-15,2026-06-14
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite( Triple),,2,16,99,1,2,1160.0,1160.0,0.0,0.0,2026-05-15,2026-06-14
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite( Triple),,2,0,3,1,2,0.0,0.0,0.0,0.0,2026-06-15,2026-10-31
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite( Triple),,2,4,11,1,2,429.0,1430.0,0.0,0.0,2026-06-15,2026-10-31
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite( Triple),,2,12,15,1,2,717.86,1430.0,0.0,0.0,2026-06-15,2026-10-31
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite( Triple),,2,16,99,1,2,1430.0,1430.0,0.0,0.0,2026-06-15,2026-10-31
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite( Triple),,2,0,3,1,2,0.0,0.0,0.0,0.0,2026-11-01,2026-12-19
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite( Triple),,2,4,11,1,2,348.0,1160.0,0.0,0.0,2026-11-01,2026-12-19
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite( Triple),,2,12,15,1,2,582.32,1160.0,0.0,0.0,2026-11-01,2026-12-19
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite( Triple),,2,16,99,1,2,1160.0,1160.0,0.0,0.0,2026-11-01,2026-12-19
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite( Triple),,2,0,3,1,2,0.0,0.0,0.0,0.0,2026-12-20,2027-01-05
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite( Triple),,2,4,11,1,2,471.0,1570.0,0.0,0.0,2026-12-20,2027-01-05
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite( Triple),,2,12,15,1,2,788.14,1570.0,0.0,0.0,2026-12-20,2027-01-05
,legendary mile Tented Lodge,,,,0,,USD,Tented Suite( Triple),,2,16,99,1,2,1570.0,1570.0,0.0,0.0,2026-12-20,2027-01-05
,legendary mile Tented Lodge,,,,0,,USD,Family Tented,,4,0,3,1,4,0.0,0.0,0.0,0.0,2026-01-06,2026-03-31
,legendary mile Tented Lodge,,,,0,,USD,Family Tented,,4,4,11,1,4,374.25,1247.5,0.0,0.0,2026-01-06,2026-03-31
,legendary mile Tented Lodge,,,,0,,USD,Family Tented,,4,12,15,1,4,626.25,1247.5,0.0,0.0,2026-01-06,2026-03-31
,legendary mile Tented Lodge,,,,0,,USD,Family Tented,,4,16,99,1,4,1247.5,1247.5,0.0,0.0,2026-01-06,2026-03-31
,legendary mile Tented Lodge,,,,0,,USD,Family Tented,,4,0,3,1,4,0.0,0.0,0.0,0.0,2026-05-15,2026-06-14
,legendary mile Tented Lodge,,,,0,,USD,Family Tented,,4,4,11,1,4,305.62,1018.75,0.0,0.0,2026-05-15,2026-06-14
,legendary mile Tented Lodge,,,,0,,USD,Family Tented,,4,12,15,1,4,511.41,1018.75,0.0,0.0,2026-05-15,2026-06-14
,legendary mile Tented Lodge,,,,0,,USD,Family Tented,,4,16,99,1,4,1018.75,1018.75,0.0,0.0,2026-05-15,2026-06-14
,legendary mile Tented Lodge,,,,0,,USD,Family Tented,,4,0,3,1,4,0.0,0.0,0.0,0.0,2026-06-15,2026-10-31
,legendary mile Tented Lodge,,,,0,,USD,Family Tented,,4,4,11,1,4,374.25,1247.5,0.0,0.0,2026-06-15,2026-10-31
,legendary mile Tented Lodge,,,,0,,USD,Family Tented,,4,12,15,1,4,626.25,1247.5,0.0,0.0,2026-06-15,2026-10-31
,legendary mile Tented Lodge,,,,0,,USD,Family Tented,,4,16,99,1,4,1247.5,1247.5,0.0,0.0,2026-06-15,2026-10-31
,legendary mile Tented Lodge,,,,0,,USD,Family Tented,,4,0,3,1,4,0.0,0.0,0.0,0.0,2026-11-01,2026-12-19
,legendary mile Tented Lodge,,,,0,,USD,Family Tented,,4,4,11,1,4,305.62,1018.75,0.0,0.0,2026-11-01,2026-12-19
,legendary mile Tented Lodge,,,,0,,USD,Family Tented,,4,12,15,1,4,511.41,1018.75,0.0,0.0,2026-11-01,2026-12-19
,legendary mile Tented Lodge,,,,0,,USD,Family Tented,,4,16,99,1,4,1018.75,1018.75,0.0,0.0,2026-11-01,2026-12-19
,legendary mile Tented Lodge,,,,0,,USD,Family Tented,,4,0,3,1,4,0.0,0.0,0.0,0.0,2026-12-20,2027-01-05
