location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,legendary Nyasi Tented Lodge,,,,0,,USD,Tented Room ( Single),,1,0,3,1,1,0.0,0.0,0.0,0.0,2026-01-06,2026-01-10
,legendary Nyasi Tented Lodge,,,,0,,USD,Tented Room ( Single),,1,4,11,1,1,346.15,0.0,0.0,0.0,2026-01-06,2026-01-10
,legendary Nyasi Tented Lodge,,,,0,,USD,Tented Room ( Single),,1,12,15,1,1,577.3,0.0,0.0,0.0,2026-01-06,2026-01-10
,legendary Nyasi Tented Lodge,,,,0,,USD,Tented Room ( Single),,1,16,99,1,1,1150.0,0.0,0.0,0.0,2026-01-06,2026-01-10
,legendary Nyasi Tented Lodge,,,,0,,USD,Tented Room ( Single),,1,0,3,1,1,0.0,0.0,0.0,0.0,2026-06-01,2026-10-31
,legendary Nyasi Tented Lodge,,,,0,,USD,Tented Room ( Single),,1,4,11,1,1,418.39,0.0,0.0,0.0,2026-06-01,2026-10-31
,legendary Nyasi Tented Lodge,,,,0,,USD,Tented Room ( Single),,1,12,15,1,1,697.78,0.0,0.0,0.0,2026-06-01,2026-10-31
,legendary Nyasi Tented Lodge,,,,0,,USD,Tented Room ( Single),,1,16,99,1,1,1390.0,0.0,0.0,0.0,2026-06-01,2026-10-31
,legendary Nyasi Tented Lodge,,,,0,,USD,Tented Room ( Single),,1,0,3,1,1,0.0,0.0,0.0,0.0,2026-11-01,2026-12-19
,legendary Nyasi Tented Lodge,,,,0,,USD,Tented Room ( Single),,1,4,11,1,1,346.15,0.0,0.0,0.0,2026-11-01,2026-12-19
,legendary Nyasi Tented Lodge,,,,0,,USD,Tented Room ( Single),,1,12,15,1,1,577.3,0.0,0.0,0.0,2026-11-01,2026-12-19
,legendary Nyasi Tented Lodge,,,,0,,USD,Tented Room ( Single),,1,16,99,1,1,1150.0,0.0,0.0,0.0,2026-11-01,2026-12-19
,legendary Nyasi Tented Lodge,,,,0,,USD,Tented Room ( Single),,1,0,3,1,1,0.0,0.0,0.0,0.0,2026-12-20,2027-01-05
,legendary Nyasi Tented Lodge,,,,0,,USD,Tented Room ( Single),,1,4,11,1,1,459.02,0.0,0.0,0.0,2026-12-20,2027-01-05
,legendary Nyasi Tented Lodge,,,,0,,USD,Tented Room ( Single),,1,12,15,1,1,765.55,0.0,0.0,0.0,2026-12-20,2027-01-05
,legendary Nyasi Tented Lodge,,,,0,,USD,Tented Room ( Single),,1,16,99,1,1,1525.0,0.0,0.0,0.0,2026-12-20,2027-01-05
,legendary Nyasi Tented Lodge,,,,0,,USD,Tented Room (Double),,2,0,3,1,2,0.0,0.0,0.0,0.0,2026-01-06,2026-01-10
,legendary Nyasi Tented Lodge,,,,0,,USD,Tented Room (Double),,2,4,11,1,2,346.15,1150.0,0.0,0.0,2026-01-06,2026-01-10
,legendary Nyasi Tented Lodge,,,,0,,USD,Tented Room (Double),,2,12,15,1,2,577.3,1150.0,0.0,0.0,2026-01-06,2026-01-10
,legendary Nyasi Tented Lodge,,,,0,,USD,Tented Room (Double),,2,16,99,1,2,1150.0,1150.0,0.0,0.0,2026-01-06,2026-01-10
,legendary Nyasi Tented Lodge,,,,0,,USD,Tented Room (Double),,2,0,3,1,2,0.0,0.0,0.0,0.0,2026-06-01,2026-10-31
,legendary Nyasi Tented Lodge,,,,0,,USD,Tented Room (Double),,2,4,11,1,2,418.39,1390.0,0.0,0.0,2026-06-01,2026-10-31
,legendary Nyasi Tented Lodge,,,,0,,USD,Tented Room (Double),,2,12,15,1,2,697.78,1390.0,0.0,0.0,2026-06-01,2026-10-31
,legendary Nyasi Tented Lodge,,,,0,,USD,Tented Room (Double),,2,16,99,1,2,1390.0,1390.0,0.0,0.0,2026-06-01,2026-10-31
,legendary Nyasi Tented Lodge,,,,0,,USD,Tented Room (Double),,2,0,3,1,2,0.0,0.0,0.0,0.0,2026-11-01,2026-12-19
,legendary Nyasi Tented Lodge,,,,0,,USD,Tented Room (Double),,2,4,11,1,2,346.15,1150.0,0.0,0.0,2026-11-01,2026-12-19
,legendary Nyasi Tented Lodge,,,,0,,USD,Tented Room (Double),,2,12,15,1,2,577.3,1150.0,0.0,0.0,2026-11-01,2026-12-19
,legendary Nyasi Tented Lodge,,,,0,,USD,Tented Room (Double),,2,16,99,1,2,1150.0,1150.0,0.0,0.0,2026-11-01,2026-12-19
