location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Foot on Africa Campsite,,,,0,,USD,Tembo Room( Single),,1,0,4,1,1,0.0,0.0,0.0,0.0,2026-01-01,2026-02-28
,Foot on Africa Campsite,,,,0,,USD,Tembo Room( Single),,1,5,12,1,1,150.0,0.0,0.0,0.0,2026-01-01,2026-02-28
,Foot on Africa Campsite,,,,0,,USD,Tembo Room( Single),,1,13,99,1,1,300.0,0.0,0.0,0.0,2026-01-01,2026-02-28
,Foot on Africa Campsite,,,,0,,USD,Tembo Room( Single),,1,0,4,1,1,0.0,0.0,0.0,0.0,2026-03-01,2026-05-31
,Foot on Africa Campsite,,,,0,,USD,Tembo Room( Single),,1,5,12,1,1,150.0,0.0,0.0,0.0,2026-03-01,2026-05-31
,Foot on Africa Campsite,,,,0,,USD,Tembo Room( Single),,1,13,99,1,1,300.0,0.0,0.0,0.0,2026-03-01,2026-05-31
,Foot on Africa Campsite,,,,0,,USD,Tembo Room( Single),,1,0,4,1,1,0.0,0.0,0.0,0.0,2026-06-01,2026-06-30
,Foot on Africa Campsite,,,,0,,USD,Tembo Room( Single),,1,5,12,1,1,150.0,0.0,0.0,0.0,2026-06-01,2026-06-30
,Foot on Africa Campsite,,,,0,,USD,Tembo Room( Single),,1,13,99,1,1,300.0,0.0,0.0,0.0,2026-06-01,2026-06-30
,Foot on Africa Campsite,,,,0,,USD,Tembo Room( Single),,1,0,4,1,1,0.0,0.0,0.0,0.0,2026-07-01,2026-08-31
,Foot on Africa Campsite,,,,0,,USD,Tembo Room( Single),,1,5,12,1,1,150.0,0.0,0.0,0.0,2026-07-01,2026-08-31
,Foot on Africa Campsite,,,,0,,USD,Tembo Room( Single),,1,13,99,1,1,300.0,0.0,0.0,0.0,2026-07-01,2026-08-31
,Foot on Africa Campsite,,,,0,,USD,Tembo Room( Single),,1,0,4,1,1,0.0,0.0,0.0,0.0,2026-09-01,2026-11-30
,Foot on Africa Campsite,,,,0,,USD,Tembo Room( Single),,1,5,12,1,1,150.0,0.0,0.0,0.0,2026-09-01,2026-11-30
,Foot on Africa Campsite,,,,0,,USD,Tembo Room( Single),,1,13,99,1,1,300.0,0.0,0.0,0.0,2026-09-01,2026-11-30
,Foot on Africa Campsite,,,,0,,USD,Tembo Room( Single),,1,0,4,1,1,0.0,0.0,0.0,0.0,2026-12-01,2026-12-31
,Foot on Africa Campsite,,,,0,,USD,Tembo Room( Single),,1,5,12,1,1,150.0,0.0,0.0,0.0,2026-12-01,2026-12-31
,Foot on Africa Campsite,,,,0,,USD,Tembo Room( Single),,1,13,99,1,1,300.0,0.0,0.0,0.0,2026-12-01,2026-12-31
,Foot on Africa Campsite,,,,0,,USD,Tembo Room ( Double),,2,0,4,1,2,0.0,0.0,0.0,0.0,2026-01-01,2026-02-28
,Foot on Africa Campsite,,,,0,,USD,Tembo Room ( Double),,2,5,12,1,2,75.0,150.0,0.0,0.0,2026-01-01,2026-02-28
