location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Arusha Explorers Lodge,,,,0,,USD,Single Room,,1,0,3,1,1,0.0,0.0,0.0,0.0,2026-01-01,2026-03-15
,Arusha Explorers Lodge,,,,0,,USD,Single Room,,1,4,12,1,1,85.5,0.0,0.0,15.0,2026-01-01,2026-03-15
,Arusha Explorers Lodge,,,,0,,USD,Single Room,,1,13,99,1,1,171.0,0.0,0.0,15.0,2026-01-01,2026-03-15
,Arusha Explorers Lodge,,,,0,,USD,Single Room,,1,0,3,1,1,0.0,0.0,0.0,0.0,2026-03-16,2026-06-30
,Arusha Explorers Lodge,,,,0,,USD,Single Room,,1,4,12,1,1,77.0,0.0,0.0,15.0,2026-03-16,2026-06-30
,Arusha Explorers Lodge,,,,0,,USD,Single Room,,1,13,99,1,1,154.0,0.0,0.0,15.0,2026-03-16,2026-06-30
,Arusha Explorers Lodge,,,,0,,USD,Single Room,,1,0,3,1,1,0.0,0.0,0.0,0.0,2026-07-01,2027-01-15
,Arusha Explorers Lodge,,,,0,,USD,Single Room,,1,4,12,1,1,85.5,0.0,0.0,15.0,2026-07-01,2027-01-15
,Arusha Explorers Lodge,,,,0,,USD,Single Room,,1,13,99,1,1,171.0,0.0,0.0,15.0,2026-07-01,2027-01-15
,Arusha Explorers Lodge,,,,0,,USD,Double Room,,2,0,3,1,2,0.0,0.0,0.0,0.0,2026-01-01,2026-03-15
,Arusha Explorers Lodge,,,,0,,USD,Double Room,,2,4,12,1,2,67.5,135.0,0.0,15.0,2026-01-01,2026-03-15
,Arusha Explorers Lodge,,,,0,,USD,Double Room,,2,13,99,1,2,135.0,135.0,0.0,15.0,2026-01-01,2026-03-15
,Arusha Explorers Lodge,,,,0,,USD,Double Room,,2,0,3,1,2,0.0,0.0,0.0,0.0,2026-03-16,2026-06-30
,Arusha Explorers Lodge,,,,0,,USD,Double Room,,2,4,12,1,2,60.5,121.0,0.0,15.0,2026-03-16,2026-06-30
,Arusha Explorers Lodge,,,,0,,USD,Double Room,,2,13,99,1,2,121.0,121.0,0.0,15.0,2026-03-16,2026-06-30
,Arusha Explorers Lodge,,,,0,,USD,Double Room,,2,0,3,1,2,0.0,0.0,0.0,0.0,2026-07-01,2027-01-15
,Arusha Explorers Lodge,,,,0,,USD,Double Room,,2,4,12,1,2,67.5,135.0,0.0,15.0,2026-07-01,2027-01-15
,Arusha Explorers Lodge,,,,0,,USD,Double Room,,2,13,99,1,2,135.0,135.0,0.0,15.0,2026-07-01,2027-01-15
,Arusha Explorers Lodge,,,,0,,USD,Twin Room,,2,0,3,1,2,0.0,0.0,0.0,0.0,2026-01-01,2026-03-15
,Arusha Explorers Lodge,,,,0,,USD,Twin Room,,2,4,12,1,2,67.5,135.0,0.0,15.0,2026-01-01,2026-03-15
,Arusha Explorers Lodge,,,,0,,USD,Twin Room,,2,13,99,1,2,135.0,135.0,0.0,15.0,2026-01-01,2026-03-15
,Arusha Explorers Lodge,,,,0,,USD,Twin Room,,2,0,3,1,2,0.0,0.0,0.0,0.0,2026-03-16,2026-06-30
,Arusha Explorers Lodge,,,,0,,USD,Twin Room,,2,4,12,1,2,60.5,121.0,0.0,15.0,2026-03-16,2026-06-30
,Arusha Explorers Lodge,,,,0,,USD,Twin Room,,2,13,99,1,2,121.0,121.0,0.0,15.0,2026-03-16,2026-06-30
,Arusha Explorers Lodge,,,,0,,USD,Twin Room,,2,0,3,1,2,0.0,0.0,0.0,0.0,2026-07-01,2027-01-15
,Arusha Explorers Lodge,,,,0,,USD,Twin Room,,2,4,12,1,2,67.5,135.0,0.0,15.0,2026-07-01,2027-01-15
,Arusha Explorers Lodge,,,,0,,USD,Twin Room,,2,13,99,1,2,135.0,135.0,0.0,15.0,2026-07-01,2027-01-15
,Arusha Explorers Lodge,,,,0,,USD,Triple Room,,3,0,3,1,3,0.0,0.0,0.0,0.0,2026-01-01,2026-03-15
,Arusha Explorers Lodge,,,,0,,USD,Triple Room,,3,4,12,1,3,64.17,128.33,0.0,15.0,2026-01-01,2026-03-15
,Arusha Explorers Lodge,,,,0,,USD,Triple Room,,3,13,99,1,3,128.33,128.33,0.0,15.0,2026-01-01,2026-03-15
,Arusha Explorers Lodge,,,,0,,USD,Triple Room,,3,0,3,1,3,0.0,0.0,0.0,0.0,2026-03-16,2026-06-30
,Arusha Explorers Lodge,,,,0,,USD,Triple Room,,3,4,12,1,3,57.84,115.67,0.0,15.0,2026-03-16,2026-06-30
,Arusha Explorers Lodge,,,,0,,USD,Triple Room,,3,13,99,1,3,115.67,115.67,0.0,15.0,2026-03-16,2026-06-30
,Arusha Explorers Lodge,,,,0,,USD,Triple Room,,3,0,3,1,3,0.0,0.0,0.0,0.0,2026-07-01,2027-01-15
,Arusha Explorers Lodge,,,,0,,USD,Triple Room,,3,4,12,1,3,64.17,128.33,0.0,15.0,2026-07-01,2027-01-15
,Arusha Explorers Lodge,,,,0,,USD,Triple Room,,3,13,99,1,3,128.33,128.33,0.0,15.0,2026-07-01,2027-01-15
,Arusha Explorers Lodge,,,,0,,USD,Family Room,,4,0,3,1,4,0.0,0.0,0.0,0.0,2026-01-01,2026-03-15
,Arusha Explorers Lodge,,,,0,,USD,Family Room,,4,4,12,1,4,61.88,123.75,0.0,15.0,2026-01-01,2026-03-15
,Arusha Explorers Lodge,,,,0,,USD,Family Room,,4,13,99,1,4,123.75,123.75,0.0,15.0,2026-01-01,2026-03-15
,Arusha Explorers Lodge,,,,0,,USD,Family Room,,4,0,3,1,4,0.0,0.0,0.0,0.0,2026-03-16,2026-06-30
,Arusha Explorers Lodge,,,,0,,USD,Family Room,,4,4,12,1,4,56.38,112.75,0.0,15.0,2026-03-16,2026-06-30
,Arusha Explorers Lodge,,,,0,,USD,Family Room,,4,13,99,1,4,112.75,112.75,0.0,15.0,2026-03-16,2026-06-30
,Arusha Explorers Lodge,,,,0,,USD,Family Room,,4,0,3,1,4,0.0,0.0,0.0,0.0,2026-07-01,2027-01-15
,Arusha Explorers Lodge,,,,0,,USD,Family Room,,4,4,12,1,4,61.88,123.75,0.0,15.0,2026-07-01,2027-01-15
,Arusha Explorers Lodge,,,,0,,USD,Family Room,,4,13,99,1,4,123.75,123.75,0.0,15.0,2026-07-01,2027-01-15
