location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Serengeti Orangi River Luxury Lodge,,,,0,,USD,Single Room,,1,0,3,1,1,0.0,0.0,0.0,0.0,2026-01-01,2026-03-15
,Serengeti Orangi River Luxury Lodge,,,,0,,USD,Single Room,,1,4,12,1,1,215.0,0.0,0.0,0.0,2026-01-01,2026-03-15
,Serengeti Orangi River Luxury Lodge,,,,0,,USD,Single Room,,1,13,99,1,1,430.0,0.0,0.0,0.0,2026-01-01,2026-03-15
,Serengeti Orangi River Luxury Lodge,,,,0,,USD,Single Room,,1,0,3,1,1,0.0,0.0,0.0,0.0,2026-03-16,2026-06-30
,Serengeti Orangi River Luxury Lodge,,,,0,,USD,Single Room,,1,4,12,1,1,175.0,0.0,0.0,0.0,2026-03-16,2026-06-30
,Serengeti Orangi River Luxury Lodge,,,,0,,USD,Single Room,,1,13,99,1,1,350.0,0.0,0.0,0.0,2026-03-16,2026-06-30
,Serengeti Orangi River Luxury Lodge,,,,0,,USD,Single Room,,1,0,3,1,1,0.0,0.0,0.0,0.0,2026-07-01,2027-01-15
,Serengeti Orangi River Luxury Lodge,,,,0,,USD,Single Room,,1,4,12,1,1,215.0,0.0,0.0,0.0,2026-07-01,2027-01-15
,Serengeti Orangi River Luxury Lodge,,,,0,,USD,Single Room,,1,13,99,1,1,430.0,0.0,0.0,0.0,2026-07-01,2027-01-15
,Serengeti Orangi River Luxury Lodge,,,,0,,USD,Double Room,,2,0,3,1,2,0.0,0.0,0.0,0.0,2026-01-01,2026-03-15
,Serengeti Orangi River Luxury Lodge,,,,0,,USD,Double Room,,2,4,12,1,2,187.5,375.0,0.0,0.0,2026-01-01,2026-03-15
,Serengeti Orangi River Luxury Lodge,,,,0,,USD,Double Room,,2,13,99,1,2,375.0,375.0,0.0,0.0,2026-01-01,2026-03-15
,Serengeti Orangi River Luxury Lodge,,,,0,,USD,Double Room,,2,0,3,1,2,0.0,0.0,0.0,0.0,2026-03-16,2026-06-30
,Serengeti Orangi River Luxury Lodge,,,,0,,USD,Double Room,,2,4,12,1,2,150.0,300.0,0.0,0.0,2026-03-16,2026-06-30
,Serengeti Orangi River Luxury Lodge,,,,0,,USD,Double Room,,2,13,99,1,2,300.0,300.0,0.0,0.0,2026-03-16,2026-06-30
,Serengeti Orangi River Luxury Lodge,,,,0,,USD,Double Room,,2,0,3,1,2,0.0,0.0,0.0,0.0,2026-07-01,2027-01-15
,Serengeti Orangi River Luxury Lodge,,,,0,,USD,Double Room,,2,4,12,1,2,187.5,375.0,0.0,0.0,2026-07-01,2027-01-15
,Serengeti Orangi River Luxury Lodge,,,,0,,USD,Double Room,,2,13,99,1,2,375.0,375.0,0.0,0.0,2026-07-01,2027-01-15
,Serengeti Orangi River Luxury Lodge,,,,0,,USD,Twin Room,,2,0,3,1,2,0.0,0.0,0.0,0.0,2026-01-01,2026-03-15
,Serengeti Orangi River Luxury Lodge,,,,0,,USD,Twin Room,,2,4,12,1,2,187.5,375.0,0.0,0.0,2026-01-01,2026-03-15
,Serengeti Orangi River Luxury Lodge,,,,0,,USD,Twin Room,,2,13,99,1,2,375.0,375.0,0.0,0.0,2026-01-01,2026-03-15
,Serengeti Orangi River Luxury Lodge,,,,0,,USD,Twin Room,,2,0,3,1,2,0.0,0.0,0.0,0.0,2026-03-16,2026-06-30
,Serengeti Orangi River Luxury Lodge,,,,0,,USD,Twin Room,,2,4,12,1,2,150.0,300.0,0.0,0.0,2026-03-16,2026-06-30
,Serengeti Orangi River Luxury Lodge,,,,0,,USD,Twin Room,,2,13,99,1,2,300.0,300.0,0.0,0.0,2026-03-16,2026-06-30
