location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Mawe Tented Camps,,,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,2026-01-01,2026-02-28
,Mawe Tented Camps,,,,0,,USD,Single Room,,1,6,15,1,1,105.0,0.0,0.0,0.0,2026-01-01,2026-02-28
,Mawe Tented Camps,,,,0,,USD,Single Room,,1,16,99,1,1,210.0,0.0,0.0,0.0,2026-01-01,2026-02-28
,Mawe Tented Camps,,,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,2026-03-01,2026-06-30
,Mawe Tented Camps,,,,0,,USD,Single Room,,1,6,15,1,1,81.5,0.0,0.0,0.0,2026-03-01,2026-06-30
,Mawe Tented Camps,,,,0,,USD,Single Room,,1,16,99,1,1,163.0,0.0,0.0,0.0,2026-03-01,2026-06-30
,Mawe Tented Camps,,,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,2026-07-01,2026-10-31
,Mawe Tented Camps,,,,0,,USD,Single Room,,1,6,15,1,1,125.0,0.0,0.0,0.0,2026-07-01,2026-10-31
,Mawe Tented Camps,,,,0,,USD,Single Room,,1,16,99,1,1,250.0,0.0,0.0,0.0,2026-07-01,2026-10-31
,Mawe Tented Camps,,,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,2026-11-01,2026-12-21
,Mawe Tented Camps,,,,0,,USD,Single Room,,1,6,15,1,1,81.5,0.0,0.0,0.0,2026-11-01,2026-12-21
,Mawe Tented Camps,,,,0,,USD,Single Room,,1,16,99,1,1,163.0,0.0,0.0,0.0,2026-11-01,2026-12-21
,Mawe Tented Camps,,,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,2026-12-22,2027-01-05
,Mawe Tented Camps,,,,0,,USD,Single Room,,1,6,15,1,1,125.0,0.0,0.0,0.0,2026-12-22,2027-01-05
,Mawe Tented Camps,,,,0,,USD,Single Room,,1,16,99,1,1,250.0,0.0,0.0,0.0,2026-12-22,2027-01-05
,Mawe Tented Camps,,,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-01-01,2026-02-28
,Mawe Tented Camps,,,,0,,USD,Double Room,,2,6,15,1,2,95.0,190.0,0.0,0.0,2026-01-01,2026-02-28
,Mawe Tented Camps,,,,0,,USD,Double Room,,2,16,99,1,2,190.0,190.0,0.0,0.0,2026-01-01,2026-02-28
,Mawe Tented Camps,,,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-03-01,2026-06-30
,Mawe Tented Camps,,,,0,,USD,Double Room,,2,6,15,1,2,75.0,150.0,0.0,0.0,2026-03-01,2026-06-30
,Mawe Tented Camps,,,,0,,USD,Double Room,,2,16,99,1,2,150.0,150.0,0.0,0.0,2026-03-01,2026-06-30
,Mawe Tented Camps,,,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-07-01,2026-10-31
,Mawe Tented Camps,,,,0,,USD,Double Room,,2,6,15,1,2,107.5,215.0,0.0,0.0,2026-07-01,2026-10-31
,Mawe Tented Camps,,,,0,,USD,Double Room,,2,16,99,1,2,215.0,215.0,0.0,0.0,2026-07-01,2026-10-31
,Mawe Tented Camps,,,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-11-01,2026-12-21
,Mawe Tented Camps,,,,0,,USD,Double Room,,2,6,15,1,2,75.0,150.0,0.0,0.0,2026-11-01,2026-12-21
,Mawe Tented Camps,,,,0,,USD,Double Room,,2,16,99,1,2,150.0,150.0,0.0,0.0,2026-11-01,2026-12-21
,Mawe Tented Camps,,,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-12-22,2027-01-05
,Mawe Tented Camps,,,,0,,USD,Double Room,,2,6,15,1,2,107.5,215.0,0.0,0.0,2026-12-22,2027-01-05
,Mawe Tented Camps,,,,0,,USD,Double Room,,2,16,99,1,2,215.0,215.0,0.0,0.0,2026-12-22,2027-01-05
,Mawe Tented Camps,,,,0,,USD,Twin Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-01-01,2026-02-28
,Mawe Tented Camps,,,,0,,USD,Twin Room,,2,6,15,1,2,95.0,190.0,0.0,0.0,2026-01-01,2026-02-28
,Mawe Tented Camps,,,,0,,USD,Twin Room,,2,16,99,1,2,190.0,190.0,0.0,0.0,2026-01-01,2026-02-28
,Mawe Tented Camps,,,,0,,USD,Twin Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-03-01,2026-06-30
,Mawe Tented Camps,,,,0,,USD,Twin Room,,2,6,15,1,2,75.0,150.0,0.0,0.0,2026-03-01,2026-06-30
,Mawe Tented Camps,,,,0,,USD,Twin Room,,2,16,99,1,2,150.0,150.0,0.0,0.0,2026-03-01,2026-06-30
,Mawe Tented Camps,,,,0,,USD,Twin Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-07-01,2026-10-31
,Mawe Tented Camps,,,,0,,USD,Twin Room,,2,6,15,1,2,107.5,215.0,0.0,0.0,2026-07-01,2026-10-31
,Mawe Tented Camps,,,,0,,USD,Twin Room,,2,16,99,1,2,215.0,215.0,0.0,0.0,2026-07-01,2026-10-31
,Mawe Tented Camps,,,,0,,USD,Twin Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-11-01,2026-12-21
,Mawe Tented Camps,,,,0,,USD,Twin Room,,2,6,15,1,2,75.0,150.0,0.0,0.0,2026-11-01,2026-12-21
,Mawe Tented Camps,,,,0,,USD,Twin Room,,2,16,99,1,2,150.0,150.0,0.0,0.0,2026-11-01,2026-12-21
,Mawe Tented Camps,,,,0,,USD,Twin Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-12-22,2027-01-05
,Mawe Tented Camps,,,,0,,USD,Twin Room,,2,6,15,1,2,107.5,215.0,0.0,0.0,2026-12-22,2027-01-05
,Mawe Tented Camps,,,,0,,USD,Twin Room,,2,16,99,1,2,215.0,215.0,0.0,0.0,2026-12-22,2027-01-05
,Mawe Tented Camps,,,,0,,USD,Triple Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,2026-01-01,2026-02-28
,Mawe Tented Camps,,,,0,,USD,Triple Room,,3,6,15,1,3,90.0,180.0,0.0,0.0,2026-01-01,2026-02-28
,Mawe Tented Camps,,,,0,,USD,Triple Room,,3,16,99,1,3,180.0,180.0,0.0,0.0,2026-01-01,2026-02-28
,Mawe Tented Camps,,,,0,,USD,Triple Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,2026-03-01,2026-06-30
,Mawe Tented Camps,,,,0,,USD,Triple Room,,3,6,15,1,3,70.0,140.0,0.0,0.0,2026-03-01,2026-06-30
,Mawe Tented Camps,,,,0,,USD,Triple Room,,3,16,99,1,3,140.0,140.0,0.0,0.0,2026-03-01,2026-06-30
,Mawe Tented Camps,,,,0,,USD,Triple Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,2026-07-01,2026-10-31
,Mawe Tented Camps,,,,0,,USD,Triple Room,,3,6,15,1,3,95.0,190.0,0.0,0.0,2026-07-01,2026-10-31
,Mawe Tented Camps,,,,0,,USD,Triple Room,,3,16,99,1,3,190.0,190.0,0.0,0.0,2026-07-01,2026-10-31
,Mawe Tented Camps,,,,0,,USD,Triple Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,2026-11-01,2026-12-21
,Mawe Tented Camps,,,,0,,USD,Triple Room,,3,6,15,1,3,70.0,140.0,0.0,0.0,2026-11-01,2026-12-21
,Mawe Tented Camps,,,,0,,USD,Triple Room,,3,16,99,1,3,140.0,140.0,0.0,0.0,2026-11-01,2026-12-21
,Mawe Tented Camps,,,,0,,USD,Triple Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,2026-12-22,2027-01-05
,Mawe Tented Camps,,,,0,,USD,Triple Room,,3,6,15,1,3,95.0,190.0,0.0,0.0,2026-12-22,2027-01-05
,Mawe Tented Camps,,,,0,,USD,Triple Room,,3,16,99,1,3,190.0,190.0,0.0,0.0,2026-12-22,2027-01-05
,Mawe Tented Camps,,,,0,,USD,Family Suite,,4,0,5,1,4,0.0,0.0,0.0,0.0,2026-01-01,2026-02-28
,Mawe Tented Camps,,,,0,,USD,Family Suite,,4,6,15,1,4,92.5,185.0,0.0,0.0,2026-01-01,2026-02-28
,Mawe Tented Camps,,,,0,,USD,Family Suite,,4,16,99,1,4,185.0,185.0,0.0,0.0,2026-01-01,2026-02-28
,Mawe Tented Camps,,,,0,,USD,Family Suite,,4,0,5,1,4,0.0,0.0,0.0,0.0,2026-03-01,2026-06-30
,Mawe Tented Camps,,,,0,,USD,Family Suite,,4,6,15,1,4,72.5,145.0,0.0,0.0,2026-03-01,2026-06-30
,Mawe Tented Camps,,,,0,,USD,Family Suite,,4,16,99,1,4,145.0,145.0,0.0,0.0,2026-03-01,2026-06-30
,Mawe Tented Camps,,,,0,,USD,Family Suite,,4,0,5,1,4,0.0,0.0,0.0,0.0,2026-07-01,2026-10-31
,Mawe Tented Camps,,,,0,,USD,Family Suite,,4,6,15,1,4,95.0,190.0,0.0,0.0,2026-07-01,2026-10-31
,Mawe Tented Camps,,,,0,,USD,Family Suite,,4,16,99,1,4,190.0,190.0,0.0,0.0,2026-07-01,2026-10-31
,Mawe Tented Camps,,,,0,,USD,Family Suite,,4,0,5,1,4,0.0,0.0,0.0,0.0,2026-11-01,2026-12-21
,Mawe Tented Camps,,,,0,,USD,Family Suite,,4,6,15,1,4,72.5,145.0,0.0,0.0,2026-11-01,2026-12-21
,Mawe Tented Camps,,,,0,,USD,Family Suite,,4,16,99,1,4,145.0,145.0,0.0,0.0,2026-11-01,2026-12-21
,Mawe Tented Camps,,,,0,,USD,Family Suite,,4,0,5,1,4,0.0,0.0,0.0,0.0,2026-12-22,2027-01-05
,Mawe Tented Camps,,,,0,,USD,Family Suite,,4,6,15,1,4,95.0,190.0,0.0,0.0,2026-12-22,2027-01-05
,Mawe Tented Camps,,,,0,,USD,Family Suite,,4,16,99,1,4,190.0,190.0,0.0,0.0,2026-12-22,2027-01-05
