location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Karatu Tented Lodge,,,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,2026-01-01,2026-02-28
,Karatu Tented Lodge,,,,0,,USD,Single Room,,1,6,15,1,1,52.5,0.0,0.0,0.0,2026-01-01,2026-02-28
,Karatu Tented Lodge,,,,0,,USD,Single Room,,1,16,99,1,1,105.0,0.0,0.0,0.0,2026-01-01,2026-02-28
,Karatu Tented Lodge,,,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,2026-03-01,2026-06-30
,Karatu Tented Lodge,,,,0,,USD,Single Room,,1,6,15,1,1,45.0,0.0,0.0,0.0,2026-03-01,2026-06-30
,Karatu Tented Lodge,,,,0,,USD,Single Room,,1,16,99,1,1,90.0,0.0,0.0,0.0,2026-03-01,2026-06-30
,Karatu Tented Lodge,,,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,2026-07-01,2026-10-31
,Karatu Tented Lodge,,,,0,,USD,Single Room,,1,6,15,1,1,55.0,0.0,0.0,0.0,2026-07-01,2026-10-31
,Karatu Tented Lodge,,,,0,,USD,Single Room,,1,16,99,1,1,110.0,0.0,0.0,0.0,2026-07-01,2026-10-31
,Karatu Tented Lodge,,,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,2026-11-01,2026-12-21
,Karatu Tented Lodge,,,,0,,USD,Single Room,,1,6,15,1,1,45.0,0.0,0.0,0.0,2026-11-01,2026-12-21
,Karatu Tented Lodge,,,,0,,USD,Single Room,,1,16,99,1,1,90.0,0.0,0.0,0.0,2026-11-01,2026-12-21
,Karatu Tented Lodge,,,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,2026-12-22,2027-01-05
,Karatu Tented Lodge,,,,0,,USD,Single Room,,1,6,15,1,1,55.0,0.0,0.0,0.0,2026-12-22,2027-01-05
,Karatu Tented Lodge,,,,0,,USD,Single Room,,1,16,99,1,1,110.0,0.0,0.0,0.0,2026-12-22,2027-01-05
,Karatu Tented Lodge,,,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-01-01,2026-02-28
,Karatu Tented Lodge,,,,0,,USD,Double Room,,2,6,15,1,2,47.5,95.0,0.0,0.0,2026-01-01,2026-02-28
,Karatu Tented Lodge,,,,0,,USD,Double Room,,2,16,99,1,2,95.0,95.0,0.0,0.0,2026-01-01,2026-02-28
,Karatu Tented Lodge,,,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-03-01,2026-06-30
,Karatu Tented Lodge,,,,0,,USD,Double Room,,2,6,15,1,2,42.5,85.0,0.0,0.0,2026-03-01,2026-06-30
,Karatu Tented Lodge,,,,0,,USD,Double Room,,2,16,99,1,2,85.0,85.0,0.0,0.0,2026-03-01,2026-06-30
,Karatu Tented Lodge,,,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-07-01,2026-10-31
,Karatu Tented Lodge,,,,0,,USD,Double Room,,2,6,15,1,2,52.5,105.0,0.0,0.0,2026-07-01,2026-10-31
,Karatu Tented Lodge,,,,0,,USD,Double Room,,2,16,99,1,2,105.0,105.0,0.0,0.0,2026-07-01,2026-10-31
,Karatu Tented Lodge,,,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-11-01,2026-12-21
,Karatu Tented Lodge,,,,0,,USD,Double Room,,2,6,15,1,2,42.5,85.0,0.0,0.0,2026-11-01,2026-12-21
,Karatu Tented Lodge,,,,0,,USD,Double Room,,2,16,99,1,2,85.0,85.0,0.0,0.0,2026-11-01,2026-12-21
,Karatu Tented Lodge,,,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-12-22,2027-01-05
,Karatu Tented Lodge,,,,0,,USD,Double Room,,2,6,15,1,2,52.5,105.0,0.0,0.0,2026-12-22,2027-01-05
,Karatu Tented Lodge,,,,0,,USD,Double Room,,2,16,99,1,2,105.0,105.0,0.0,0.0,2026-12-22,2027-01-05
,Karatu Tented Lodge,,,,0,,USD,Twin Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-01-01,2026-02-28
,Karatu Tented Lodge,,,,0,,USD,Twin Room,,2,6,15,1,2,47.5,95.0,0.0,0.0,2026-01-01,2026-02-28
,Karatu Tented Lodge,,,,0,,USD,Twin Room,,2,16,99,1,2,95.0,95.0,0.0,0.0,2026-01-01,2026-02-28
,Karatu Tented Lodge,,,,0,,USD,Twin Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-03-01,2026-06-30
,Karatu Tented Lodge,,,,0,,USD,Twin Room,,2,6,15,1,2,42.5,85.0,0.0,0.0,2026-03-01,2026-06-30
,Karatu Tented Lodge,,,,0,,USD,Twin Room,,2,16,99,1,2,85.0,85.0,0.0,0.0,2026-03-01,2026-06-30
,Karatu Tented Lodge,,,,0,,USD,Twin Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-07-01,2026-10-31
,Karatu Tented Lodge,,,,0,,USD,Twin Room,,2,6,15,1,2,52.5,105.0,0.0,0.0,2026-07-01,2026-10-31
,Karatu Tented Lodge,,,,0,,USD,Twin Room,,2,16,99,1,2,105.0,105.0,0.0,0.0,2026-07-01,2026-10-31
,Karatu Tented Lodge,,,,0,,USD,Twin Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-11-01,2026-12-21
,Karatu Tented Lodge,,,,0,,USD,Twin Room,,2,6,15,1,2,42.5,85.0,0.0,0.0,2026-11-01,2026-12-21
,Karatu Tented Lodge,,,,0,,USD,Twin Room,,2,16,99,1,2,85.0,85.0,0.0,0.0,2026-11-01,2026-12-21
,Karatu Tented Lodge,,,,0,,USD,Twin Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-12-22,2027-01-05
,Karatu Tented Lodge,,,,0,,USD,Twin Room,,2,6,15,1,2,52.5,105.0,0.0,0.0,2026-12-22,2027-01-05
,Karatu Tented Lodge,,,,0,,USD,Twin Room,,2,16,99,1,2,105.0,105.0,0.0,0.0,2026-12-22,2027-01-05
