location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,GNU Migration Camp,,,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,2026-01-01,2026-03-31
,GNU Migration Camp,,,,0,,USD,Single Room,,1,6,15,1,1,125.0,0.0,0.0,0.0,2026-01-01,2026-03-31
,GNU Migration Camp,,,,0,,USD,Single Room,,1,16,99,1,1,250.0,0.0,0.0,0.0,2026-01-01,2026-03-31
,GNU Migration Camp,,,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,2026-06-01,2027-11-15
,GNU Migration Camp,,,,0,,USD,Single Room,,1,6,15,1,1,125.0,0.0,0.0,0.0,2026-06-01,2027-11-15
,GNU Migration Camp,,,,0,,USD,Single Room,,1,16,99,1,1,250.0,0.0,0.0,0.0,2026-06-01,2027-11-15
,GNU Migration Camp,,,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,2026-12-20,2026-12-31
,GNU Migration Camp,,,,0,,USD,Single Room,,1,6,15,1,1,125.0,0.0,0.0,0.0,2026-12-20,2026-12-31
,GNU Migration Camp,,,,0,,USD,Single Room,,1,16,99,1,1,250.0,0.0,0.0,0.0,2026-12-20,2026-12-31
,GNU Migration Camp,,,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-01-01,2026-03-31
,GNU Migration Camp,,,,0,,USD,Double Room,,2,6,15,1,2,110.0,220.0,0.0,0.0,2026-01-01,2026-03-31
,GNU Migration Camp,,,,0,,USD,Double Room,,2,16,99,1,2,220.0,220.0,0.0,0.0,2026-01-01,2026-03-31
,GNU Migration Camp,,,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-06-01,2027-11-15
,GNU Migration Camp,,,,0,,USD,Double Room,,2,6,15,1,2,110.0,220.0,0.0,0.0,2026-06-01,2027-11-15
,GNU Migration Camp,,,,0,,USD,Double Room,,2,16,99,1,2,220.0,220.0,0.0,0.0,2026-06-01,2027-11-15
,GNU Migration Camp,,,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,2026-12-20,2026-12-31
,GNU Migration Camp,,,,0,,USD,Double Room,,2,6,15,1,2,110.0,220.0,0.0,0.0,2026-12-20,2026-12-31
