location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Manual 20260316 112534 Olea Collection Rates 2 1,,,,0,,USD,Single,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Manual 20260316 112534 Olea Collection Rates 2 1,,,,0,,USD,Single,,1,5,12,1,1,227.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Manual 20260316 112534 Olea Collection Rates 2 1,,,,0,,USD,Single,,1,13,99,1,1,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Manual 20260316 112534 Olea Collection Rates 2 1,,,,0,,USD,Single,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Manual 20260316 112534 Olea Collection Rates 2 1,,,,0,,USD,Single,,1,5,12,1,1,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Manual 20260316 112534 Olea Collection Rates 2 1,,,,0,,USD,Single,,1,13,99,1,1,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Manual 20260316 112534 Olea Collection Rates 2 1,,,,0,,USD,Single,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/06/2026,31/07/2026
,Manual 20260316 112534 Olea Collection Rates 2 1,,,,0,,USD,Single,,1,5,12,1,1,0.0,0.0,0.0,0.0,01/06/2026,31/07/2026
,Manual 20260316 112534 Olea Collection Rates 2 1,,,,0,,USD,Single,,1,13,99,1,1,0.0,0.0,0.0,0.0,01/06/2026,31/07/2026
,Manual 20260316 112534 Olea Collection Rates 2 1,,,,0,,USD,Single,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/08/2026,31/12/2026
,Manual 20260316 112534 Olea Collection Rates 2 1,,,,0,,USD,Single,,1,5,12,1,1,227.0,0.0,0.0,0.0,01/08/2026,31/12/2026
,Manual 20260316 112534 Olea Collection Rates 2 1,,,,0,,USD,Single,,1,13,99,1,1,0.0,0.0,0.0,0.0,01/08/2026,31/12/2026
,Manual 20260316 112534 Olea Collection Rates 2 1,,,,0,,USD,Double,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Manual 20260316 112534 Olea Collection Rates 2 1,,,,0,,USD,Double,,2,5,12,1,2,85.75,171.5,0.0,0.0,01/01/2026,31/03/2026
,Manual 20260316 112534 Olea Collection Rates 2 1,,,,0,,USD,Double,,2,13,99,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Manual 20260316 112534 Olea Collection Rates 2 1,,,,0,,USD,Double,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Manual 20260316 112534 Olea Collection Rates 2 1,,,,0,,USD,Double,,2,5,12,1,2,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Manual 20260316 112534 Olea Collection Rates 2 1,,,,0,,USD,Double,,2,13,99,1,2,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Manual 20260316 112534 Olea Collection Rates 2 1,,,,0,,USD,Double,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/07/2026
,Manual 20260316 112534 Olea Collection Rates 2 1,,,,0,,USD,Double,,2,5,12,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/07/2026
,Manual 20260316 112534 Olea Collection Rates 2 1,,,,0,,USD,Double,,2,13,99,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/07/2026
,Manual 20260316 112534 Olea Collection Rates 2 1,,,,0,,USD,Double,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/08/2026,31/12/2026
,Manual 20260316 112534 Olea Collection Rates 2 1,,,,0,,USD,Double,,2,5,12,1,2,85.75,171.5,0.0,0.0,01/08/2026,31/12/2026
,Manual 20260316 112534 Olea Collection Rates 2 1,,,,0,,USD,Double,,2,13,99,1,2,0.0,0.0,0.0,0.0,01/08/2026,31/12/2026
,Manual 20260316 112534 Olea Collection Rates 2 1,,,,0,,USD,Triple,,3,0,4,1,3,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Manual 20260316 112534 Olea Collection Rates 2 1,,,,0,,USD,Triple,,3,5,12,1,3,75.67,151.33,0.0,0.0,01/01/2026,31/03/2026
,Manual 20260316 112534 Olea Collection Rates 2 1,,,,0,,USD,Triple,,3,13,99,1,3,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Manual 20260316 112534 Olea Collection Rates 2 1,,,,0,,USD,Triple,,3,0,4,1,3,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Manual 20260316 112534 Olea Collection Rates 2 1,,,,0,,USD,Triple,,3,5,12,1,3,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Manual 20260316 112534 Olea Collection Rates 2 1,,,,0,,USD,Triple,,3,13,99,1,3,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Manual 20260316 112534 Olea Collection Rates 2 1,,,,0,,USD,Triple,,3,0,4,1,3,0.0,0.0,0.0,0.0,01/06/2026,31/07/2026
,Manual 20260316 112534 Olea Collection Rates 2 1,,,,0,,USD,Triple,,3,5,12,1,3,0.0,0.0,0.0,0.0,01/06/2026,31/07/2026
,Manual 20260316 112534 Olea Collection Rates 2 1,,,,0,,USD,Triple,,3,13,99,1,3,0.0,0.0,0.0,0.0,01/06/2026,31/07/2026
,Manual 20260316 112534 Olea Collection Rates 2 1,,,,0,,USD,Triple,,3,0,4,1,3,0.0,0.0,0.0,0.0,01/08/2026,31/12/2026
,Manual 20260316 112534 Olea Collection Rates 2 1,,,,0,,USD,Triple,,3,5,12,1,3,75.67,151.33,0.0,0.0,01/08/2026,31/12/2026
,Manual 20260316 112534 Olea Collection Rates 2 1,,,,0,,USD,Triple,,3,13,99,1,3,0.0,0.0,0.0,0.0,01/08/2026,31/12/2026
