location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Arukore Simba Camp,,,,0,,USD,Single Room,,1,0,12,1,1,177.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Arukore Simba Camp,,,,0,,USD,Single Room,,1,13,16,1,1,265.5,0.0,0.0,0.0,01/01/2026,31/03/2026
,Arukore Simba Camp,,,,0,,USD,Single Room,,1,17,99,1,1,354.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Arukore Simba Camp,,,,0,,USD,Single Room,,1,0,12,1,1,135.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Arukore Simba Camp,,,,0,,USD,Single Room,,1,13,16,1,1,202.5,0.0,0.0,0.0,01/04/2026,31/05/2026
,Arukore Simba Camp,,,,0,,USD,Single Room,,1,17,99,1,1,270.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Arukore Simba Camp,,,,0,,USD,Single Room,,1,0,12,1,1,225.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Arukore Simba Camp,,,,0,,USD,Single Room,,1,13,16,1,1,337.5,0.0,0.0,0.0,01/06/2026,31/10/2026
,Arukore Simba Camp,,,,0,,USD,Single Room,,1,17,99,1,1,450.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Arukore Simba Camp,,,,0,,USD,Single Room,,1,0,12,1,1,177.0,0.0,0.0,0.0,01/11/2026,15/12/2026
,Arukore Simba Camp,,,,0,,USD,Single Room,,1,13,16,1,1,265.5,0.0,0.0,0.0,01/11/2026,15/12/2026
,Arukore Simba Camp,,,,0,,USD,Single Room,,1,17,99,1,1,354.0,0.0,0.0,0.0,01/11/2026,15/12/2026
,Arukore Simba Camp,,,,0,,USD,Single Room,,1,0,12,1,1,225.0,0.0,0.0,0.0,16/12/2026,03/01/2027
,Arukore Simba Camp,,,,0,,USD,Single Room,,1,13,16,1,1,337.5,0.0,0.0,0.0,16/12/2026,03/01/2027
,Arukore Simba Camp,,,,0,,USD,Single Room,,1,17,99,1,1,450.0,0.0,0.0,0.0,16/12/2026,03/01/2027
,Arukore Simba Camp,,,,0,,USD,Double Room,,2,0,12,1,2,120.0,240.0,0.0,0.0,01/01/2026,31/03/2026
,Arukore Simba Camp,,,,0,,USD,Double Room,,2,13,16,1,2,180.0,240.0,0.0,0.0,01/01/2026,31/03/2026
,Arukore Simba Camp,,,,0,,USD,Double Room,,2,17,99,1,2,240.0,240.0,0.0,0.0,01/01/2026,31/03/2026
,Arukore Simba Camp,,,,0,,USD,Double Room,,2,0,12,1,2,90.0,180.0,0.0,0.0,01/04/2026,31/05/2026
,Arukore Simba Camp,,,,0,,USD,Double Room,,2,13,16,1,2,135.0,180.0,0.0,0.0,01/04/2026,31/05/2026
,Arukore Simba Camp,,,,0,,USD,Double Room,,2,17,99,1,2,180.0,180.0,0.0,0.0,01/04/2026,31/05/2026
,Arukore Simba Camp,,,,0,,USD,Double Room,,2,0,12,1,2,149.5,299.0,0.0,0.0,01/06/2026,31/10/2026
,Arukore Simba Camp,,,,0,,USD,Double Room,,2,13,16,1,2,224.25,299.0,0.0,0.0,01/06/2026,31/10/2026
,Arukore Simba Camp,,,,0,,USD,Double Room,,2,17,99,1,2,299.0,299.0,0.0,0.0,01/06/2026,31/10/2026
,Arukore Simba Camp,,,,0,,USD,Double Room,,2,0,12,1,2,120.0,240.0,0.0,0.0,01/11/2026,15/12/2026
,Arukore Simba Camp,,,,0,,USD,Double Room,,2,13,16,1,2,180.0,240.0,0.0,0.0,01/11/2026,15/12/2026
,Arukore Simba Camp,,,,0,,USD,Double Room,,2,17,99,1,2,240.0,240.0,0.0,0.0,01/11/2026,15/12/2026
,Arukore Simba Camp,,,,0,,USD,Double Room,,2,0,12,1,2,149.5,299.0,0.0,0.0,16/12/2026,03/01/2027
,Arukore Simba Camp,,,,0,,USD,Double Room,,2,13,16,1,2,224.25,299.0,0.0,0.0,16/12/2026,03/01/2027
,Arukore Simba Camp,,,,0,,USD,Double Room,,2,17,99,1,2,299.0,299.0,0.0,0.0,16/12/2026,03/01/2027
,Arukore Simba Camp,,,,0,,USD,Twin Room,,2,0,12,1,2,120.0,240.0,0.0,0.0,01/01/2026,31/03/2026
,Arukore Simba Camp,,,,0,,USD,Twin Room,,2,13,16,1,2,180.0,240.0,0.0,0.0,01/01/2026,31/03/2026
,Arukore Simba Camp,,,,0,,USD,Twin Room,,2,17,99,1,2,240.0,240.0,0.0,0.0,01/01/2026,31/03/2026
,Arukore Simba Camp,,,,0,,USD,Twin Room,,2,0,12,1,2,90.0,180.0,0.0,0.0,01/04/2026,31/05/2026
,Arukore Simba Camp,,,,0,,USD,Twin Room,,2,13,16,1,2,135.0,180.0,0.0,0.0,01/04/2026,31/05/2026
,Arukore Simba Camp,,,,0,,USD,Twin Room,,2,17,99,1,2,180.0,180.0,0.0,0.0,01/04/2026,31/05/2026
,Arukore Simba Camp,,,,0,,USD,Twin Room,,2,0,12,1,2,149.5,299.0,0.0,0.0,01/06/2026,31/10/2026
,Arukore Simba Camp,,,,0,,USD,Twin Room,,2,13,16,1,2,224.25,299.0,0.0,0.0,01/06/2026,31/10/2026
,Arukore Simba Camp,,,,0,,USD,Twin Room,,2,17,99,1,2,299.0,299.0,0.0,0.0,01/06/2026,31/10/2026
,Arukore Simba Camp,,,,0,,USD,Twin Room,,2,0,12,1,2,120.0,240.0,0.0,0.0,01/11/2026,15/12/2026
,Arukore Simba Camp,,,,0,,USD,Twin Room,,2,13,16,1,2,180.0,240.0,0.0,0.0,01/11/2026,15/12/2026
,Arukore Simba Camp,,,,0,,USD,Twin Room,,2,17,99,1,2,240.0,240.0,0.0,0.0,01/11/2026,15/12/2026
,Arukore Simba Camp,,,,0,,USD,Twin Room,,2,0,12,1,2,149.5,299.0,0.0,0.0,16/12/2026,03/01/2027
,Arukore Simba Camp,,,,0,,USD,Twin Room,,2,13,16,1,2,224.25,299.0,0.0,0.0,16/12/2026,03/01/2027
,Arukore Simba Camp,,,,0,,USD,Twin Room,,2,17,99,1,2,299.0,299.0,0.0,0.0,16/12/2026,03/01/2027
