location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Serengeti Simba Lodge,,,,0,,USD,Single Room,,1,0,12,1,1,81.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Serengeti Simba Lodge,,,,0,,USD,Single Room,,1,13,16,1,1,121.5,0.0,0.0,0.0,01/01/2026,31/03/2026
,Serengeti Simba Lodge,,,,0,,USD,Single Room,,1,17,99,1,1,162.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Serengeti Simba Lodge,,,,0,,USD,Single Room,,1,0,12,1,1,50.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Serengeti Simba Lodge,,,,0,,USD,Single Room,,1,13,16,1,1,75.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Serengeti Simba Lodge,,,,0,,USD,Single Room,,1,17,99,1,1,100.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Serengeti Simba Lodge,,,,0,,USD,Single Room,,1,0,12,1,1,105.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Serengeti Simba Lodge,,,,0,,USD,Single Room,,1,13,16,1,1,157.5,0.0,0.0,0.0,01/06/2026,31/10/2026
,Serengeti Simba Lodge,,,,0,,USD,Single Room,,1,17,99,1,1,210.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Serengeti Simba Lodge,,,,0,,USD,Single Room,,1,0,12,1,1,81.0,0.0,0.0,0.0,01/11/2026,15/12/2026
,Serengeti Simba Lodge,,,,0,,USD,Single Room,,1,13,16,1,1,121.5,0.0,0.0,0.0,01/11/2026,15/12/2026
,Serengeti Simba Lodge,,,,0,,USD,Single Room,,1,17,99,1,1,162.0,0.0,0.0,0.0,01/11/2026,15/12/2026
,Serengeti Simba Lodge,,,,0,,USD,Single Room,,1,0,12,1,1,105.0,0.0,0.0,0.0,16/12/2026,03/01/2027
,Serengeti Simba Lodge,,,,0,,USD,Single Room,,1,13,16,1,1,157.5,0.0,0.0,0.0,16/12/2026,03/01/2027
,Serengeti Simba Lodge,,,,0,,USD,Single Room,,1,17,99,1,1,210.0,0.0,0.0,0.0,16/12/2026,03/01/2027
,Serengeti Simba Lodge,,,,0,,USD,Double Room,,2,0,12,1,2,78.0,156.0,0.0,0.0,01/01/2026,31/03/2026
,Serengeti Simba Lodge,,,,0,,USD,Double Room,,2,13,16,1,2,117.0,156.0,0.0,0.0,01/01/2026,31/03/2026
,Serengeti Simba Lodge,,,,0,,USD,Double Room,,2,17,99,1,2,156.0,156.0,0.0,0.0,01/01/2026,31/03/2026
,Serengeti Simba Lodge,,,,0,,USD,Double Room,,2,0,12,1,2,50.0,100.0,0.0,0.0,01/04/2026,31/05/2026
,Serengeti Simba Lodge,,,,0,,USD,Double Room,,2,13,16,1,2,75.0,100.0,0.0,0.0,01/04/2026,31/05/2026
,Serengeti Simba Lodge,,,,0,,USD,Double Room,,2,17,99,1,2,100.0,100.0,0.0,0.0,01/04/2026,31/05/2026
,Serengeti Simba Lodge,,,,0,,USD,Double Room,,2,0,12,1,2,87.5,175.0,0.0,0.0,01/06/2026,31/10/2026
,Serengeti Simba Lodge,,,,0,,USD,Double Room,,2,13,16,1,2,131.25,175.0,0.0,0.0,01/06/2026,31/10/2026
,Serengeti Simba Lodge,,,,0,,USD,Double Room,,2,17,99,1,2,175.0,175.0,0.0,0.0,01/06/2026,31/10/2026
,Serengeti Simba Lodge,,,,0,,USD,Double Room,,2,0,12,1,2,78.0,156.0,0.0,0.0,01/11/2026,15/12/2026
,Serengeti Simba Lodge,,,,0,,USD,Double Room,,2,13,16,1,2,117.0,156.0,0.0,0.0,01/11/2026,15/12/2026
,Serengeti Simba Lodge,,,,0,,USD,Double Room,,2,17,99,1,2,156.0,156.0,0.0,0.0,01/11/2026,15/12/2026
,Serengeti Simba Lodge,,,,0,,USD,Double Room,,2,0,12,1,2,87.5,175.0,0.0,0.0,16/12/2026,03/01/2027
,Serengeti Simba Lodge,,,,0,,USD,Double Room,,2,13,16,1,2,131.25,175.0,0.0,0.0,16/12/2026,03/01/2027
,Serengeti Simba Lodge,,,,0,,USD,Double Room,,2,17,99,1,2,175.0,175.0,0.0,0.0,16/12/2026,03/01/2027
,Serengeti Simba Lodge,,,,0,,USD,Triple Room,,2,0,12,1,2,107.25,214.5,0.0,0.0,01/01/2026,31/03/2026
,Serengeti Simba Lodge,,,,0,,USD,Triple Room,,2,13,16,1,2,160.88,214.5,0.0,0.0,01/01/2026,31/03/2026
,Serengeti Simba Lodge,,,,0,,USD,Triple Room,,2,17,99,1,2,214.5,214.5,0.0,0.0,01/01/2026,31/03/2026
,Serengeti Simba Lodge,,,,0,,USD,Triple Room,,2,0,12,1,2,68.75,137.5,0.0,0.0,01/04/2026,31/05/2026
,Serengeti Simba Lodge,,,,0,,USD,Triple Room,,2,13,16,1,2,103.12,137.5,0.0,0.0,01/04/2026,31/05/2026
,Serengeti Simba Lodge,,,,0,,USD,Triple Room,,2,17,99,1,2,137.5,137.5,0.0,0.0,01/04/2026,31/05/2026
,Serengeti Simba Lodge,,,,0,,USD,Triple Room,,2,0,12,1,2,120.5,241.0,0.0,0.0,01/06/2026,31/10/2026
,Serengeti Simba Lodge,,,,0,,USD,Triple Room,,2,13,16,1,2,180.75,241.0,0.0,0.0,01/06/2026,31/10/2026
,Serengeti Simba Lodge,,,,0,,USD,Triple Room,,2,17,99,1,2,241.0,241.0,0.0,0.0,01/06/2026,31/10/2026
,Serengeti Simba Lodge,,,,0,,USD,Triple Room,,2,0,12,1,2,107.25,214.5,0.0,0.0,01/11/2026,15/12/2026
,Serengeti Simba Lodge,,,,0,,USD,Triple Room,,2,13,16,1,2,160.88,214.5,0.0,0.0,01/11/2026,15/12/2026
,Serengeti Simba Lodge,,,,0,,USD,Triple Room,,2,17,99,1,2,214.5,214.5,0.0,0.0,01/11/2026,15/12/2026
,Serengeti Simba Lodge,,,,0,,USD,Triple Room,,2,0,12,1,2,120.5,241.0,0.0,0.0,16/12/2026,03/01/2027
,Serengeti Simba Lodge,,,,0,,USD,Triple Room,,2,13,16,1,2,180.75,241.0,0.0,0.0,16/12/2026,03/01/2027
,Serengeti Simba Lodge,,,,0,,USD,Triple Room,,2,17,99,1,2,241.0,241.0,0.0,0.0,16/12/2026,03/01/2027
