location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Karatu Simba Lodge,,,,0,,USD,Triple Room,,3,0,12,1,3,70.0,140.0,0.0,0.0,01/01/2026,31/03/2026
,Karatu Simba Lodge,,,,0,,USD,Triple Room,,3,13,16,1,3,105.0,140.0,0.0,0.0,01/01/2026,31/03/2026
,Karatu Simba Lodge,,,,0,,USD,Triple Room,,3,17,99,1,3,140.0,140.0,0.0,0.0,01/01/2026,31/03/2026
,Karatu Simba Lodge,,,,0,,USD,Triple Room,,3,0,12,1,3,50.0,100.0,0.0,0.0,01/04/2026,31/05/2026
,Karatu Simba Lodge,,,,0,,USD,Triple Room,,3,13,16,1,3,75.0,100.0,0.0,0.0,01/04/2026,31/05/2026
,Karatu Simba Lodge,,,,0,,USD,Triple Room,,3,17,99,1,3,100.0,100.0,0.0,0.0,01/04/2026,31/05/2026
,Karatu Simba Lodge,,,,0,,USD,Triple Room,,3,0,12,1,3,80.0,160.0,0.0,0.0,01/06/2026,31/10/2026
,Karatu Simba Lodge,,,,0,,USD,Triple Room,,3,13,16,1,3,120.0,160.0,0.0,0.0,01/06/2026,31/10/2026
,Karatu Simba Lodge,,,,0,,USD,Triple Room,,3,17,99,1,3,160.0,160.0,0.0,0.0,01/06/2026,31/10/2026
,Karatu Simba Lodge,,,,0,,USD,Triple Room,,3,0,12,1,3,70.0,140.0,0.0,0.0,01/11/2026,15/12/2026
,Karatu Simba Lodge,,,,0,,USD,Triple Room,,3,13,16,1,3,105.0,140.0,0.0,0.0,01/11/2026,15/12/2026
,Karatu Simba Lodge,,,,0,,USD,Triple Room,,3,17,99,1,3,140.0,140.0,0.0,0.0,01/11/2026,15/12/2026
,Karatu Simba Lodge,,,,0,,USD,Triple Room,,3,0,12,1,3,80.0,160.0,0.0,0.0,16/12/2026,03/01/2027
,Karatu Simba Lodge,,,,0,,USD,Triple Room,,3,13,16,1,3,120.0,160.0,0.0,0.0,16/12/2026,03/01/2027
,Karatu Simba Lodge,,,,0,,USD,Triple Room,,3,17,99,1,3,160.0,160.0,0.0,0.0,16/12/2026,03/01/2027
