location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Kankari Lodge,,,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Kankari Lodge,,,,0,,USD,Single Room,,1,6,12,1,1,40.0,0.0,0.0,5.0,01/01/2026,31/03/2026
,Kankari Lodge,,,,0,,USD,Single Room,,1,13,99,1,1,95.0,0.0,0.0,13.0,01/01/2026,31/03/2026
,Kankari Lodge,,,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Kankari Lodge,,,,0,,USD,Single Room,,1,6,12,1,1,40.0,0.0,0.0,5.0,01/04/2026,31/05/2026
,Kankari Lodge,,,,0,,USD,Single Room,,1,13,99,1,1,80.0,0.0,0.0,13.0,01/04/2026,31/05/2026
,Kankari Lodge,,,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Kankari Lodge,,,,0,,USD,Single Room,,1,6,12,1,1,40.0,0.0,0.0,5.0,01/06/2026,31/10/2026
,Kankari Lodge,,,,0,,USD,Single Room,,1,13,99,1,1,95.0,0.0,0.0,13.0,01/06/2026,31/10/2026
,Kankari Lodge,,,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,01/11/2026,30/11/2026
,Kankari Lodge,,,,0,,USD,Single Room,,1,6,12,1,1,40.0,0.0,0.0,5.0,01/11/2026,30/11/2026
,Kankari Lodge,,,,0,,USD,Single Room,,1,13,99,1,1,80.0,0.0,0.0,13.0,01/11/2026,30/11/2026
,Kankari Lodge,,,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,01/12/2026,31/12/2026
,Kankari Lodge,,,,0,,USD,Single Room,,1,6,12,1,1,40.0,0.0,0.0,5.0,01/12/2026,31/12/2026
,Kankari Lodge,,,,0,,USD,Single Room,,1,13,99,1,1,95.0,0.0,0.0,13.0,01/12/2026,31/12/2026
,Kankari Lodge,,,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Kankari Lodge,,,,0,,USD,Double Room,,2,6,12,1,2,40.0,82.5,0.0,5.0,01/01/2026,31/03/2026
,Kankari Lodge,,,,0,,USD,Double Room,,2,13,99,1,2,82.5,82.5,0.0,13.0,01/01/2026,31/03/2026
,Kankari Lodge,,,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Kankari Lodge,,,,0,,USD,Double Room,,2,6,12,1,2,40.0,70.0,0.0,5.0,01/04/2026,31/05/2026
,Kankari Lodge,,,,0,,USD,Double Room,,2,13,99,1,2,70.0,70.0,0.0,13.0,01/04/2026,31/05/2026
,Kankari Lodge,,,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Kankari Lodge,,,,0,,USD,Double Room,,2,6,12,1,2,40.0,82.5,0.0,5.0,01/06/2026,31/10/2026
,Kankari Lodge,,,,0,,USD,Double Room,,2,13,99,1,2,82.5,82.5,0.0,13.0,01/06/2026,31/10/2026
,Kankari Lodge,,,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/11/2026,30/11/2026
,Kankari Lodge,,,,0,,USD,Double Room,,2,6,12,1,2,40.0,70.0,0.0,5.0,01/11/2026,30/11/2026
,Kankari Lodge,,,,0,,USD,Double Room,,2,13,99,1,2,70.0,70.0,0.0,13.0,01/11/2026,30/11/2026
,Kankari Lodge,,,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/12/2026,31/12/2026
