location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Naona Moru Camp,,,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/01/2026,28/02/2026
,Naona Moru Camp,,,,0,,USD,Single Room,,1,4,11,1,1,292.5,0.0,0.0,0.0,01/01/2026,28/02/2026
,Naona Moru Camp,,,,0,,USD,Single Room,,1,12,15,1,1,438.75,0.0,0.0,0.0,01/01/2026,28/02/2026
,Naona Moru Camp,,,,0,,USD,Single Room,,1,16,99,1,1,585.0,0.0,0.0,0.0,01/01/2026,28/02/2026
,Naona Moru Camp,,,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/03/2026,31/05/2026
,Naona Moru Camp,,,,0,,USD,Single Room,,1,4,11,1,1,175.0,0.0,0.0,0.0,01/03/2026,31/05/2026
,Naona Moru Camp,,,,0,,USD,Single Room,,1,12,15,1,1,262.5,0.0,0.0,0.0,01/03/2026,31/05/2026
,Naona Moru Camp,,,,0,,USD,Single Room,,1,16,99,1,1,350.0,0.0,0.0,0.0,01/03/2026,31/05/2026
,Naona Moru Camp,,,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Naona Moru Camp,,,,0,,USD,Single Room,,1,4,11,1,1,292.5,0.0,0.0,0.0,01/06/2026,31/10/2026
,Naona Moru Camp,,,,0,,USD,Single Room,,1,12,15,1,1,438.75,0.0,0.0,0.0,01/06/2026,31/10/2026
,Naona Moru Camp,,,,0,,USD,Single Room,,1,16,99,1,1,585.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Naona Moru Camp,,,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/11/2026,19/12/2026
,Naona Moru Camp,,,,0,,USD,Single Room,,1,4,11,1,1,175.0,0.0,0.0,0.0,01/11/2026,19/12/2026
,Naona Moru Camp,,,,0,,USD,Single Room,,1,12,15,1,1,262.5,0.0,0.0,0.0,01/11/2026,19/12/2026
,Naona Moru Camp,,,,0,,USD,Single Room,,1,16,99,1,1,350.0,0.0,0.0,0.0,01/11/2026,19/12/2026
,Naona Moru Camp,,,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,20/12/2026,31/12/2026
,Naona Moru Camp,,,,0,,USD,Single Room,,1,4,11,1,1,292.5,0.0,0.0,0.0,20/12/2026,31/12/2026
,Naona Moru Camp,,,,0,,USD,Single Room,,1,12,15,1,1,438.75,0.0,0.0,0.0,20/12/2026,31/12/2026
