location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Nasikia Mobile Migration Camp,,,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Single Room,,1,4,11,1,1,252.5,0.0,0.0,0.0,01/01/2026,31/03/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Single Room,,1,12,15,1,1,378.75,0.0,0.0,0.0,01/01/2026,31/03/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Single Room,,1,16,99,1,1,505.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Single Room,,1,4,11,1,1,252.5,0.0,0.0,0.0,01/06/2026,31/10/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Single Room,,1,12,15,1,1,378.75,0.0,0.0,0.0,01/06/2026,31/10/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Single Room,,1,16,99,1,1,505.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/12/2026,31/12/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Single Room,,1,4,11,1,1,252.5,0.0,0.0,0.0,01/12/2026,31/12/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Single Room,,1,12,15,1,1,378.75,0.0,0.0,0.0,01/12/2026,31/12/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Single Room,,1,16,99,1,1,505.0,0.0,0.0,0.0,01/12/2026,31/12/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Double Room,,2,4,11,1,2,222.5,445.0,0.0,0.0,01/01/2026,31/03/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Double Room,,2,12,15,1,2,333.75,445.0,0.0,0.0,01/01/2026,31/03/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Double Room,,2,16,99,1,2,445.0,445.0,0.0,0.0,01/01/2026,31/03/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Double Room,,2,4,11,1,2,222.5,445.0,0.0,0.0,01/06/2026,31/10/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Double Room,,2,12,15,1,2,333.75,445.0,0.0,0.0,01/06/2026,31/10/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Double Room,,2,16,99,1,2,445.0,445.0,0.0,0.0,01/06/2026,31/10/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/12/2026,31/12/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Double Room,,2,4,11,1,2,222.5,445.0,0.0,0.0,01/12/2026,31/12/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Double Room,,2,12,15,1,2,333.75,445.0,0.0,0.0,01/12/2026,31/12/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Double Room,,2,16,99,1,2,445.0,445.0,0.0,0.0,01/12/2026,31/12/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Twin Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Twin Room,,2,4,11,1,2,222.5,445.0,0.0,0.0,01/01/2026,31/03/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Twin Room,,2,12,15,1,2,333.75,445.0,0.0,0.0,01/01/2026,31/03/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Twin Room,,2,16,99,1,2,445.0,445.0,0.0,0.0,01/01/2026,31/03/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Twin Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Twin Room,,2,4,11,1,2,222.5,445.0,0.0,0.0,01/06/2026,31/10/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Twin Room,,2,12,15,1,2,333.75,445.0,0.0,0.0,01/06/2026,31/10/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Twin Room,,2,16,99,1,2,445.0,445.0,0.0,0.0,01/06/2026,31/10/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Twin Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/12/2026,31/12/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Twin Room,,2,4,11,1,2,222.5,445.0,0.0,0.0,01/12/2026,31/12/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Twin Room,,2,12,15,1,2,333.75,445.0,0.0,0.0,01/12/2026,31/12/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Twin Room,,2,16,99,1,2,445.0,445.0,0.0,0.0,01/12/2026,31/12/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Triple Room,,3,0,4,1,3,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Triple Room,,3,4,11,1,3,212.5,425.0,0.0,0.0,01/01/2026,31/03/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Triple Room,,3,12,15,1,3,318.75,425.0,0.0,0.0,01/01/2026,31/03/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Triple Room,,3,16,99,1,3,425.0,425.0,0.0,0.0,01/01/2026,31/03/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Triple Room,,3,0,4,1,3,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Triple Room,,3,4,11,1,3,212.5,425.0,0.0,0.0,01/06/2026,31/10/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Triple Room,,3,12,15,1,3,318.75,425.0,0.0,0.0,01/06/2026,31/10/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Triple Room,,3,16,99,1,3,425.0,425.0,0.0,0.0,01/06/2026,31/10/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Triple Room,,3,0,4,1,3,0.0,0.0,0.0,0.0,01/12/2026,31/12/2026
,Nasikia Mobile Migration Camp,,,,0,,USD,Triple Room,,3,4,11,1,3,212.5,425.0,0.0,0.0,01/12/2026,31/12/2026
