location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Tukaona Camps,,Test,,0,,USD,Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Tukaona Camps,,Test,,0,,USD,Single Room,,1,3,15,1,1,75.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Tukaona Camps,,Test,,0,,USD,Single Room,,1,16,99,1,1,150.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Tukaona Camps,,Test,,0,,USD,Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Tukaona Camps,,Test,,0,,USD,Single Room,,1,3,15,1,1,65.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Tukaona Camps,,Test,,0,,USD,Single Room,,1,16,99,1,1,130.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Tukaona Camps,,Test,,0,,USD,Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Tukaona Camps,,Test,,0,,USD,Single Room,,1,3,15,1,1,75.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Tukaona Camps,,Test,,0,,USD,Single Room,,1,16,99,1,1,150.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Tukaona Camps,,Test,,0,,USD,Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/11/2026,30/11/2026
,Tukaona Camps,,Test,,0,,USD,Single Room,,1,3,15,1,1,65.0,0.0,0.0,0.0,01/11/2026,30/11/2026
,Tukaona Camps,,Test,,0,,USD,Single Room,,1,16,99,1,1,130.0,0.0,0.0,0.0,01/11/2026,30/11/2026
,Tukaona Camps,,Test,,0,,USD,Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/12/2026,31/12/2026
,Tukaona Camps,,Test,,0,,USD,Single Room,,1,3,15,1,1,75.0,0.0,0.0,0.0,01/12/2026,31/12/2026
,Tukaona Camps,,Test,,0,,USD,Single Room,,1,16,99,1,1,150.0,0.0,0.0,0.0,01/12/2026,31/12/2026
,Tukaona Camps,,Test,,0,,USD,Double Room,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Tukaona Camps,,Test,,0,,USD,Double Room,,2,3,15,1,2,55.0,110.0,0.0,0.0,01/01/2026,31/03/2026
,Tukaona Camps,,Test,,0,,USD,Double Room,,2,16,99,1,2,110.0,110.0,0.0,0.0,01/01/2026,31/03/2026
,Tukaona Camps,,Test,,0,,USD,Double Room,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Tukaona Camps,,Test,,0,,USD,Double Room,,2,3,15,1,2,40.0,80.0,0.0,0.0,01/04/2026,31/05/2026
,Tukaona Camps,,Test,,0,,USD,Double Room,,2,16,99,1,2,80.0,80.0,0.0,0.0,01/04/2026,31/05/2026
,Tukaona Camps,,Test,,0,,USD,Double Room,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Tukaona Camps,,Test,,0,,USD,Double Room,,2,3,15,1,2,55.0,110.0,0.0,0.0,01/06/2026,31/10/2026
,Tukaona Camps,,Test,,0,,USD,Double Room,,2,16,99,1,2,110.0,110.0,0.0,0.0,01/06/2026,31/10/2026
,Tukaona Camps,,Test,,0,,USD,Double Room,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/11/2026,30/11/2026
,Tukaona Camps,,Test,,0,,USD,Double Room,,2,3,15,1,2,40.0,80.0,0.0,0.0,01/11/2026,30/11/2026
,Tukaona Camps,,Test,,0,,USD,Double Room,,2,16,99,1,2,80.0,80.0,0.0,0.0,01/11/2026,30/11/2026
,Tukaona Camps,,Test,,0,,USD,Double Room,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/12/2026,31/12/2026
,Tukaona Camps,,Test,,0,,USD,Double Room,,2,3,15,1,2,55.0,110.0,0.0,0.0,01/12/2026,31/12/2026
,Tukaona Camps,,Test,,0,,USD,Double Room,,2,16,99,1,2,110.0,110.0,0.0,0.0,01/12/2026,31/12/2026
,Tukaona Camps,,Test,,0,,USD,Triple Room,,3,0,2,1,3,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Tukaona Camps,,Test,,0,,USD,Triple Room,,3,3,15,1,3,49.5,99.0,0.0,0.0,01/01/2026,31/03/2026
,Tukaona Camps,,Test,,0,,USD,Triple Room,,3,16,99,1,3,99.0,99.0,0.0,0.0,01/01/2026,31/03/2026
,Tukaona Camps,,Test,,0,,USD,Triple Room,,3,0,2,1,3,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Tukaona Camps,,Test,,0,,USD,Triple Room,,3,3,15,1,3,34.99,69.98,0.0,0.0,01/04/2026,31/05/2026
,Tukaona Camps,,Test,,0,,USD,Triple Room,,3,16,99,1,3,69.98,69.98,0.0,0.0,01/04/2026,31/05/2026
,Tukaona Camps,,Test,,0,,USD,Triple Room,,3,0,2,1,3,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Tukaona Camps,,Test,,0,,USD,Triple Room,,3,3,15,1,3,49.5,99.0,0.0,0.0,01/06/2026,31/10/2026
,Tukaona Camps,,Test,,0,,USD,Triple Room,,3,16,99,1,3,99.0,99.0,0.0,0.0,01/06/2026,31/10/2026
,Tukaona Camps,,Test,,0,,USD,Triple Room,,3,0,2,1,3,0.0,0.0,0.0,0.0,01/11/2026,30/11/2026
,Tukaona Camps,,Test,,0,,USD,Triple Room,,3,3,15,1,3,34.99,69.98,0.0,0.0,01/11/2026,30/11/2026
,Tukaona Camps,,Test,,0,,USD,Triple Room,,3,16,99,1,3,69.98,69.98,0.0,0.0,01/11/2026,30/11/2026
,Tukaona Camps,,Test,,0,,USD,Triple Room,,3,0,2,1,3,0.0,0.0,0.0,0.0,01/12/2026,31/12/2026
,Tukaona Camps,,Test,,0,,USD,Triple Room,,3,3,15,1,3,49.5,99.0,0.0,0.0,01/12/2026,31/12/2026
