location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Glimpse Immigration Camp,,Test,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,01/06/2026,30/10/2026
,Glimpse Immigration Camp,,Test,,0,,USD,Single Room,,1,6,12,1,1,70.0,0.0,0.0,0.0,01/06/2026,30/10/2026
,Glimpse Immigration Camp,,Test,,0,,USD,Single Room,,1,13,99,1,1,180.0,0.0,0.0,0.0,01/06/2026,30/10/2026
,Glimpse Immigration Camp,,Test,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/06/2026,30/10/2026
,Glimpse Immigration Camp,,Test,,0,,USD,Double Room,,2,6,12,1,2,70.0,140.0,0.0,0.0,01/06/2026,30/10/2026
,Glimpse Immigration Camp,,Test,,0,,USD,Double Room,,2,13,99,1,2,140.0,140.0,0.0,0.0,01/06/2026,30/10/2026
,Glimpse Immigration Camp,,Test,,0,,USD,Triple room,,3,0,5,1,3,0.0,0.0,0.0,0.0,01/06/2026,30/10/2026
,Glimpse Immigration Camp,,Test,,0,,USD,Triple room,,3,6,12,1,3,70.0,130.0,0.0,0.0,01/06/2026,30/10/2026
,Glimpse Immigration Camp,,Test,,0,,USD,Triple room,,3,13,99,1,3,130.0,130.0,0.0,0.0,01/06/2026,30/10/2026
,Glimpse Immigration Camp,,Test,,0,,USD,Family Room,,4,0,5,1,4,0.0,0.0,0.0,0.0,01/06/2026,30/10/2026
,Glimpse Immigration Camp,,Test,,0,,USD,Family Room,,4,6,12,1,4,70.0,420.0,0.0,0.0,01/06/2026,30/10/2026
,Glimpse Immigration Camp,,Test,,0,,USD,Family Room,,4,13,99,1,4,420.0,420.0,0.0,0.0,01/06/2026,30/10/2026
