location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Single Room,,1,6,12,1,1,97.5,0.0,0.0,0.0,01/01/2026,31/03/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Single Room,,1,13,99,1,1,195.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Single Room,,1,6,12,1,1,65.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Single Room,,1,13,99,1,1,130.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Single Room,,1,6,12,1,1,97.5,0.0,0.0,0.0,01/06/2026,31/10/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Single Room,,1,13,99,1,1,195.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,01/11/2026,14/12/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Single Room,,1,6,12,1,1,65.0,0.0,0.0,0.0,01/11/2026,14/12/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Single Room,,1,13,99,1,1,130.0,0.0,0.0,0.0,01/11/2026,14/12/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,15/12/2026,31/12/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Single Room,,1,6,12,1,1,97.5,0.0,0.0,0.0,15/12/2026,31/12/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Single Room,,1,13,99,1,1,195.0,0.0,0.0,0.0,15/12/2026,31/12/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Double Room,,2,6,12,1,2,90.0,180.0,0.0,0.0,01/01/2026,31/03/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Double Room,,2,13,99,1,2,180.0,180.0,0.0,0.0,01/01/2026,31/03/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Double Room,,2,6,12,1,2,60.0,120.0,0.0,0.0,01/04/2026,31/05/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Double Room,,2,13,99,1,2,120.0,120.0,0.0,0.0,01/04/2026,31/05/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Double Room,,2,6,12,1,2,90.0,180.0,0.0,0.0,01/06/2026,31/10/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Double Room,,2,13,99,1,2,180.0,180.0,0.0,0.0,01/06/2026,31/10/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/11/2026,14/12/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Double Room,,2,6,12,1,2,60.0,120.0,0.0,0.0,01/11/2026,14/12/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Double Room,,2,13,99,1,2,120.0,120.0,0.0,0.0,01/11/2026,14/12/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,15/12/2026,31/12/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Double Room,,2,6,12,1,2,90.0,180.0,0.0,0.0,15/12/2026,31/12/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Double Room,,2,13,99,1,2,180.0,180.0,0.0,0.0,15/12/2026,31/12/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Triple Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Triple Room,,3,6,12,1,3,75.0,150.0,0.0,0.0,01/01/2026,31/03/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Triple Room,,3,13,99,1,3,150.0,150.0,0.0,0.0,01/01/2026,31/03/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Triple Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Triple Room,,3,6,12,1,3,55.0,110.0,0.0,0.0,01/04/2026,31/05/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Triple Room,,3,13,99,1,3,110.0,110.0,0.0,0.0,01/04/2026,31/05/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Triple Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Triple Room,,3,6,12,1,3,75.0,150.0,0.0,0.0,01/06/2026,31/10/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Triple Room,,3,13,99,1,3,150.0,150.0,0.0,0.0,01/06/2026,31/10/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Triple Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,01/11/2026,14/12/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Triple Room,,3,6,12,1,3,55.0,110.0,0.0,0.0,01/11/2026,14/12/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Triple Room,,3,13,99,1,3,110.0,110.0,0.0,0.0,01/11/2026,14/12/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Triple Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,15/12/2026,31/12/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Triple Room,,3,6,12,1,3,75.0,150.0,0.0,0.0,15/12/2026,31/12/2026
,SERENGETI PURE TENTED CAMPS Rongai,,Test,,0,,USD,Triple Room,,3,13,99,1,3,150.0,150.0,0.0,0.0,15/12/2026,31/12/2026
