location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,PURE MIGRATION CAMP Ndutu,,Test,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,01/01/2026,15/04/2026
,PURE MIGRATION CAMP Ndutu,,Test,,0,,USD,Single Room,,1,6,12,1,1,102.5,0.0,0.0,0.0,01/01/2026,15/04/2026
,PURE MIGRATION CAMP Ndutu,,Test,,0,,USD,Single Room,,1,13,99,1,1,205.0,0.0,0.0,0.0,01/01/2026,15/04/2026
,PURE MIGRATION CAMP Ndutu,,Test,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,15/06/2026,31/10/2026
,PURE MIGRATION CAMP Ndutu,,Test,,0,,USD,Single Room,,1,6,12,1,1,102.5,0.0,0.0,0.0,15/06/2026,31/10/2026
,PURE MIGRATION CAMP Ndutu,,Test,,0,,USD,Single Room,,1,13,99,1,1,205.0,0.0,0.0,0.0,15/06/2026,31/10/2026
,PURE MIGRATION CAMP Ndutu,,Test,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,01/12/2026,31/12/2026
,PURE MIGRATION CAMP Ndutu,,Test,,0,,USD,Single Room,,1,6,12,1,1,102.5,0.0,0.0,0.0,01/12/2026,31/12/2026
,PURE MIGRATION CAMP Ndutu,,Test,,0,,USD,Single Room,,1,13,99,1,1,205.0,0.0,0.0,0.0,01/12/2026,31/12/2026
,PURE MIGRATION CAMP Ndutu,,Test,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/01/2026,15/04/2026
,PURE MIGRATION CAMP Ndutu,,Test,,0,,USD,Double Room,,2,6,12,1,2,90.0,180.0,0.0,0.0,01/01/2026,15/04/2026
,PURE MIGRATION CAMP Ndutu,,Test,,0,,USD,Double Room,,2,13,99,1,2,180.0,180.0,0.0,0.0,01/01/2026,15/04/2026
,PURE MIGRATION CAMP Ndutu,,Test,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,15/06/2026,31/10/2026
,PURE MIGRATION CAMP Ndutu,,Test,,0,,USD,Double Room,,2,6,12,1,2,90.0,180.0,0.0,0.0,15/06/2026,31/10/2026
,PURE MIGRATION CAMP Ndutu,,Test,,0,,USD,Double Room,,2,13,99,1,2,180.0,180.0,0.0,0.0,15/06/2026,31/10/2026
,PURE MIGRATION CAMP Ndutu,,Test,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/12/2026,31/12/2026
,PURE MIGRATION CAMP Ndutu,,Test,,0,,USD,Double Room,,2,6,12,1,2,90.0,180.0,0.0,0.0,01/12/2026,31/12/2026
,PURE MIGRATION CAMP Ndutu,,Test,,0,,USD,Double Room,,2,13,99,1,2,180.0,180.0,0.0,0.0,01/12/2026,31/12/2026
,PURE MIGRATION CAMP Ndutu,,Test,,0,,USD,Triple Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,01/01/2026,15/04/2026
,PURE MIGRATION CAMP Ndutu,,Test,,0,,USD,Triple Room,,3,6,12,1,3,85.5,171.0,0.0,0.0,01/01/2026,15/04/2026
,PURE MIGRATION CAMP Ndutu,,Test,,0,,USD,Triple Room,,3,13,99,1,3,171.0,171.0,0.0,0.0,01/01/2026,15/04/2026
,PURE MIGRATION CAMP Ndutu,,Test,,0,,USD,Triple Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,15/06/2026,31/10/2026
,PURE MIGRATION CAMP Ndutu,,Test,,0,,USD,Triple Room,,3,6,12,1,3,85.5,171.0,0.0,0.0,15/06/2026,31/10/2026
,PURE MIGRATION CAMP Ndutu,,Test,,0,,USD,Triple Room,,3,13,99,1,3,171.0,171.0,0.0,0.0,15/06/2026,31/10/2026
,PURE MIGRATION CAMP Ndutu,,Test,,0,,USD,Triple Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,01/12/2026,31/12/2026
,PURE MIGRATION CAMP Ndutu,,Test,,0,,USD,Triple Room,,3,6,12,1,3,85.5,171.0,0.0,0.0,01/12/2026,31/12/2026
,PURE MIGRATION CAMP Ndutu,,Test,,0,,USD,Triple Room,,3,13,99,1,3,171.0,171.0,0.0,0.0,01/12/2026,31/12/2026
