location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Nimali  Tarangire,,,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,04/01/2026,28/02/2026
,Nimali  Tarangire,,,,0,,USD,Double Room,,2,6,17,1,2,340.0,340.0,0.0,0.0,04/01/2026,28/02/2026
,Nimali  Tarangire,,,,0,,USD,Double Room,,2,18,99,1,2,680.0,340.0,0.0,0.0,04/01/2026,28/02/2026
,Nimali  Tarangire,,,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/03/2026,30/04/2026
,Nimali  Tarangire,,,,0,,USD,Double Room,,2,6,17,1,2,240.0,240.0,0.0,0.0,01/03/2026,30/04/2026
,Nimali  Tarangire,,,,0,,USD,Double Room,,2,18,99,1,2,480.0,240.0,0.0,0.0,01/03/2026,30/04/2026
,Nimali  Tarangire,,,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/05/2026,31/05/2026
,Nimali  Tarangire,,,,0,,USD,Double Room,,2,6,17,1,2,340.0,340.0,0.0,0.0,01/05/2026,31/05/2026
,Nimali  Tarangire,,,,0,,USD,Double Room,,2,18,99,1,2,680.0,340.0,0.0,0.0,01/05/2026,31/05/2026
,Nimali  Tarangire,,,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Nimali  Tarangire,,,,0,,USD,Double Room,,2,6,17,1,2,420.0,420.0,0.0,0.0,01/06/2026,31/10/2026
,Nimali  Tarangire,,,,0,,USD,Double Room,,2,18,99,1,2,840.0,420.0,0.0,0.0,01/06/2026,31/10/2026
,Nimali  Tarangire,,,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/11/2026,20/12/2026
,Nimali  Tarangire,,,,0,,USD,Double Room,,2,6,17,1,2,340.0,340.0,0.0,0.0,01/11/2026,20/12/2026
,Nimali  Tarangire,,,,0,,USD,Double Room,,2,18,99,1,2,680.0,340.0,0.0,0.0,01/11/2026,20/12/2026
,Nimali  Tarangire,,,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,21/12/2026,03/01/2027
,Nimali  Tarangire,,,,0,,USD,Double Room,,2,6,17,1,2,420.0,420.0,0.0,0.0,21/12/2026,03/01/2027
,Nimali  Tarangire,,,,0,,USD,Double Room,,2,18,99,1,2,840.0,420.0,0.0,0.0,21/12/2026,03/01/2027
,Nimali  Tarangire,,,,0,,USD,Twin Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,04/01/2026,28/02/2026
,Nimali  Tarangire,,,,0,,USD,Twin Room,,2,6,17,1,2,340.0,339.93,0.0,0.0,04/01/2026,28/02/2026
,Nimali  Tarangire,,,,0,,USD,Twin Room,,2,18,99,1,2,680.0,339.93,0.0,0.0,04/01/2026,28/02/2026
,Nimali  Tarangire,,,,0,,USD,Twin Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/03/2026,30/04/2026
,Nimali  Tarangire,,,,0,,USD,Twin Room,,2,6,17,1,2,239.99,239.94,0.0,0.0,01/03/2026,30/04/2026
,Nimali  Tarangire,,,,0,,USD,Twin Room,,2,18,99,1,2,479.97,239.94,0.0,0.0,01/03/2026,30/04/2026
,Nimali  Tarangire,,,,0,,USD,Twin Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/05/2026,31/05/2026
,Nimali  Tarangire,,,,0,,USD,Twin Room,,2,6,17,1,2,340.0,339.93,0.0,0.0,01/05/2026,31/05/2026
,Nimali  Tarangire,,,,0,,USD,Twin Room,,2,18,99,1,2,680.0,339.93,0.0,0.0,01/05/2026,31/05/2026
,Nimali  Tarangire,,,,0,,USD,Twin Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Nimali  Tarangire,,,,0,,USD,Twin Room,,2,6,17,1,2,420.0,419.92,0.0,0.0,01/06/2026,31/10/2026
,Nimali  Tarangire,,,,0,,USD,Twin Room,,2,18,99,1,2,840.0,419.92,0.0,0.0,01/06/2026,31/10/2026
,Nimali  Tarangire,,,,0,,USD,Twin Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/11/2026,20/12/2026
,Nimali  Tarangire,,,,0,,USD,Twin Room,,2,6,17,1,2,340.0,339.93,0.0,0.0,01/11/2026,20/12/2026
