location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Intimate Camp Zebra,,Test,,0,,USD,Tented Suites,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2026,28/02/2026
,Intimate Camp Zebra,,Test,,0,,USD,Tented Suites,,2,5,15,1,2,135.0,135.0,0.0,0.0,01/01/2026,28/02/2026
,Intimate Camp Zebra,,Test,,0,,USD,Tented Suites,,2,16,99,1,2,270.0,135.0,0.0,0.0,01/01/2026,28/02/2026
,Intimate Camp Zebra,,Test,,0,,USD,Tented Suites,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/03/2026,31/03/2026
,Intimate Camp Zebra,,Test,,0,,USD,Tented Suites,,2,5,15,1,2,97.5,97.5,0.0,0.0,01/03/2026,31/03/2026
,Intimate Camp Zebra,,Test,,0,,USD,Tented Suites,,2,16,99,1,2,195.0,97.5,0.0,0.0,01/03/2026,31/03/2026
,Intimate Camp Zebra,,Test,,0,,USD,Tented Suites,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/07/2026,31/10/2026
,Intimate Camp Zebra,,Test,,0,,USD,Tented Suites,,2,5,15,1,2,135.0,135.0,0.0,0.0,01/07/2026,31/10/2026
,Intimate Camp Zebra,,Test,,0,,USD,Tented Suites,,2,16,99,1,2,270.0,135.0,0.0,0.0,01/07/2026,31/10/2026
,Intimate Camp Zebra,,Test,,0,,USD,Tented Suites,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/11/2026,20/12/2026
,Intimate Camp Zebra,,Test,,0,,USD,Tented Suites,,2,5,15,1,2,97.5,97.5,0.0,0.0,01/11/2026,20/12/2026
,Intimate Camp Zebra,,Test,,0,,USD,Tented Suites,,2,16,99,1,2,195.0,97.5,0.0,0.0,01/11/2026,20/12/2026
,Intimate Camp Zebra,,Test,,0,,USD,Tented Suites,,2,0,4,1,2,0.0,0.0,0.0,0.0,21/12/2026,31/12/2026
,Intimate Camp Zebra,,Test,,0,,USD,Tented Suites,,2,5,15,1,2,135.0,135.0,0.0,0.0,21/12/2026,31/12/2026
,Intimate Camp Zebra,,Test,,0,,USD,Tented Suites,,2,16,99,1,2,270.0,135.0,0.0,0.0,21/12/2026,31/12/2026
