location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Intimate Mobile camps,,Test,,0,,USD,Tented Suites (2-3 Adult),,3,0,4,1,3,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
,Intimate Mobile camps,,Test,,0,,USD,Tented Suites (2-3 Adult),,3,5,15,1,3,250.0,250.0,0.0,0.0,01/01/2026,31/12/2026
,Intimate Mobile camps,,Test,,0,,USD,Tented Suites (2-3 Adult),,3,16,99,1,3,500.0,250.0,0.0,0.0,01/01/2026,31/12/2026
,Intimate Mobile camps,,Test,,0,,USD,Tented Suites (4-5 Adult),,5,0,4,1,5,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
,Intimate Mobile camps,,Test,,0,,USD,Tented Suites (4-5 Adult),,5,5,15,1,5,215.0,215.0,0.0,0.0,01/01/2026,31/12/2026
,Intimate Mobile camps,,Test,,0,,USD,Tented Suites (4-5 Adult),,5,16,99,1,5,430.0,215.0,0.0,0.0,01/01/2026,31/12/2026
,Intimate Mobile camps,,Test,,0,,USD,Tented Suites (6-7 Adult),,7,0,4,1,7,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
,Intimate Mobile camps,,Test,,0,,USD,Tented Suites (6-7 Adult),,7,5,15,1,7,185.0,185.0,0.0,0.0,01/01/2026,31/12/2026
,Intimate Mobile camps,,Test,,0,,USD,Tented Suites (6-7 Adult),,7,16,99,1,7,370.0,185.0,0.0,0.0,01/01/2026,31/12/2026
,Intimate Mobile camps,,Test,,0,,USD,Tented Suites (8+ Adult),,8,0,4,1,8,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
,Intimate Mobile camps,,Test,,0,,USD,Tented Suites (8+ Adult),,8,5,15,1,8,155.0,155.0,0.0,0.0,01/01/2026,31/12/2026
,Intimate Mobile camps,,Test,,0,,USD,Tented Suites (8+ Adult),,8,16,99,1,8,310.0,155.0,0.0,0.0,01/01/2026,31/12/2026
