location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Matawi Serengeti Camp,,Test,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Matawi Serengeti Camp,,Test,,0,,USD,Single Room,,1,5,12,1,1,126.5,0.0,0.0,0.0,01/01/2026,31/03/2026
,Matawi Serengeti Camp,,Test,,0,,USD,Single Room,,1,13,99,1,1,253.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Matawi Serengeti Camp,,Test,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Matawi Serengeti Camp,,Test,,0,,USD,Single Room,,1,5,12,1,1,93.5,0.0,0.0,0.0,01/04/2026,31/05/2026
,Matawi Serengeti Camp,,Test,,0,,USD,Single Room,,1,13,99,1,1,187.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Matawi Serengeti Camp,,Test,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Matawi Serengeti Camp,,Test,,0,,USD,Single Room,,1,5,12,1,1,126.5,0.0,0.0,0.0,01/06/2026,31/10/2026
,Matawi Serengeti Camp,,Test,,0,,USD,Single Room,,1,13,99,1,1,253.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Matawi Serengeti Camp,,Test,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/11/2026,30/11/2026
,Matawi Serengeti Camp,,Test,,0,,USD,Single Room,,1,5,12,1,1,93.5,0.0,0.0,0.0,01/11/2026,30/11/2026
,Matawi Serengeti Camp,,Test,,0,,USD,Single Room,,1,13,99,1,1,187.0,0.0,0.0,0.0,01/11/2026,30/11/2026
,Matawi Serengeti Camp,,Test,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/12/2026,31/12/2026
,Matawi Serengeti Camp,,Test,,0,,USD,Single Room,,1,5,12,1,1,126.5,0.0,0.0,0.0,01/12/2026,31/12/2026
,Matawi Serengeti Camp,,Test,,0,,USD,Single Room,,1,13,99,1,1,253.0,0.0,0.0,0.0,01/12/2026,31/12/2026
,Matawi Serengeti Camp,,Test,,0,,USD,Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Matawi Serengeti Camp,,Test,,0,,USD,Double Room,,2,5,12,1,2,110.0,220.0,0.0,0.0,01/01/2026,31/03/2026
,Matawi Serengeti Camp,,Test,,0,,USD,Double Room,,2,13,99,1,2,220.0,220.0,0.0,0.0,01/01/2026,31/03/2026
,Matawi Serengeti Camp,,Test,,0,,USD,Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Matawi Serengeti Camp,,Test,,0,,USD,Double Room,,2,5,12,1,2,77.0,154.0,0.0,0.0,01/04/2026,31/05/2026
,Matawi Serengeti Camp,,Test,,0,,USD,Double Room,,2,13,99,1,2,154.0,154.0,0.0,0.0,01/04/2026,31/05/2026
,Matawi Serengeti Camp,,Test,,0,,USD,Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
