location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Moyo Tented camp,,test,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Moyo Tented camp,,test,,0,,USD,Single Room,,1,5,12,1,1,92.5,0.0,0.0,0.0,01/01/2026,31/03/2026
,Moyo Tented camp,,test,,0,,USD,Single Room,,1,13,99,1,1,185.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Moyo Tented camp,,test,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Moyo Tented camp,,test,,0,,USD,Single Room,,1,5,12,1,1,82.5,0.0,0.0,0.0,01/04/2026,31/05/2026
,Moyo Tented camp,,test,,0,,USD,Single Room,,1,13,99,1,1,165.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Moyo Tented camp,,test,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Moyo Tented camp,,test,,0,,USD,Single Room,,1,5,12,1,1,92.5,0.0,0.0,0.0,01/06/2026,31/10/2026
,Moyo Tented camp,,test,,0,,USD,Single Room,,1,13,99,1,1,185.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Moyo Tented camp,,test,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/11/2026,15/12/2026
,Moyo Tented camp,,test,,0,,USD,Single Room,,1,5,12,1,1,87.5,0.0,0.0,0.0,01/11/2026,15/12/2026
,Moyo Tented camp,,test,,0,,USD,Single Room,,1,13,99,1,1,175.0,0.0,0.0,0.0,01/11/2026,15/12/2026
,Moyo Tented camp,,test,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,16/12/2026,31/12/2026
,Moyo Tented camp,,test,,0,,USD,Single Room,,1,5,12,1,1,92.5,0.0,0.0,0.0,16/12/2026,31/12/2026
,Moyo Tented camp,,test,,0,,USD,Single Room,,1,13,99,1,1,185.0,0.0,0.0,0.0,16/12/2026,31/12/2026
,Moyo Tented camp,,test,,0,,USD,Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Moyo Tented camp,,test,,0,,USD,Double Room,,2,5,12,1,2,40.0,80.0,0.0,0.0,01/01/2026,31/03/2026
,Moyo Tented camp,,test,,0,,USD,Double Room,,2,13,99,1,2,80.0,80.0,0.0,0.0,01/01/2026,31/03/2026
,Moyo Tented camp,,test,,0,,USD,Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Moyo Tented camp,,test,,0,,USD,Double Room,,2,5,12,1,2,33.75,67.5,0.0,0.0,01/04/2026,31/05/2026
,Moyo Tented camp,,test,,0,,USD,Double Room,,2,13,99,1,2,67.5,67.5,0.0,0.0,01/04/2026,31/05/2026
,Moyo Tented camp,,test,,0,,USD,Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Moyo Tented camp,,test,,0,,USD,Double Room,,2,5,12,1,2,40.0,80.0,0.0,0.0,01/06/2026,31/10/2026
,Moyo Tented camp,,test,,0,,USD,Double Room,,2,13,99,1,2,80.0,80.0,0.0,0.0,01/06/2026,31/10/2026
,Moyo Tented camp,,test,,0,,USD,Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/11/2026,15/12/2026
,Moyo Tented camp,,test,,0,,USD,Double Room,,2,5,12,1,2,37.5,75.0,0.0,0.0,01/11/2026,15/12/2026
,Moyo Tented camp,,test,,0,,USD,Double Room,,2,13,99,1,2,75.0,75.0,0.0,0.0,01/11/2026,15/12/2026
,Moyo Tented camp,,test,,0,,USD,Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,16/12/2026,31/12/2026
,Moyo Tented camp,,test,,0,,USD,Double Room,,2,5,12,1,2,40.0,80.0,0.0,0.0,16/12/2026,31/12/2026
,Moyo Tented camp,,test,,0,,USD,Double Room,,2,13,99,1,2,80.0,80.0,0.0,0.0,16/12/2026,31/12/2026
,Moyo Tented camp,,test,,0,,USD,Triple Room,,3,0,4,1,3,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Moyo Tented camp,,test,,0,,USD,Triple Room,,3,5,12,1,3,21.66,43.33,0.0,0.0,01/01/2026,31/03/2026
,Moyo Tented camp,,test,,0,,USD,Triple Room,,3,13,99,1,3,43.33,43.33,0.0,0.0,01/01/2026,31/03/2026
,Moyo Tented camp,,test,,0,,USD,Triple Room,,3,0,4,1,3,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Moyo Tented camp,,test,,0,,USD,Triple Room,,3,5,12,1,3,27.5,55.0,0.0,0.0,01/04/2026,31/05/2026
,Moyo Tented camp,,test,,0,,USD,Triple Room,,3,13,99,1,3,55.0,55.0,0.0,0.0,01/04/2026,31/05/2026
,Moyo Tented camp,,test,,0,,USD,Triple Room,,3,0,4,1,3,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Moyo Tented camp,,test,,0,,USD,Triple Room,,3,5,12,1,3,21.66,43.33,0.0,0.0,01/06/2026,31/10/2026
,Moyo Tented camp,,test,,0,,USD,Triple Room,,3,13,99,1,3,43.33,43.33,0.0,0.0,01/06/2026,31/10/2026
,Moyo Tented camp,,test,,0,,USD,Triple Room,,3,0,4,1,3,0.0,0.0,0.0,0.0,01/11/2026,15/12/2026
,Moyo Tented camp,,test,,0,,USD,Triple Room,,3,5,12,1,3,21.66,43.33,0.0,0.0,01/11/2026,15/12/2026
,Moyo Tented camp,,test,,0,,USD,Triple Room,,3,13,99,1,3,43.33,43.33,0.0,0.0,01/11/2026,15/12/2026
,Moyo Tented camp,,test,,0,,USD,Triple Room,,3,0,4,1,3,0.0,0.0,0.0,0.0,16/12/2026,31/12/2026
,Moyo Tented camp,,test,,0,,USD,Triple Room,,3,5,12,1,3,21.66,43.33,0.0,0.0,16/12/2026,31/12/2026
,Moyo Tented camp,,test,,0,,USD,Triple Room,,3,13,99,1,3,43.33,43.33,0.0,0.0,16/12/2026,31/12/2026
,Moyo Tented camp,,test,,0,,USD,Family Tented,,4,0,4,1,4,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Moyo Tented camp,,test,,0,,USD,Family Tented,,4,5,12,1,4,20.0,40.0,0.0,0.0,01/01/2026,31/03/2026
,Moyo Tented camp,,test,,0,,USD,Family Tented,,4,13,99,1,4,40.0,40.0,0.0,0.0,01/01/2026,31/03/2026
,Moyo Tented camp,,test,,0,,USD,Family Tented,,4,0,4,1,4,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Moyo Tented camp,,test,,0,,USD,Family Tented,,4,5,12,1,4,16.88,33.75,0.0,0.0,01/04/2026,31/05/2026
,Moyo Tented camp,,test,,0,,USD,Family Tented,,4,13,99,1,4,33.75,33.75,0.0,0.0,01/04/2026,31/05/2026
,Moyo Tented camp,,test,,0,,USD,Family Tented,,4,0,4,1,4,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Moyo Tented camp,,test,,0,,USD,Family Tented,,4,5,12,1,4,20.0,40.0,0.0,0.0,01/06/2026,31/10/2026
,Moyo Tented camp,,test,,0,,USD,Family Tented,,4,13,99,1,4,40.0,40.0,0.0,0.0,01/06/2026,31/10/2026
,Moyo Tented camp,,test,,0,,USD,Family Tented,,4,0,4,1,4,0.0,0.0,0.0,0.0,01/11/2026,15/12/2026
,Moyo Tented camp,,test,,0,,USD,Family Tented,,4,5,12,1,4,18.75,37.5,0.0,0.0,01/11/2026,15/12/2026
,Moyo Tented camp,,test,,0,,USD,Family Tented,,4,13,99,1,4,37.5,37.5,0.0,0.0,01/11/2026,15/12/2026
,Moyo Tented camp,,test,,0,,USD,Family Tented,,4,0,4,1,4,0.0,0.0,0.0,0.0,16/12/2026,31/12/2026
,Moyo Tented camp,,test,,0,,USD,Family Tented,,4,5,12,1,4,20.0,40.0,0.0,0.0,16/12/2026,31/12/2026
,Moyo Tented camp,,test,,0,,USD,Family Tented,,4,13,99,1,4,40.0,40.0,0.0,0.0,16/12/2026,31/12/2026
