location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Signeture Serengeti,,Test,,0,,USD,Single Room,,1,0,3,1,1,0.0,0.0,0.0,0.0,01/01/2026,28/02/2026
,Signeture Serengeti,,Test,,0,,USD,Single Room,,1,4,12,1,1,148.0,0.0,0.0,0.0,01/01/2026,28/02/2026
,Signeture Serengeti,,Test,,0,,USD,Single Room,,1,13,99,1,1,296.0,0.0,0.0,0.0,01/01/2026,28/02/2026
,Signeture Serengeti,,Test,,0,,USD,Single Room,,1,0,3,1,1,0.0,0.0,0.0,0.0,01/03/2026,31/05/2026
,Signeture Serengeti,,Test,,0,,USD,Single Room,,1,4,12,1,1,123.0,0.0,0.0,0.0,01/03/2026,31/05/2026
,Signeture Serengeti,,Test,,0,,USD,Single Room,,1,13,99,1,1,246.0,0.0,0.0,0.0,01/03/2026,31/05/2026
,Signeture Serengeti,,Test,,0,,USD,Single Room,,1,0,3,1,1,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Signeture Serengeti,,Test,,0,,USD,Single Room,,1,4,12,1,1,148.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Signeture Serengeti,,Test,,0,,USD,Single Room,,1,13,99,1,1,296.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Signeture Serengeti,,Test,,0,,USD,Single Room,,1,0,3,1,1,0.0,0.0,0.0,0.0,01/11/2026,15/12/2026
,Signeture Serengeti,,Test,,0,,USD,Single Room,,1,4,12,1,1,123.0,0.0,0.0,0.0,01/11/2026,15/12/2026
,Signeture Serengeti,,Test,,0,,USD,Single Room,,1,13,99,1,1,246.0,0.0,0.0,0.0,01/11/2026,15/12/2026
,Signeture Serengeti,,Test,,0,,USD,Single Room,,1,0,3,1,1,0.0,0.0,0.0,0.0,16/12/2026,31/12/2026
,Signeture Serengeti,,Test,,0,,USD,Single Room,,1,4,12,1,1,148.0,0.0,0.0,0.0,16/12/2026,31/12/2026
,Signeture Serengeti,,Test,,0,,USD,Single Room,,1,13,99,1,1,296.0,0.0,0.0,0.0,16/12/2026,31/12/2026
,Signeture Serengeti,,Test,,0,,USD,Double Room,,2,0,3,1,2,0.0,0.0,0.0,0.0,01/01/2026,28/02/2026
,Signeture Serengeti,,Test,,0,,USD,Double Room,,2,4,12,1,2,133.0,266.0,0.0,0.0,01/01/2026,28/02/2026
,Signeture Serengeti,,Test,,0,,USD,Double Room,,2,13,99,1,2,266.0,266.0,0.0,0.0,01/01/2026,28/02/2026
,Signeture Serengeti,,Test,,0,,USD,Double Room,,2,0,3,1,2,0.0,0.0,0.0,0.0,01/03/2026,31/05/2026
,Signeture Serengeti,,Test,,0,,USD,Double Room,,2,4,12,1,2,108.0,216.0,0.0,0.0,01/03/2026,31/05/2026
,Signeture Serengeti,,Test,,0,,USD,Double Room,,2,13,99,1,2,216.0,216.0,0.0,0.0,01/03/2026,31/05/2026
,Signeture Serengeti,,Test,,0,,USD,Double Room,,2,0,3,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Signeture Serengeti,,Test,,0,,USD,Double Room,,2,4,12,1,2,133.0,266.0,0.0,0.0,01/06/2026,31/10/2026
,Signeture Serengeti,,Test,,0,,USD,Double Room,,2,13,99,1,2,266.0,266.0,0.0,0.0,01/06/2026,31/10/2026
,Signeture Serengeti,,Test,,0,,USD,Double Room,,2,0,3,1,2,0.0,0.0,0.0,0.0,01/11/2026,15/12/2026
,Signeture Serengeti,,Test,,0,,USD,Double Room,,2,4,12,1,2,108.0,216.0,0.0,0.0,01/11/2026,15/12/2026
,Signeture Serengeti,,Test,,0,,USD,Double Room,,2,13,99,1,2,216.0,216.0,0.0,0.0,01/11/2026,15/12/2026
,Signeture Serengeti,,Test,,0,,USD,Double Room,,2,0,3,1,2,0.0,0.0,0.0,0.0,16/12/2026,31/12/2026
,Signeture Serengeti,,Test,,0,,USD,Double Room,,2,4,12,1,2,133.0,266.0,0.0,0.0,16/12/2026,31/12/2026
,Signeture Serengeti,,Test,,0,,USD,Double Room,,2,13,99,1,2,266.0,266.0,0.0,0.0,16/12/2026,31/12/2026
