location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Nyikani Migration Camp (Ndutu),,Test,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,11/01/2026,14/04/2026
,Nyikani Migration Camp (Ndutu),,Test,,0,,USD,Single Room,,1,6,15,1,1,105.0,0.0,0.0,0.0,11/01/2026,14/04/2026
,Nyikani Migration Camp (Ndutu),,Test,,0,,USD,Single Room,,1,16,99,1,1,210.0,0.0,0.0,0.0,11/01/2026,14/04/2026
,Nyikani Migration Camp (Ndutu),,Test,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,01/12/2026,19/12/2026
,Nyikani Migration Camp (Ndutu),,Test,,0,,USD,Single Room,,1,6,15,1,1,85.0,0.0,0.0,0.0,01/12/2026,19/12/2026
,Nyikani Migration Camp (Ndutu),,Test,,0,,USD,Single Room,,1,16,99,1,1,170.0,0.0,0.0,0.0,01/12/2026,19/12/2026
,Nyikani Migration Camp (Ndutu),,Test,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,20/12/2026,03/01/2027
,Nyikani Migration Camp (Ndutu),,Test,,0,,USD,Single Room,,1,6,15,1,1,105.0,0.0,0.0,0.0,20/12/2026,03/01/2027
,Nyikani Migration Camp (Ndutu),,Test,,0,,USD,Single Room,,1,16,99,1,1,210.0,0.0,0.0,0.0,20/12/2026,03/01/2027
,Nyikani Migration Camp (Ndutu),,Test,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,11/01/2026,14/04/2026
,Nyikani Migration Camp (Ndutu),,Test,,0,,USD,Double Room,,2,6,15,1,2,105.0,210.0,0.0,0.0,11/01/2026,14/04/2026
,Nyikani Migration Camp (Ndutu),,Test,,0,,USD,Double Room,,2,16,99,1,2,210.0,210.0,0.0,0.0,11/01/2026,14/04/2026
,Nyikani Migration Camp (Ndutu),,Test,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/12/2026,19/12/2026
,Nyikani Migration Camp (Ndutu),,Test,,0,,USD,Double Room,,2,6,15,1,2,85.0,170.0,0.0,0.0,01/12/2026,19/12/2026
,Nyikani Migration Camp (Ndutu),,Test,,0,,USD,Double Room,,2,16,99,1,2,170.0,170.0,0.0,0.0,01/12/2026,19/12/2026
,Nyikani Migration Camp (Ndutu),,Test,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,20/12/2026,03/01/2027
,Nyikani Migration Camp (Ndutu),,Test,,0,,USD,Double Room,,2,6,15,1,2,105.0,210.0,0.0,0.0,20/12/2026,03/01/2027
,Nyikani Migration Camp (Ndutu),,Test,,0,,USD,Double Room,,2,16,99,1,2,210.0,210.0,0.0,0.0,20/12/2026,03/01/2027
,Nyikani Migration Camp (Ndutu),,Test,,0,,USD,Triple Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,11/01/2026,14/04/2026
,Nyikani Migration Camp (Ndutu),,Test,,0,,USD,Triple Room,,3,6,15,1,3,105.0,210.0,0.0,0.0,11/01/2026,14/04/2026
,Nyikani Migration Camp (Ndutu),,Test,,0,,USD,Triple Room,,3,16,99,1,3,210.0,210.0,0.0,0.0,11/01/2026,14/04/2026
,Nyikani Migration Camp (Ndutu),,Test,,0,,USD,Triple Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,01/12/2026,19/12/2026
,Nyikani Migration Camp (Ndutu),,Test,,0,,USD,Triple Room,,3,6,15,1,3,85.0,170.0,0.0,0.0,01/12/2026,19/12/2026
,Nyikani Migration Camp (Ndutu),,Test,,0,,USD,Triple Room,,3,16,99,1,3,170.0,170.0,0.0,0.0,01/12/2026,19/12/2026
,Nyikani Migration Camp (Ndutu),,Test,,0,,USD,Triple Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,20/12/2026,03/01/2027
,Nyikani Migration Camp (Ndutu),,Test,,0,,USD,Triple Room,,3,6,15,1,3,105.0,210.0,0.0,0.0,20/12/2026,03/01/2027
,Nyikani Migration Camp (Ndutu),,Test,,0,,USD,Triple Room,,3,16,99,1,3,210.0,210.0,0.0,0.0,20/12/2026,03/01/2027
,Nyikani Migration Camp (Ndutu),,Test,,0,,USD,Family Tent,,4,0,5,1,4,0.0,0.0,0.0,0.0,11/01/2026,14/04/2026
,Nyikani Migration Camp (Ndutu),,Test,,0,,USD,Family Tent,,4,6,15,1,4,105.0,210.0,0.0,0.0,11/01/2026,14/04/2026
,Nyikani Migration Camp (Ndutu),,Test,,0,,USD,Family Tent,,4,16,99,1,4,210.0,210.0,0.0,0.0,11/01/2026,14/04/2026
,Nyikani Migration Camp (Ndutu),,Test,,0,,USD,Family Tent,,4,0,5,1,4,0.0,0.0,0.0,0.0,01/12/2026,19/12/2026
,Nyikani Migration Camp (Ndutu),,Test,,0,,USD,Family Tent,,4,6,15,1,4,85.0,170.0,0.0,0.0,01/12/2026,19/12/2026
,Nyikani Migration Camp (Ndutu),,Test,,0,,USD,Family Tent,,4,16,99,1,4,170.0,170.0,0.0,0.0,01/12/2026,19/12/2026
,Nyikani Migration Camp (Ndutu),,Test,,0,,USD,Family Tent,,4,0,5,1,4,0.0,0.0,0.0,0.0,20/12/2026,03/01/2027
,Nyikani Migration Camp (Ndutu),,Test,,0,,USD,Family Tent,,4,6,15,1,4,105.0,210.0,0.0,0.0,20/12/2026,03/01/2027
,Nyikani Migration Camp (Ndutu),,Test,,0,,USD,Family Tent,,4,16,99,1,4,210.0,210.0,0.0,0.0,20/12/2026,03/01/2027
