location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Nyikani Migration Camp (Kogatende),,Test,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,01/07/2026,30/09/2026
,Nyikani Migration Camp (Kogatende),,Test,,0,,USD,Single Room,,1,6,15,1,1,215.0,0.0,0.0,0.0,01/07/2026,30/09/2026
,Nyikani Migration Camp (Kogatende),,Test,,0,,USD,Single Room,,1,16,99,1,1,430.0,0.0,0.0,0.0,01/07/2026,30/09/2026
,Nyikani Migration Camp (Kogatende),,Test,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,01/10/2026,14/11/2026
,Nyikani Migration Camp (Kogatende),,Test,,0,,USD,Single Room,,1,6,15,1,1,105.0,0.0,0.0,0.0,01/10/2026,14/11/2026
,Nyikani Migration Camp (Kogatende),,Test,,0,,USD,Single Room,,1,16,99,1,1,210.0,0.0,0.0,0.0,01/10/2026,14/11/2026
,Nyikani Migration Camp (Kogatende),,Test,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,01/06/2026,30/06/2027
,Nyikani Migration Camp (Kogatende),,Test,,0,,USD,Single Room,,1,6,15,1,1,85.0,0.0,0.0,0.0,01/06/2026,30/06/2027
,Nyikani Migration Camp (Kogatende),,Test,,0,,USD,Single Room,,1,16,99,1,1,170.0,0.0,0.0,0.0,01/06/2026,30/06/2027
,Nyikani Migration Camp (Kogatende),,Test,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/07/2026,30/09/2026
,Nyikani Migration Camp (Kogatende),,Test,,0,,USD,Double Room,,2,6,15,1,2,145.0,290.0,0.0,0.0,01/07/2026,30/09/2026
,Nyikani Migration Camp (Kogatende),,Test,,0,,USD,Double Room,,2,16,99,1,2,290.0,290.0,0.0,0.0,01/07/2026,30/09/2026
,Nyikani Migration Camp (Kogatende),,Test,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/10/2026,14/11/2026
,Nyikani Migration Camp (Kogatende),,Test,,0,,USD,Double Room,,2,6,15,1,2,105.0,210.0,0.0,0.0,01/10/2026,14/11/2026
,Nyikani Migration Camp (Kogatende),,Test,,0,,USD,Double Room,,2,16,99,1,2,210.0,210.0,0.0,0.0,01/10/2026,14/11/2026
,Nyikani Migration Camp (Kogatende),,Test,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/06/2026,30/06/2027
,Nyikani Migration Camp (Kogatende),,Test,,0,,USD,Double Room,,2,6,15,1,2,85.0,170.0,0.0,0.0,01/06/2026,30/06/2027
,Nyikani Migration Camp (Kogatende),,Test,,0,,USD,Double Room,,2,16,99,1,2,170.0,170.0,0.0,0.0,01/06/2026,30/06/2027
,Nyikani Migration Camp (Kogatende),,Test,,0,,USD,Triple Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,01/07/2026,30/09/2026
,Nyikani Migration Camp (Kogatende),,Test,,0,,USD,Triple Room,,3,6,15,1,3,145.0,290.0,0.0,0.0,01/07/2026,30/09/2026
,Nyikani Migration Camp (Kogatende),,Test,,0,,USD,Triple Room,,3,16,99,1,3,290.0,290.0,0.0,0.0,01/07/2026,30/09/2026
,Nyikani Migration Camp (Kogatende),,Test,,0,,USD,Triple Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,01/10/2026,14/11/2026
,Nyikani Migration Camp (Kogatende),,Test,,0,,USD,Triple Room,,3,6,15,1,3,105.0,210.0,0.0,0.0,01/10/2026,14/11/2026
,Nyikani Migration Camp (Kogatende),,Test,,0,,USD,Triple Room,,3,16,99,1,3,210.0,210.0,0.0,0.0,01/10/2026,14/11/2026
,Nyikani Migration Camp (Kogatende),,Test,,0,,USD,Triple Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,01/06/2026,30/06/2027
