location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Nyikani Tarangire Camp,,Test,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,11/01/2026,30/06/2026
,Nyikani Tarangire Camp,,Test,,0,,USD,Single Room,,1,6,15,1,1,80.0,0.0,0.0,0.0,11/01/2026,30/06/2026
,Nyikani Tarangire Camp,,Test,,0,,USD,Single Room,,1,16,99,1,1,160.0,0.0,0.0,0.0,11/01/2026,30/06/2026
,Nyikani Tarangire Camp,,Test,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,01/07/2026,31/10/2026
,Nyikani Tarangire Camp,,Test,,0,,USD,Single Room,,1,6,15,1,1,180.0,0.0,0.0,0.0,01/07/2026,31/10/2026
,Nyikani Tarangire Camp,,Test,,0,,USD,Single Room,,1,16,99,1,1,360.0,0.0,0.0,0.0,01/07/2026,31/10/2026
,Nyikani Tarangire Camp,,Test,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,01/11/2026,19/12/2027
,Nyikani Tarangire Camp,,Test,,0,,USD,Single Room,,1,6,15,1,1,80.0,0.0,0.0,0.0,01/11/2026,19/12/2027
,Nyikani Tarangire Camp,,Test,,0,,USD,Single Room,,1,16,99,1,1,160.0,0.0,0.0,0.0,01/11/2026,19/12/2027
,Nyikani Tarangire Camp,,Test,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,20/12/2026,03/01/2027
,Nyikani Tarangire Camp,,Test,,0,,USD,Single Room,,1,6,15,1,1,180.0,0.0,0.0,0.0,20/12/2026,03/01/2027
,Nyikani Tarangire Camp,,Test,,0,,USD,Single Room,,1,16,99,1,1,360.0,0.0,0.0,0.0,20/12/2026,03/01/2027
,Nyikani Tarangire Camp,,Test,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,11/01/2026,30/06/2026
,Nyikani Tarangire Camp,,Test,,0,,USD,Double Room,,2,6,15,1,2,80.0,160.0,0.0,0.0,11/01/2026,30/06/2026
,Nyikani Tarangire Camp,,Test,,0,,USD,Double Room,,2,16,99,1,2,160.0,160.0,0.0,0.0,11/01/2026,30/06/2026
,Nyikani Tarangire Camp,,Test,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/07/2026,31/10/2026
,Nyikani Tarangire Camp,,Test,,0,,USD,Double Room,,2,6,15,1,2,120.0,240.0,0.0,0.0,01/07/2026,31/10/2026
,Nyikani Tarangire Camp,,Test,,0,,USD,Double Room,,2,16,99,1,2,240.0,240.0,0.0,0.0,01/07/2026,31/10/2026
,Nyikani Tarangire Camp,,Test,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/11/2026,19/12/2027
,Nyikani Tarangire Camp,,Test,,0,,USD,Double Room,,2,6,15,1,2,80.0,160.0,0.0,0.0,01/11/2026,19/12/2027
,Nyikani Tarangire Camp,,Test,,0,,USD,Double Room,,2,16,99,1,2,160.0,160.0,0.0,0.0,01/11/2026,19/12/2027
,Nyikani Tarangire Camp,,Test,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,20/12/2026,03/01/2027
,Nyikani Tarangire Camp,,Test,,0,,USD,Double Room,,2,6,15,1,2,120.0,240.0,0.0,0.0,20/12/2026,03/01/2027
,Nyikani Tarangire Camp,,Test,,0,,USD,Double Room,,2,16,99,1,2,240.0,240.0,0.0,0.0,20/12/2026,03/01/2027
,Nyikani Tarangire Camp,,Test,,0,,USD,Triple Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,11/01/2026,30/06/2026
,Nyikani Tarangire Camp,,Test,,0,,USD,Triple Room,,3,6,15,1,3,80.0,160.0,0.0,0.0,11/01/2026,30/06/2026
,Nyikani Tarangire Camp,,Test,,0,,USD,Triple Room,,3,16,99,1,3,160.0,160.0,0.0,0.0,11/01/2026,30/06/2026
,Nyikani Tarangire Camp,,Test,,0,,USD,Triple Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,01/07/2026,31/10/2026
,Nyikani Tarangire Camp,,Test,,0,,USD,Triple Room,,3,6,15,1,3,120.0,240.0,0.0,0.0,01/07/2026,31/10/2026
,Nyikani Tarangire Camp,,Test,,0,,USD,Triple Room,,3,16,99,1,3,240.0,240.0,0.0,0.0,01/07/2026,31/10/2026
,Nyikani Tarangire Camp,,Test,,0,,USD,Triple Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,01/11/2026,19/12/2027
,Nyikani Tarangire Camp,,Test,,0,,USD,Triple Room,,3,6,15,1,3,80.0,160.0,0.0,0.0,01/11/2026,19/12/2027
,Nyikani Tarangire Camp,,Test,,0,,USD,Triple Room,,3,16,99,1,3,160.0,160.0,0.0,0.0,01/11/2026,19/12/2027
,Nyikani Tarangire Camp,,Test,,0,,USD,Triple Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,20/12/2026,03/01/2027
,Nyikani Tarangire Camp,,Test,,0,,USD,Triple Room,,3,6,15,1,3,120.0,240.0,0.0,0.0,20/12/2026,03/01/2027
,Nyikani Tarangire Camp,,Test,,0,,USD,Triple Room,,3,16,99,1,3,240.0,240.0,0.0,0.0,20/12/2026,03/01/2027
,Nyikani Tarangire Camp,,Test,,0,,USD,Family Tent,,4,0,5,1,4,0.0,0.0,0.0,0.0,11/01/2026,30/06/2026
,Nyikani Tarangire Camp,,Test,,0,,USD,Family Tent,,4,6,15,1,4,80.0,160.0,0.0,0.0,11/01/2026,30/06/2026
,Nyikani Tarangire Camp,,Test,,0,,USD,Family Tent,,4,16,99,1,4,160.0,160.0,0.0,0.0,11/01/2026,30/06/2026
,Nyikani Tarangire Camp,,Test,,0,,USD,Family Tent,,4,0,5,1,4,0.0,0.0,0.0,0.0,01/07/2026,31/10/2026
,Nyikani Tarangire Camp,,Test,,0,,USD,Family Tent,,4,6,15,1,4,120.0,240.0,0.0,0.0,01/07/2026,31/10/2026
,Nyikani Tarangire Camp,,Test,,0,,USD,Family Tent,,4,16,99,1,4,240.0,240.0,0.0,0.0,01/07/2026,31/10/2026
,Nyikani Tarangire Camp,,Test,,0,,USD,Family Tent,,4,0,5,1,4,0.0,0.0,0.0,0.0,01/11/2026,19/12/2027
,Nyikani Tarangire Camp,,Test,,0,,USD,Family Tent,,4,6,15,1,4,80.0,160.0,0.0,0.0,01/11/2026,19/12/2027
,Nyikani Tarangire Camp,,Test,,0,,USD,Family Tent,,4,16,99,1,4,160.0,160.0,0.0,0.0,01/11/2026,19/12/2027
,Nyikani Tarangire Camp,,Test,,0,,USD,Family Tent,,4,0,5,1,4,0.0,0.0,0.0,0.0,20/12/2026,03/01/2027
,Nyikani Tarangire Camp,,Test,,0,,USD,Family Tent,,4,6,15,1,4,120.0,240.0,0.0,0.0,20/12/2026,03/01/2027
,Nyikani Tarangire Camp,,Test,,0,,USD,Family Tent,,4,16,99,1,4,240.0,240.0,0.0,0.0,20/12/2026,03/01/2027
