location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Nyota Luxury Tented Camp,,Test,,0,,USD,Suite Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Nyota Luxury Tented Camp,,Test,,0,,USD,Suite Single Room,,1,3,15,1,1,222.5,0.0,0.0,0.0,01/01/2026,31/03/2026
,Nyota Luxury Tented Camp,,Test,,0,,USD,Suite Single Room,,1,16,99,1,1,445.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Nyota Luxury Tented Camp,,Test,,0,,USD,Suite Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Nyota Luxury Tented Camp,,Test,,0,,USD,Suite Single Room,,1,3,15,1,1,197.5,0.0,0.0,0.0,01/04/2026,31/05/2026
,Nyota Luxury Tented Camp,,Test,,0,,USD,Suite Single Room,,1,16,99,1,1,395.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Nyota Luxury Tented Camp,,Test,,0,,USD,Suite Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Nyota Luxury Tented Camp,,Test,,0,,USD,Suite Single Room,,1,3,15,1,1,222.5,0.0,0.0,0.0,01/06/2026,31/10/2026
,Nyota Luxury Tented Camp,,Test,,0,,USD,Suite Single Room,,1,16,99,1,1,445.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Nyota Luxury Tented Camp,,Test,,0,,USD,Suite Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/11/2026,15/12/2026
,Nyota Luxury Tented Camp,,Test,,0,,USD,Suite Single Room,,1,3,15,1,1,197.5,0.0,0.0,0.0,01/11/2026,15/12/2026
,Nyota Luxury Tented Camp,,Test,,0,,USD,Suite Single Room,,1,16,99,1,1,395.0,0.0,0.0,0.0,01/11/2026,15/12/2026
,Nyota Luxury Tented Camp,,Test,,0,,USD,Suite Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,16/12/2026,31/12/2026
,Nyota Luxury Tented Camp,,Test,,0,,USD,Suite Single Room,,1,3,15,1,1,222.5,0.0,0.0,0.0,16/12/2026,31/12/2026
,Nyota Luxury Tented Camp,,Test,,0,,USD,Suite Single Room,,1,16,99,1,1,445.0,0.0,0.0,0.0,16/12/2026,31/12/2026
,Nyota Luxury Tented Camp,,Test,,0,,USD,Suite Double Room,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Nyota Luxury Tented Camp,,Test,,0,,USD,Suite Double Room,,2,3,15,1,2,200.0,400.0,0.0,0.0,01/01/2026,31/03/2026
,Nyota Luxury Tented Camp,,Test,,0,,USD,Suite Double Room,,2,16,99,1,2,400.0,400.0,0.0,0.0,01/01/2026,31/03/2026
,Nyota Luxury Tented Camp,,Test,,0,,USD,Suite Double Room,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Nyota Luxury Tented Camp,,Test,,0,,USD,Suite Double Room,,2,3,15,1,2,175.0,350.0,0.0,0.0,01/04/2026,31/05/2026
,Nyota Luxury Tented Camp,,Test,,0,,USD,Suite Double Room,,2,16,99,1,2,350.0,350.0,0.0,0.0,01/04/2026,31/05/2026
,Nyota Luxury Tented Camp,,Test,,0,,USD,Suite Double Room,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Nyota Luxury Tented Camp,,Test,,0,,USD,Suite Double Room,,2,3,15,1,2,200.0,400.0,0.0,0.0,01/06/2026,31/10/2026
,Nyota Luxury Tented Camp,,Test,,0,,USD,Suite Double Room,,2,16,99,1,2,400.0,400.0,0.0,0.0,01/06/2026,31/10/2026
,Nyota Luxury Tented Camp,,Test,,0,,USD,Suite Double Room,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/11/2026,15/12/2026
,Nyota Luxury Tented Camp,,Test,,0,,USD,Suite Double Room,,2,3,15,1,2,175.0,350.0,0.0,0.0,01/11/2026,15/12/2026
,Nyota Luxury Tented Camp,,Test,,0,,USD,Suite Double Room,,2,16,99,1,2,350.0,350.0,0.0,0.0,01/11/2026,15/12/2026
