location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Narudi Tented Camp,,Test,,0,,USD,Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
,Narudi Tented Camp,,Test,,0,,USD,Single Room,,1,3,12,1,1,91.0,0.0,0.0,0.0,01/01/2026,31/12/2026
,Narudi Tented Camp,,Test,,0,,USD,Single Room,,1,13,99,1,1,182.0,0.0,0.0,0.0,01/01/2026,31/12/2026
,Narudi Tented Camp,,Test,,0,,USD,Double Room,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
,Narudi Tented Camp,,Test,,0,,USD,Double Room,,2,3,12,1,2,65.25,130.5,0.0,0.0,01/01/2026,31/12/2026
,Narudi Tented Camp,,Test,,0,,USD,Double Room,,2,13,99,1,2,130.5,130.5,0.0,0.0,01/01/2026,31/12/2026
,Narudi Tented Camp,,Test,,0,,USD,Triple Room,,3,0,2,1,3,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
,Narudi Tented Camp,,Test,,0,,USD,Triple Room,,3,3,12,1,3,57.5,115.0,0.0,0.0,01/01/2026,31/12/2026
,Narudi Tented Camp,,Test,,0,,USD,Triple Room,,3,13,99,1,3,115.0,115.0,0.0,0.0,01/01/2026,31/12/2026
,Narudi Tented Camp,,Test,,0,,USD,Family/ interconnected  Room,,6,0,2,1,6,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
,Narudi Tented Camp,,Test,,0,,USD,Family/ interconnected  Room,,6,3,12,1,6,54.5,109.0,0.0,0.0,01/01/2026,31/12/2026
,Narudi Tented Camp,,Test,,0,,USD,Family/ interconnected  Room,,6,13,99,1,6,109.0,109.0,0.0,0.0,01/01/2026,31/12/2026
