location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Tarangire tortilis Camp,,Test,,0,,USD,Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/01/2026,28/02/2026
,Tarangire tortilis Camp,,Test,,0,,USD,Single Room,,1,3,12,1,1,115.0,0.0,0.0,0.0,01/01/2026,28/02/2026
,Tarangire tortilis Camp,,Test,,0,,USD,Single Room,,1,13,99,1,1,230.0,0.0,0.0,0.0,01/01/2026,28/02/2026
,Tarangire tortilis Camp,,Test,,0,,USD,Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/03/2026,31/03/2026
,Tarangire tortilis Camp,,Test,,0,,USD,Single Room,,1,3,12,1,1,82.5,0.0,0.0,0.0,01/03/2026,31/03/2026
,Tarangire tortilis Camp,,Test,,0,,USD,Single Room,,1,13,99,1,1,165.0,0.0,0.0,0.0,01/03/2026,31/03/2026
,Tarangire tortilis Camp,,Test,,0,,USD,Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Tarangire tortilis Camp,,Test,,0,,USD,Single Room,,1,3,12,1,1,49.5,0.0,0.0,0.0,01/04/2026,31/05/2026
,Tarangire tortilis Camp,,Test,,0,,USD,Single Room,,1,13,99,1,1,99.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Tarangire tortilis Camp,,Test,,0,,USD,Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Tarangire tortilis Camp,,Test,,0,,USD,Single Room,,1,3,12,1,1,115.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Tarangire tortilis Camp,,Test,,0,,USD,Single Room,,1,13,99,1,1,230.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Tarangire tortilis Camp,,Test,,0,,USD,Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/11/2026,15/12/2026
,Tarangire tortilis Camp,,Test,,0,,USD,Single Room,,1,3,12,1,1,82.5,0.0,0.0,0.0,01/11/2026,15/12/2026
,Tarangire tortilis Camp,,Test,,0,,USD,Single Room,,1,13,99,1,1,165.0,0.0,0.0,0.0,01/11/2026,15/12/2026
,Tarangire tortilis Camp,,Test,,0,,USD,Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,16/12/2026,31/12/2026
,Tarangire tortilis Camp,,Test,,0,,USD,Single Room,,1,3,12,1,1,115.0,0.0,0.0,0.0,16/12/2026,31/12/2026
,Tarangire tortilis Camp,,Test,,0,,USD,Single Room,,1,13,99,1,1,230.0,0.0,0.0,0.0,16/12/2026,31/12/2026
,Tarangire tortilis Camp,,Test,,0,,USD,Double Room,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/01/2026,28/02/2026
,Tarangire tortilis Camp,,Test,,0,,USD,Double Room,,2,3,12,1,2,95.0,190.0,0.0,0.0,01/01/2026,28/02/2026
,Tarangire tortilis Camp,,Test,,0,,USD,Double Room,,2,13,99,1,2,190.0,190.0,0.0,0.0,01/01/2026,28/02/2026
,Tarangire tortilis Camp,,Test,,0,,USD,Double Room,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/03/2026,31/03/2026
,Tarangire tortilis Camp,,Test,,0,,USD,Double Room,,2,3,12,1,2,67.0,134.0,0.0,0.0,01/03/2026,31/03/2026
,Tarangire tortilis Camp,,Test,,0,,USD,Double Room,,2,13,99,1,2,134.0,134.0,0.0,0.0,01/03/2026,31/03/2026
,Tarangire tortilis Camp,,Test,,0,,USD,Double Room,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Tarangire tortilis Camp,,Test,,0,,USD,Double Room,,2,3,12,1,2,49.5,99.0,0.0,0.0,01/04/2026,31/05/2026
,Tarangire tortilis Camp,,Test,,0,,USD,Double Room,,2,13,99,1,2,99.0,99.0,0.0,0.0,01/04/2026,31/05/2026
,Tarangire tortilis Camp,,Test,,0,,USD,Double Room,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Tarangire tortilis Camp,,Test,,0,,USD,Double Room,,2,3,12,1,2,95.0,190.0,0.0,0.0,01/06/2026,31/10/2026
,Tarangire tortilis Camp,,Test,,0,,USD,Double Room,,2,13,99,1,2,190.0,190.0,0.0,0.0,01/06/2026,31/10/2026
,Tarangire tortilis Camp,,Test,,0,,USD,Double Room,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/11/2026,15/12/2026
,Tarangire tortilis Camp,,Test,,0,,USD,Double Room,,2,3,12,1,2,67.0,134.0,0.0,0.0,01/11/2026,15/12/2026
