location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,The Singing grass Serengeti Camp,,Test,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,16/01/2026,28/02/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Single Room,,1,5,15,1,1,164.5,0.0,0.0,0.0,16/01/2026,28/02/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Single Room,,1,16,99,1,1,329.0,0.0,0.0,0.0,16/01/2026,28/02/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/03/2026,30/05/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Single Room,,1,5,15,1,1,146.5,0.0,0.0,0.0,01/03/2026,30/05/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Single Room,,1,16,99,1,1,293.0,0.0,0.0,0.0,01/03/2026,30/05/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/07/2026,31/08/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Single Room,,1,5,15,1,1,202.5,0.0,0.0,0.0,01/07/2026,31/08/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Single Room,,1,16,99,1,1,405.0,0.0,0.0,0.0,01/07/2026,31/08/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/09/2026,31/10/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Single Room,,1,5,15,1,1,164.5,0.0,0.0,0.0,01/09/2026,31/10/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Single Room,,1,16,99,1,1,329.0,0.0,0.0,0.0,01/09/2026,31/10/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/11/2026,30/11/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Single Room,,1,5,15,1,1,146.5,0.0,0.0,0.0,01/11/2026,30/11/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Single Room,,1,16,99,1,1,293.0,0.0,0.0,0.0,01/11/2026,30/11/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/06/2026,30/06/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Single Room,,1,5,15,1,1,164.5,0.0,0.0,0.0,01/06/2026,30/06/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Single Room,,1,16,99,1,1,329.0,0.0,0.0,0.0,01/06/2026,30/06/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/12/2026,15/12/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Single Room,,1,5,15,1,1,164.5,0.0,0.0,0.0,01/12/2026,15/12/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Single Room,,1,16,99,1,1,329.0,0.0,0.0,0.0,01/12/2026,15/12/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,16/12/2026,15/01/2027
,The Singing grass Serengeti Camp,,Test,,0,,USD,Single Room,,1,5,15,1,1,202.5,0.0,0.0,0.0,16/12/2026,15/01/2027
,The Singing grass Serengeti Camp,,Test,,0,,USD,Single Room,,1,16,99,1,1,405.0,0.0,0.0,0.0,16/12/2026,15/01/2027
,The Singing grass Serengeti Camp,,Test,,0,,USD,Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,16/01/2026,28/02/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Double Room,,2,5,15,1,2,112.5,225.0,0.0,0.0,16/01/2026,28/02/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Double Room,,2,16,99,1,2,225.0,225.0,0.0,0.0,16/01/2026,28/02/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/03/2026,30/05/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Double Room,,2,5,15,1,2,97.5,195.0,0.0,0.0,01/03/2026,30/05/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Double Room,,2,16,99,1,2,195.0,195.0,0.0,0.0,01/03/2026,30/05/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/07/2026,31/08/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Double Room,,2,5,15,1,2,137.5,275.0,0.0,0.0,01/07/2026,31/08/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Double Room,,2,16,99,1,2,275.0,275.0,0.0,0.0,01/07/2026,31/08/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/09/2026,31/10/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Double Room,,2,5,15,1,2,112.5,225.0,0.0,0.0,01/09/2026,31/10/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Double Room,,2,16,99,1,2,225.0,225.0,0.0,0.0,01/09/2026,31/10/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/11/2026,30/11/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Double Room,,2,5,15,1,2,97.5,195.0,0.0,0.0,01/11/2026,30/11/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Double Room,,2,16,99,1,2,195.0,195.0,0.0,0.0,01/11/2026,30/11/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/06/2026,30/06/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Double Room,,2,5,15,1,2,112.5,225.0,0.0,0.0,01/06/2026,30/06/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Double Room,,2,16,99,1,2,225.0,225.0,0.0,0.0,01/06/2026,30/06/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/12/2026,15/12/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Double Room,,2,5,15,1,2,112.5,225.0,0.0,0.0,01/12/2026,15/12/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Double Room,,2,16,99,1,2,225.0,225.0,0.0,0.0,01/12/2026,15/12/2026
,The Singing grass Serengeti Camp,,Test,,0,,USD,Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,16/12/2026,15/01/2027
