location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Nyikani Suouthern Serengeti Camp,,Test,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,11/01/2026,14/04/2026
,Nyikani Suouthern Serengeti Camp,,Test,,0,,USD,Single Room,,1,6,15,1,1,97.5,0.0,0.0,0.0,11/01/2026,14/04/2026
,Nyikani Suouthern Serengeti Camp,,Test,,0,,USD,Single Room,,1,16,99,1,1,195.0,0.0,0.0,0.0,11/01/2026,14/04/2026
,Nyikani Suouthern Serengeti Camp,,Test,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,01/12/2026,19/12/2026
,Nyikani Suouthern Serengeti Camp,,Test,,0,,USD,Single Room,,1,6,15,1,1,80.0,0.0,0.0,0.0,01/12/2026,19/12/2026
,Nyikani Suouthern Serengeti Camp,,Test,,0,,USD,Single Room,,1,16,99,1,1,160.0,0.0,0.0,0.0,01/12/2026,19/12/2026
,Nyikani Suouthern Serengeti Camp,,Test,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,20/12/2026,03/01/2027
,Nyikani Suouthern Serengeti Camp,,Test,,0,,USD,Single Room,,1,6,15,1,1,97.5,0.0,0.0,0.0,20/12/2026,03/01/2027
,Nyikani Suouthern Serengeti Camp,,Test,,0,,USD,Single Room,,1,16,99,1,1,195.0,0.0,0.0,0.0,20/12/2026,03/01/2027
,Nyikani Suouthern Serengeti Camp,,Test,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,11/01/2026,14/04/2026
,Nyikani Suouthern Serengeti Camp,,Test,,0,,USD,Double Room,,2,6,15,1,2,97.5,195.0,0.0,0.0,11/01/2026,14/04/2026
,Nyikani Suouthern Serengeti Camp,,Test,,0,,USD,Double Room,,2,16,99,1,2,195.0,195.0,0.0,0.0,11/01/2026,14/04/2026
,Nyikani Suouthern Serengeti Camp,,Test,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/12/2026,19/12/2026
,Nyikani Suouthern Serengeti Camp,,Test,,0,,USD,Double Room,,2,6,15,1,2,80.0,160.0,0.0,0.0,01/12/2026,19/12/2026
,Nyikani Suouthern Serengeti Camp,,Test,,0,,USD,Double Room,,2,16,99,1,2,160.0,160.0,0.0,0.0,01/12/2026,19/12/2026
,Nyikani Suouthern Serengeti Camp,,Test,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,20/12/2026,03/01/2027
,Nyikani Suouthern Serengeti Camp,,Test,,0,,USD,Double Room,,2,6,15,1,2,97.5,195.0,0.0,0.0,20/12/2026,03/01/2027
,Nyikani Suouthern Serengeti Camp,,Test,,0,,USD,Double Room,,2,16,99,1,2,195.0,195.0,0.0,0.0,20/12/2026,03/01/2027
,Nyikani Suouthern Serengeti Camp,,Test,,0,,USD,Triple Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,11/01/2026,14/04/2026
,Nyikani Suouthern Serengeti Camp,,Test,,0,,USD,Triple Room,,3,6,15,1,3,97.5,195.0,0.0,0.0,11/01/2026,14/04/2026
,Nyikani Suouthern Serengeti Camp,,Test,,0,,USD,Triple Room,,3,16,99,1,3,195.0,195.0,0.0,0.0,11/01/2026,14/04/2026
,Nyikani Suouthern Serengeti Camp,,Test,,0,,USD,Triple Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,01/12/2026,19/12/2026
,Nyikani Suouthern Serengeti Camp,,Test,,0,,USD,Triple Room,,3,6,15,1,3,80.0,160.0,0.0,0.0,01/12/2026,19/12/2026
,Nyikani Suouthern Serengeti Camp,,Test,,0,,USD,Triple Room,,3,16,99,1,3,160.0,160.0,0.0,0.0,01/12/2026,19/12/2026
,Nyikani Suouthern Serengeti Camp,,Test,,0,,USD,Triple Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,20/12/2026,03/01/2027
,Nyikani Suouthern Serengeti Camp,,Test,,0,,USD,Triple Room,,3,6,15,1,3,97.5,195.0,0.0,0.0,20/12/2026,03/01/2027
,Nyikani Suouthern Serengeti Camp,,Test,,0,,USD,Triple Room,,3,16,99,1,3,195.0,195.0,0.0,0.0,20/12/2026,03/01/2027
