location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Toa Hotel $ Spa,,Test,,0,,USD,Superior Garden View,,2,0,3,1,2,0.0,0.0,0.0,0.0,07/01/2026,28/02/2026
,Toa Hotel $ Spa,,Test,,0,,USD,Superior Garden View,,2,4,11,1,2,87.75,122.85,0.0,0.0,07/01/2026,28/02/2026
,Toa Hotel $ Spa,,Test,,0,,USD,Superior Garden View,,2,12,99,1,2,175.5,122.85,0.0,0.0,07/01/2026,28/02/2026
,Toa Hotel $ Spa,,Test,,0,,USD,Superior Garden View,,2,0,3,1,2,0.0,0.0,0.0,0.0,01/03/2026,31/03/2026
,Toa Hotel $ Spa,,Test,,0,,USD,Superior Garden View,,2,4,11,1,2,84.75,118.65,0.0,0.0,01/03/2026,31/03/2026
,Toa Hotel $ Spa,,Test,,0,,USD,Superior Garden View,,2,12,99,1,2,169.5,118.65,0.0,0.0,01/03/2026,31/03/2026
,Toa Hotel $ Spa,,Test,,0,,USD,Superior Garden View,,2,0,3,1,2,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Toa Hotel $ Spa,,Test,,0,,USD,Superior Garden View,,2,4,11,1,2,78.75,110.25,0.0,0.0,01/04/2026,31/05/2026
,Toa Hotel $ Spa,,Test,,0,,USD,Superior Garden View,,2,12,99,1,2,157.5,110.25,0.0,0.0,01/04/2026,31/05/2026
,Toa Hotel $ Spa,,Test,,0,,USD,Superior Garden View,,2,0,3,1,2,0.0,0.0,0.0,0.0,01/06/2026,30/06/2026
,Toa Hotel $ Spa,,Test,,0,,USD,Superior Garden View,,2,4,11,1,2,87.75,122.85,0.0,0.0,01/06/2026,30/06/2026
,Toa Hotel $ Spa,,Test,,0,,USD,Superior Garden View,,2,12,99,1,2,175.5,122.85,0.0,0.0,01/06/2026,30/06/2026
,Toa Hotel $ Spa,,Test,,0,,USD,Superior Garden View,,2,0,3,1,2,0.0,0.0,0.0,0.0,01/07/2026,31/07/2026
,Toa Hotel $ Spa,,Test,,0,,USD,Superior Garden View,,2,4,11,1,2,93.5,130.9,0.0,0.0,01/07/2026,31/07/2026
,Toa Hotel $ Spa,,Test,,0,,USD,Superior Garden View,,2,12,99,1,2,187.0,130.9,0.0,0.0,01/07/2026,31/07/2026
,Toa Hotel $ Spa,,Test,,0,,USD,Superior Garden View,,2,0,3,1,2,0.0,0.0,0.0,0.0,01/08/2026,31/08/2026
,Toa Hotel $ Spa,,Test,,0,,USD,Superior Garden View,,2,4,11,1,2,93.5,130.9,0.0,0.0,01/08/2026,31/08/2026
,Toa Hotel $ Spa,,Test,,0,,USD,Superior Garden View,,2,12,99,1,2,187.0,130.9,0.0,0.0,01/08/2026,31/08/2026
,Toa Hotel $ Spa,,Test,,0,,USD,Superior Garden View,,2,0,3,1,2,0.0,0.0,0.0,0.0,01/03/2026,20/12/2026
,Toa Hotel $ Spa,,Test,,0,,USD,Superior Garden View,,2,4,11,1,2,87.75,122.85,0.0,0.0,01/03/2026,20/12/2026
,Toa Hotel $ Spa,,Test,,0,,USD,Superior Garden View,,2,12,99,1,2,175.5,122.85,0.0,0.0,01/03/2026,20/12/2026
