location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Essque Zalu Zanzibar,,Test,,0,,USD,Garden Suite Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,04/01/2026,31/03/2026
,Essque Zalu Zanzibar,,Test,,0,,USD,Garden Suite Single Room,,1,6,12,1,1,30.0,0.0,0.0,0.0,04/01/2026,31/03/2026
,Essque Zalu Zanzibar,,Test,,0,,USD,Garden Suite Single Room,,1,13,99,1,1,257.0,0.0,0.0,0.0,04/01/2026,31/03/2026
,Essque Zalu Zanzibar,,Test,,0,,USD,Garden Suite Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,01/04/2026,30/06/2026
,Essque Zalu Zanzibar,,Test,,0,,USD,Garden Suite Single Room,,1,6,12,1,1,30.0,0.0,0.0,0.0,01/04/2026,30/06/2026
,Essque Zalu Zanzibar,,Test,,0,,USD,Garden Suite Single Room,,1,13,99,1,1,214.0,0.0,0.0,0.0,01/04/2026,30/06/2026
,Essque Zalu Zanzibar,,Test,,0,,USD,Garden Suite Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,01/07/2026,31/08/2026
,Essque Zalu Zanzibar,,Test,,0,,USD,Garden Suite Single Room,,1,6,12,1,1,30.0,0.0,0.0,0.0,01/07/2026,31/08/2026
,Essque Zalu Zanzibar,,Test,,0,,USD,Garden Suite Single Room,,1,13,99,1,1,313.0,0.0,0.0,0.0,01/07/2026,31/08/2026
,Essque Zalu Zanzibar,,Test,,0,,USD,Garden Suite Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,01/09/2026,22/12/2026
,Essque Zalu Zanzibar,,Test,,0,,USD,Garden Suite Single Room,,1,6,12,1,1,30.0,0.0,0.0,0.0,01/09/2026,22/12/2026
,Essque Zalu Zanzibar,,Test,,0,,USD,Garden Suite Single Room,,1,13,99,1,1,257.0,0.0,0.0,0.0,01/09/2026,22/12/2026
,Essque Zalu Zanzibar,,Test,,0,,USD,Garden Suite Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,23/12/2026,03/01/2027
,Essque Zalu Zanzibar,,Test,,0,,USD,Garden Suite Single Room,,1,6,12,1,1,30.0,0.0,0.0,0.0,23/12/2026,03/01/2027
,Essque Zalu Zanzibar,,Test,,0,,USD,Garden Suite Single Room,,1,13,99,1,1,362.0,0.0,0.0,0.0,23/12/2026,03/01/2027
,Essque Zalu Zanzibar,,Test,,0,,USD,Garden Suite Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,04/01/2026,31/03/2026
,Essque Zalu Zanzibar,,Test,,0,,USD,Garden Suite Double Room,,2,6,12,1,2,30.0,160.5,0.0,0.0,04/01/2026,31/03/2026
,Essque Zalu Zanzibar,,Test,,0,,USD,Garden Suite Double Room,,2,13,99,1,2,160.5,160.5,0.0,0.0,04/01/2026,31/03/2026
,Essque Zalu Zanzibar,,Test,,0,,USD,Garden Suite Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/04/2026,30/06/2026
,Essque Zalu Zanzibar,,Test,,0,,USD,Garden Suite Double Room,,2,6,12,1,2,30.0,134.5,0.0,0.0,01/04/2026,30/06/2026
,Essque Zalu Zanzibar,,Test,,0,,USD,Garden Suite Double Room,,2,13,99,1,2,134.5,134.5,0.0,0.0,01/04/2026,30/06/2026
,Essque Zalu Zanzibar,,Test,,0,,USD,Garden Suite Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/07/2026,31/08/2026
,Essque Zalu Zanzibar,,Test,,0,,USD,Garden Suite Double Room,,2,6,12,1,2,30.0,196.0,0.0,0.0,01/07/2026,31/08/2026
,Essque Zalu Zanzibar,,Test,,0,,USD,Garden Suite Double Room,,2,13,99,1,2,196.0,196.0,0.0,0.0,01/07/2026,31/08/2026
,Essque Zalu Zanzibar,,Test,,0,,USD,Garden Suite Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/09/2026,22/12/2026
,Essque Zalu Zanzibar,,Test,,0,,USD,Garden Suite Double Room,,2,6,12,1,2,30.0,160.5,0.0,0.0,01/09/2026,22/12/2026
,Essque Zalu Zanzibar,,Test,,0,,USD,Garden Suite Double Room,,2,13,99,1,2,160.5,160.5,0.0,0.0,01/09/2026,22/12/2026
,Essque Zalu Zanzibar,,Test,,0,,USD,Garden Suite Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,23/12/2026,03/01/2027
,Essque Zalu Zanzibar,,Test,,0,,USD,Garden Suite Double Room,,2,6,12,1,2,30.0,226.5,0.0,0.0,23/12/2026,03/01/2027
,Essque Zalu Zanzibar,,Test,,0,,USD,Garden Suite Double Room,,2,13,99,1,2,226.5,226.5,0.0,0.0,23/12/2026,03/01/2027
,Essque Zalu Zanzibar,,Test,,0,,USD,Superior Suite Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,04/01/2026,31/03/2026
,Essque Zalu Zanzibar,,Test,,0,,USD,Superior Suite Single Room,,1,6,12,1,1,30.0,0.0,0.0,0.0,04/01/2026,31/03/2026
,Essque Zalu Zanzibar,,Test,,0,,USD,Superior Suite Single Room,,1,13,99,1,1,297.0,0.0,0.0,0.0,04/01/2026,31/03/2026
