location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Nungwi Beach Restort,,Test,,0,,USD,Garden View Double Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,16/01/2026,10/03/2026
,Nungwi Beach Restort,,Test,,0,,USD,Garden View Double Room,,3,6,12,1,3,48.34,96.67,0.0,30.0,16/01/2026,10/03/2026
,Nungwi Beach Restort,,Test,,0,,USD,Garden View Double Room,,3,13,99,1,3,96.67,96.67,0.0,30.0,16/01/2026,10/03/2026
,Nungwi Beach Restort,,Test,,0,,USD,Garden View Double Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,11/03/2026,28/03/2026
,Nungwi Beach Restort,,Test,,0,,USD,Garden View Double Room,,3,6,12,1,3,35.0,70.0,0.0,30.0,11/03/2026,28/03/2026
,Nungwi Beach Restort,,Test,,0,,USD,Garden View Double Room,,3,13,99,1,3,70.0,70.0,0.0,30.0,11/03/2026,28/03/2026
,Nungwi Beach Restort,,Test,,0,,USD,Garden View Double Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,29/03/2026,05/04/2026
,Nungwi Beach Restort,,Test,,0,,USD,Garden View Double Room,,3,6,12,1,3,41.66,83.33,0.0,30.0,29/03/2026,05/04/2026
,Nungwi Beach Restort,,Test,,0,,USD,Garden View Double Room,,3,13,99,1,3,83.33,83.33,0.0,30.0,29/03/2026,05/04/2026
,Nungwi Beach Restort,,Test,,0,,USD,Garden View Double Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,06/04/2026,17/04/2026
,Nungwi Beach Restort,,Test,,0,,USD,Garden View Double Room,,3,6,12,1,3,33.34,66.67,0.0,30.0,06/04/2026,17/04/2026
,Nungwi Beach Restort,,Test,,0,,USD,Garden View Double Room,,3,13,99,1,3,66.67,66.67,0.0,30.0,06/04/2026,17/04/2026
