location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Neptune Pwani Beach Resort & SPA,,Test,,0,,USD,Deluxe Garden View ( Double),,2,0,12,1,2,115.0,230.0,0.0,0.0,05/01/2026,28/02/2026
,Neptune Pwani Beach Resort & SPA,,Test,,0,,USD,Deluxe Garden View ( Double),,2,13,99,1,2,230.0,230.0,0.0,0.0,05/01/2026,28/02/2026
,Neptune Pwani Beach Resort & SPA,,Test,,0,,USD,Deluxe Garden View ( Double),,2,0,12,1,2,91.0,182.0,0.0,0.0,01/03/2026,31/03/2026
,Neptune Pwani Beach Resort & SPA,,Test,,0,,USD,Deluxe Garden View ( Double),,2,13,99,1,2,182.0,182.0,0.0,0.0,01/03/2026,31/03/2026
,Neptune Pwani Beach Resort & SPA,,Test,,0,,USD,Deluxe Garden View ( Double),,2,0,12,1,2,77.5,155.0,0.0,0.0,01/04/2026,30/06/2026
,Neptune Pwani Beach Resort & SPA,,Test,,0,,USD,Deluxe Garden View ( Double),,2,13,99,1,2,155.0,155.0,0.0,0.0,01/04/2026,30/06/2026
,Neptune Pwani Beach Resort & SPA,,Test,,0,,USD,Deluxe Garden View ( Double),,2,0,12,1,2,106.5,213.0,0.0,0.0,01/07/2026,31/08/2026
,Neptune Pwani Beach Resort & SPA,,Test,,0,,USD,Deluxe Garden View ( Double),,2,13,99,1,2,213.0,213.0,0.0,0.0,01/07/2026,31/08/2026
,Neptune Pwani Beach Resort & SPA,,Test,,0,,USD,Deluxe Garden View ( Double),,2,0,12,1,2,88.0,176.0,0.0,0.0,01/09/2026,31/10/2026
,Neptune Pwani Beach Resort & SPA,,Test,,0,,USD,Deluxe Garden View ( Double),,2,13,99,1,2,176.0,176.0,0.0,0.0,01/09/2026,31/10/2026
,Neptune Pwani Beach Resort & SPA,,Test,,0,,USD,Deluxe Garden View ( single),,1,0,12,1,1,172.5,0.0,0.0,0.0,05/01/2026,28/02/2026
,Neptune Pwani Beach Resort & SPA,,Test,,0,,USD,Deluxe Garden View ( single),,1,13,99,1,1,345.0,0.0,0.0,0.0,05/01/2026,28/02/2026
,Neptune Pwani Beach Resort & SPA,,Test,,0,,USD,Deluxe Garden View ( single),,1,0,12,1,1,136.5,0.0,0.0,0.0,01/03/2026,31/03/2026
