location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King Suite with balcony,,2,0,2,1,2,0.0,0.0,0.0,0.0,09/01/2026,28/02/2026
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King Suite with balcony,,2,3,99,1,2,106.5,106.5,27.0,45.0,09/01/2026,28/02/2026
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King Suite with balcony,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/03/2026,04/04/2026
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King Suite with balcony,,2,3,99,1,2,86.0,86.0,27.0,45.0,01/03/2026,04/04/2026
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King Suite with balcony,,2,0,2,1,2,0.0,0.0,0.0,0.0,05/04/2026,31/05/2026
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King Suite with balcony,,2,3,99,1,2,78.0,78.0,27.0,45.0,05/04/2026,31/05/2026
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King Suite with balcony,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/06/2026,30/06/2026
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King Suite with balcony,,2,3,99,1,2,106.5,106.5,27.0,45.0,01/06/2026,30/06/2026
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King Suite with balcony,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/07/2026,31/10/2026
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King Suite with balcony,,2,3,99,1,2,86.0,86.0,27.0,45.0,01/07/2026,31/10/2026
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King Suite with balcony,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/11/2026,19/12/2026
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King Suite with balcony,,2,3,99,1,2,106.5,106.5,27.0,45.0,01/11/2026,19/12/2026
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King Suite with balcony,,2,0,2,1,2,0.0,0.0,0.0,0.0,20/12/2026,08/01/2027
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King Suite with balcony,,2,3,99,1,2,112.5,112.5,27.0,45.0,20/12/2026,08/01/2027
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King room with Balcony first floor,,2,0,2,1,2,0.0,0.0,0.0,0.0,09/01/2026,28/02/2026
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King room with Balcony first floor,,2,3,99,1,2,89.5,89.5,27.0,45.0,09/01/2026,28/02/2026
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King room with Balcony first floor,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/03/2026,04/04/2026
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King room with Balcony first floor,,2,3,99,1,2,70.0,70.0,27.0,45.0,01/03/2026,04/04/2026
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King room with Balcony first floor,,2,0,2,1,2,0.0,0.0,0.0,0.0,05/04/2026,31/05/2026
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King room with Balcony first floor,,2,3,99,1,2,58.5,58.5,27.0,45.0,05/04/2026,31/05/2026
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King room with Balcony first floor,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/06/2026,30/06/2026
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King room with Balcony first floor,,2,3,99,1,2,89.5,89.5,27.0,45.0,01/06/2026,30/06/2026
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King room with Balcony first floor,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/07/2026,31/10/2026
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King room with Balcony first floor,,2,3,99,1,2,70.0,70.0,27.0,45.0,01/07/2026,31/10/2026
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King room with Balcony first floor,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/11/2026,19/12/2026
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King room with Balcony first floor,,2,3,99,1,2,89.5,89.5,27.0,45.0,01/11/2026,19/12/2026
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King room with Balcony first floor,,2,0,2,1,2,0.0,0.0,0.0,0.0,20/12/2026,08/01/2027
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King room with Balcony first floor,,2,3,99,1,2,98.0,98.0,27.0,45.0,20/12/2026,08/01/2027
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King room with Balcony first floor  Room,,3,0,2,1,3,0.0,0.0,0.0,0.0,09/01/2026,28/02/2026
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King room with Balcony first floor  Room,,3,3,99,1,3,66.67,66.67,27.0,45.0,09/01/2026,28/02/2026
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King room with Balcony first floor  Room,,3,0,2,1,3,0.0,0.0,0.0,0.0,01/03/2026,04/04/2026
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King room with Balcony first floor  Room,,3,3,99,1,3,53.33,53.33,27.0,45.0,01/03/2026,04/04/2026
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King room with Balcony first floor  Room,,3,0,2,1,3,0.0,0.0,0.0,0.0,05/04/2026,31/05/2026
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King room with Balcony first floor  Room,,3,3,99,1,3,45.67,45.67,27.0,45.0,05/04/2026,31/05/2026
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King room with Balcony first floor  Room,,3,0,2,1,3,0.0,0.0,0.0,0.0,01/06/2026,30/06/2026
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King room with Balcony first floor  Room,,3,3,99,1,3,66.67,66.67,27.0,45.0,01/06/2026,30/06/2026
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King room with Balcony first floor  Room,,3,0,2,1,3,0.0,0.0,0.0,0.0,01/07/2026,31/10/2026
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King room with Balcony first floor  Room,,3,3,99,1,3,53.33,53.33,27.0,45.0,01/07/2026,31/10/2026
,Marafiki Beach Hotel &spa,,Test,,0,,USD,King room with Balcony first floor  Room,,3,0,2,1,3,0.0,0.0,0.0,0.0,01/11/2026,19/12/2026
