location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Melia Zanzibar,,Test,,0,,USD,Melia Garden Single,,1,0,3,1,1,0.0,0.0,0.0,0.0,22/12/2025,06/01/2026
,Melia Zanzibar,,Test,,0,,USD,Melia Garden Single,,1,4,11,1,1,232.0,0.0,0.0,0.0,22/12/2025,06/01/2026
,Melia Zanzibar,,Test,,0,,USD,Melia Garden Single,,1,12,99,1,1,464.0,0.0,0.0,0.0,22/12/2025,06/01/2026
,Melia Zanzibar,,Test,,0,,USD,Melia Garden Single,,1,0,3,1,1,0.0,0.0,0.0,0.0,07/01/2026,28/02/2026
,Melia Zanzibar,,Test,,0,,USD,Melia Garden Single,,1,4,11,1,1,161.5,0.0,0.0,0.0,07/01/2026,28/02/2026
,Melia Zanzibar,,Test,,0,,USD,Melia Garden Single,,1,12,99,1,1,323.0,0.0,0.0,0.0,07/01/2026,28/02/2026
,Melia Zanzibar,,Test,,0,,USD,Melia Garden Single,,1,0,3,1,1,0.0,0.0,0.0,0.0,01/03/2026,31/03/2026
,Melia Zanzibar,,Test,,0,,USD,Melia Garden Single,,1,4,11,1,1,148.5,0.0,0.0,0.0,01/03/2026,31/03/2026
,Melia Zanzibar,,Test,,0,,USD,Melia Garden Single,,1,12,99,1,1,297.0,0.0,0.0,0.0,01/03/2026,31/03/2026
,Melia Zanzibar,,Test,,0,,USD,Melia Garden Single,,1,0,3,1,1,0.0,0.0,0.0,0.0,01/04/2026,30/06/2026
,Melia Zanzibar,,Test,,0,,USD,Melia Garden Single,,1,4,11,1,1,136.0,0.0,0.0,0.0,01/04/2026,30/06/2026
,Melia Zanzibar,,Test,,0,,USD,Melia Garden Single,,1,12,99,1,1,272.0,0.0,0.0,0.0,01/04/2026,30/06/2026
,Melia Zanzibar,,Test,,0,,USD,Melia Garden Single,,1,0,3,1,1,0.0,0.0,0.0,0.0,01/07/2026,31/08/2026
,Melia Zanzibar,,Test,,0,,USD,Melia Garden Single,,1,4,11,1,1,188.5,0.0,0.0,0.0,01/07/2026,31/08/2026
,Melia Zanzibar,,Test,,0,,USD,Melia Garden Single,,1,12,99,1,1,377.0,0.0,0.0,0.0,01/07/2026,31/08/2026
,Melia Zanzibar,,Test,,0,,USD,Melia Garden Single,,1,0,3,1,1,0.0,0.0,0.0,0.0,01/09/2026,31/10/2026
,Melia Zanzibar,,Test,,0,,USD,Melia Garden Single,,1,4,11,1,1,232.0,0.0,0.0,0.0,01/09/2026,31/10/2026
