location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Mahali Zanzibar,,Test,,0,,USD,Luxury Suite Room (Simba),,2,0,1,1,2,0.0,0.0,0.0,0.0,11/01/2026,19/12/2026
,Mahali Zanzibar,,Test,,0,,USD,Luxury Suite Room (Simba),,2,2,99,1,2,153.0,153.0,20.0,35.0,11/01/2026,19/12/2026
,Mahali Zanzibar,,Test,,0,,USD,Luxury Suite Room (Simba),,2,0,1,1,2,0.0,0.0,0.0,0.0,20/12/2026,10/01/2027
,Mahali Zanzibar,,Test,,0,,USD,Luxury Suite Room (Simba),,2,2,99,1,2,191.5,191.5,20.0,35.0,20/12/2026,10/01/2027
,Mahali Zanzibar,,Test,,0,,USD,Luxury Suite Room (Zazu),,2,0,1,1,2,0.0,0.0,0.0,0.0,11/01/2026,19/12/2026
,Mahali Zanzibar,,Test,,0,,USD,Luxury Suite Room (Zazu),,2,2,99,1,2,144.5,144.5,20.0,35.0,11/01/2026,19/12/2026
,Mahali Zanzibar,,Test,,0,,USD,Luxury Suite Room (Zazu),,2,0,1,1,2,0.0,0.0,0.0,0.0,20/12/2026,10/01/2027
,Mahali Zanzibar,,Test,,0,,USD,Luxury Suite Room (Zazu),,2,2,99,1,2,178.5,178.5,20.0,35.0,20/12/2026,10/01/2027
,Mahali Zanzibar,,Test,,0,,USD,Deluxe Double,,2,0,1,1,2,0.0,0.0,0.0,0.0,11/01/2026,19/12/2026
,Mahali Zanzibar,,Test,,0,,USD,Deluxe Double,,2,2,99,1,2,72.5,72.5,20.0,35.0,11/01/2026,19/12/2026
,Mahali Zanzibar,,Test,,0,,USD,Deluxe Double,,2,0,1,1,2,0.0,0.0,0.0,0.0,20/12/2026,10/01/2027
,Mahali Zanzibar,,Test,,0,,USD,Deluxe Double,,2,2,99,1,2,85.0,85.0,20.0,35.0,20/12/2026,10/01/2027
,Mahali Zanzibar,,Test,,0,,USD,DeluxeTwin,,2,0,1,1,2,0.0,0.0,0.0,0.0,11/01/2026,19/12/2026
,Mahali Zanzibar,,Test,,0,,USD,DeluxeTwin,,2,2,99,1,2,72.5,72.5,20.0,35.0,11/01/2026,19/12/2026
,Mahali Zanzibar,,Test,,0,,USD,DeluxeTwin,,2,0,1,1,2,0.0,0.0,0.0,0.0,20/12/2026,10/01/2027
,Mahali Zanzibar,,Test,,0,,USD,DeluxeTwin,,2,2,99,1,2,85.0,85.0,20.0,35.0,20/12/2026,10/01/2027
,Mahali Zanzibar,,Test,,0,,USD,Standard Double Room,,2,0,1,1,2,0.0,0.0,0.0,0.0,11/01/2026,19/12/2026
,Mahali Zanzibar,,Test,,0,,USD,Standard Double Room,,2,2,99,1,2,68.0,68.0,20.0,35.0,11/01/2026,19/12/2026
,Mahali Zanzibar,,Test,,0,,USD,Standard Double Room,,2,0,1,1,2,0.0,0.0,0.0,0.0,20/12/2026,10/01/2027
,Mahali Zanzibar,,Test,,0,,USD,Standard Double Room,,2,2,99,1,2,81.0,81.0,20.0,35.0,20/12/2026,10/01/2027
,Mahali Zanzibar,,Test,,0,,USD,Standard Twin Room,,2,0,1,1,2,0.0,0.0,0.0,0.0,11/01/2026,19/12/2026
,Mahali Zanzibar,,Test,,0,,USD,Standard Twin Room,,2,2,99,1,2,68.0,68.0,20.0,35.0,11/01/2026,19/12/2026
,Mahali Zanzibar,,Test,,0,,USD,Standard Twin Room,,2,0,1,1,2,0.0,0.0,0.0,0.0,20/12/2026,10/01/2027
,Mahali Zanzibar,,Test,,0,,USD,Standard Twin Room,,2,2,99,1,2,81.0,81.0,20.0,35.0,20/12/2026,10/01/2027
,Mahali Zanzibar,,Test,,0,,USD,Family Room,,4,0,1,1,4,0.0,0.0,0.0,0.0,11/01/2026,19/12/2026
,Mahali Zanzibar,,Test,,0,,USD,Family Room,,4,2,99,1,4,44.75,44.75,20.0,35.0,11/01/2026,19/12/2026
,Mahali Zanzibar,,Test,,0,,USD,Family Room,,4,0,1,1,4,0.0,0.0,0.0,0.0,20/12/2026,10/01/2027
,Mahali Zanzibar,,Test,,0,,USD,Family Room,,4,2,99,1,4,59.5,59.5,20.0,35.0,20/12/2026,10/01/2027
