location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Sevi Zanzibar,,Test,,0,,USD,Tripical Garden Bungalow ( Single),,1,12,99,1,1,179.0,0.0,40.0,60.0,11/01/2026,15/03/2026
,Sevi Zanzibar,,Test,,0,,USD,Tripical Garden Bungalow ( Single),,1,12,99,1,1,125.0,0.0,40.0,60.0,16/03/2026,30/06/2026
,Sevi Zanzibar,,Test,,0,,USD,Tripical Garden Bungalow ( Single),,1,12,99,1,1,179.0,0.0,40.0,60.0,01/07/2026,31/10/2026
,Sevi Zanzibar,,Test,,0,,USD,Tripical Garden Bungalow ( Single),,1,12,99,1,1,125.0,0.0,40.0,60.0,01/11/2026,22/12/2026
,Sevi Zanzibar,,Test,,0,,USD,Tripical Garden Bungalow ( Single),,1,12,99,1,1,279.0,0.0,40.0,60.0,23/12/2026,10/01/2027
,Sevi Zanzibar,,Test,,0,,USD,Tripical Garden Bungalow ( Double),,2,12,99,1,2,149.5,149.5,40.0,60.0,11/01/2026,15/03/2026
,Sevi Zanzibar,,Test,,0,,USD,Tripical Garden Bungalow ( Double),,2,12,99,1,2,76.0,76.0,40.0,60.0,16/03/2026,30/06/2026
,Sevi Zanzibar,,Test,,0,,USD,Tripical Garden Bungalow ( Double),,2,12,99,1,2,149.5,149.5,40.0,60.0,01/07/2026,31/10/2026
,Sevi Zanzibar,,Test,,0,,USD,Tripical Garden Bungalow ( Double),,2,12,99,1,2,76.0,76.0,40.0,60.0,01/11/2026,22/12/2026
,Sevi Zanzibar,,Test,,0,,USD,Tripical Garden Bungalow ( Double),,2,12,99,1,2,169.5,169.5,40.0,60.0,23/12/2026,10/01/2027
,Sevi Zanzibar,,Test,,0,,USD,Ocean Breeze Bungalow ( Single),,1,12,99,1,1,269.0,0.0,40.0,60.0,11/01/2026,15/03/2026
,Sevi Zanzibar,,Test,,0,,USD,Ocean Breeze Bungalow ( Single),,1,12,99,1,1,149.0,0.0,40.0,60.0,16/03/2026,30/06/2026
,Sevi Zanzibar,,Test,,0,,USD,Ocean Breeze Bungalow ( Single),,1,12,99,1,1,269.0,0.0,40.0,60.0,01/07/2026,31/10/2026
,Sevi Zanzibar,,Test,,0,,USD,Ocean Breeze Bungalow ( Single),,1,12,99,1,1,149.0,0.0,40.0,60.0,01/11/2026,22/12/2026
,Sevi Zanzibar,,Test,,0,,USD,Ocean Breeze Bungalow ( Single),,1,12,99,1,1,339.0,0.0,40.0,60.0,23/12/2026,10/01/2027
