location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Zanzibar Queen Beach Resort,,Test,,0,,USD,Beach Front Bungalow with Plunge Pool,,2,0,4,1,2,0.0,0.0,0.0,0.0,07/01/2026,28/02/2026
,Zanzibar Queen Beach Resort,,Test,,0,,USD,Beach Front Bungalow with Plunge Pool,,2,5,12,1,2,55.0,245.0,20.0,35.0,07/01/2026,28/02/2026
,Zanzibar Queen Beach Resort,,Test,,0,,USD,Beach Front Bungalow with Plunge Pool,,2,13,99,1,2,245.0,245.0,35.0,60.0,07/01/2026,28/02/2026
,Zanzibar Queen Beach Resort,,Test,,0,,USD,Beach Front Bungalow with Plunge Pool,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/03/2026,31/03/2026
,Zanzibar Queen Beach Resort,,Test,,0,,USD,Beach Front Bungalow with Plunge Pool,,2,5,12,1,2,45.0,200.0,20.0,35.0,01/03/2026,31/03/2026
,Zanzibar Queen Beach Resort,,Test,,0,,USD,Beach Front Bungalow with Plunge Pool,,2,13,99,1,2,200.0,200.0,35.0,60.0,01/03/2026,31/03/2026
,Zanzibar Queen Beach Resort,,Test,,0,,USD,Beach Front Bungalow with Plunge Pool,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/04/2026,30/06/2026
,Zanzibar Queen Beach Resort,,Test,,0,,USD,Beach Front Bungalow with Plunge Pool,,2,5,12,1,2,35.0,160.0,20.0,55.0,01/04/2026,30/06/2026
,Zanzibar Queen Beach Resort,,Test,,0,,USD,Beach Front Bungalow with Plunge Pool,,2,13,99,1,2,160.0,160.0,30.0,55.0,01/04/2026,30/06/2026
,Zanzibar Queen Beach Resort,,Test,,0,,USD,Beach Front Bungalow with Plunge Pool,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/07/2026,31/10/2026
