location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Garden Villa with Hot Tub,,2,0,3,1,2,0.0,0.0,0.0,0.0,07/01/2026,28/02/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Garden Villa with Hot Tub,,2,4,14,1,2,200.0,820.0,0.0,35.0,07/01/2026,28/02/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Garden Villa with Hot Tub,,2,15,99,1,2,820.0,820.0,0.0,60.0,07/01/2026,28/02/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Garden Villa with Hot Tub,,2,0,3,1,2,0.0,0.0,0.0,0.0,01/03/2026,31/05/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Garden Villa with Hot Tub,,2,4,14,1,2,200.0,440.0,0.0,35.0,01/03/2026,31/05/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Garden Villa with Hot Tub,,2,15,99,1,2,440.0,440.0,0.0,60.0,01/03/2026,31/05/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Garden Villa with Hot Tub,,2,0,3,1,2,0.0,0.0,0.0,0.0,01/06/2026,30/06/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Garden Villa with Hot Tub,,2,4,14,1,2,200.0,640.0,0.0,35.0,01/06/2026,30/06/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Garden Villa with Hot Tub,,2,15,99,1,2,640.0,640.0,0.0,60.0,01/06/2026,30/06/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Garden Villa with Hot Tub,,2,0,3,1,2,0.0,0.0,0.0,0.0,01/07/2026,31/08/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Garden Villa with Hot Tub,,2,4,14,1,2,200.0,820.0,0.0,35.0,01/07/2026,31/08/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Garden Villa with Hot Tub,,2,15,99,1,2,820.0,820.0,0.0,60.0,01/07/2026,31/08/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Garden Villa with Hot Tub,,2,0,3,1,2,0.0,0.0,0.0,0.0,01/09/2026,21/12/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Garden Villa with Hot Tub,,2,4,14,1,2,200.0,640.0,0.0,35.0,01/09/2026,21/12/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Garden Villa with Hot Tub,,2,15,99,1,2,640.0,640.0,0.0,60.0,01/09/2026,21/12/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Garden Villa with Hot Tub,,2,0,3,1,2,0.0,0.0,0.0,0.0,22/12/2026,06/01/2027
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Garden Villa with Hot Tub,,2,4,14,1,2,200.0,1120.0,0.0,35.0,22/12/2026,06/01/2027
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Garden Villa with Hot Tub,,2,15,99,1,2,1120.0,1120.0,0.0,60.0,22/12/2026,06/01/2027
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Garden Villa with Pool,,2,0,3,1,2,0.0,0.0,0.0,0.0,07/01/2026,28/02/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Garden Villa with Pool,,2,4,14,1,2,200.0,1760.0,0.0,35.0,07/01/2026,28/02/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Garden Villa with Pool,,2,15,99,1,2,1760.0,1760.0,0.0,60.0,07/01/2026,28/02/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Garden Villa with Pool,,2,0,3,1,2,0.0,0.0,0.0,0.0,01/03/2026,31/05/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Garden Villa with Pool,,2,4,14,1,2,200.0,1040.0,0.0,35.0,01/03/2026,31/05/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Garden Villa with Pool,,2,15,99,1,2,1040.0,1040.0,0.0,60.0,01/03/2026,31/05/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Garden Villa with Pool,,2,0,3,1,2,0.0,0.0,0.0,0.0,01/06/2026,30/06/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Garden Villa with Pool,,2,4,14,1,2,200.0,1440.0,0.0,35.0,01/06/2026,30/06/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Garden Villa with Pool,,2,15,99,1,2,1440.0,1440.0,0.0,60.0,01/06/2026,30/06/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Garden Villa with Pool,,2,0,3,1,2,0.0,0.0,0.0,0.0,01/07/2026,31/08/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Garden Villa with Pool,,2,4,14,1,2,200.0,1760.0,0.0,35.0,01/07/2026,31/08/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Garden Villa with Pool,,2,15,99,1,2,1760.0,1760.0,0.0,60.0,01/07/2026,31/08/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Garden Villa with Pool,,2,0,3,1,2,0.0,0.0,0.0,0.0,01/09/2026,21/12/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Garden Villa with Pool,,2,4,14,1,2,200.0,1440.0,0.0,35.0,01/09/2026,21/12/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Garden Villa with Pool,,2,15,99,1,2,1440.0,1440.0,0.0,60.0,01/09/2026,21/12/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Garden Villa with Pool,,2,0,3,1,2,0.0,0.0,0.0,0.0,22/12/2026,06/01/2027
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Garden Villa with Pool,,2,4,14,1,2,200.0,2480.0,0.0,35.0,22/12/2026,06/01/2027
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Garden Villa with Pool,,2,15,99,1,2,2480.0,2480.0,0.0,60.0,22/12/2026,06/01/2027
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Beachfront One-Bedroom Villa,,2,0,3,1,2,0.0,0.0,0.0,0.0,07/01/2026,28/02/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Beachfront One-Bedroom Villa,,2,4,14,1,2,200.0,1200.0,0.0,35.0,07/01/2026,28/02/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Beachfront One-Bedroom Villa,,2,15,99,1,2,1200.0,1200.0,0.0,60.0,07/01/2026,28/02/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Beachfront One-Bedroom Villa,,2,0,3,1,2,0.0,0.0,0.0,0.0,01/03/2026,31/05/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Beachfront One-Bedroom Villa,,2,4,14,1,2,200.0,680.0,0.0,35.0,01/03/2026,31/05/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Beachfront One-Bedroom Villa,,2,15,99,1,2,680.0,680.0,0.0,60.0,01/03/2026,31/05/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Beachfront One-Bedroom Villa,,2,0,3,1,2,0.0,0.0,0.0,0.0,01/06/2026,30/06/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Beachfront One-Bedroom Villa,,2,4,14,1,2,200.0,960.0,0.0,35.0,01/06/2026,30/06/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Beachfront One-Bedroom Villa,,2,15,99,1,2,960.0,960.0,0.0,60.0,01/06/2026,30/06/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Beachfront One-Bedroom Villa,,2,0,3,1,2,0.0,0.0,0.0,0.0,01/07/2026,31/08/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Beachfront One-Bedroom Villa,,2,4,14,1,2,200.0,1200.0,0.0,35.0,01/07/2026,31/08/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Beachfront One-Bedroom Villa,,2,15,99,1,2,1200.0,1200.0,0.0,60.0,01/07/2026,31/08/2026
,Zanzibar White Sand Luxury Villas & Spa,,Test,,0,,USD,Luxury Beachfront One-Bedroom Villa,,2,0,3,1,2,0.0,0.0,0.0,0.0,01/09/2026,21/12/2026
