location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Dhow Inn,,Test,,0,,USD,Deluxe Double,,2,0,3,1,2,0.0,0.0,0.0,0.0,05/01/2026,13/03/2026
,Dhow Inn,,Test,,0,,USD,Deluxe Double,,2,4,14,1,2,32.75,85.0,0.0,10.0,05/01/2026,13/03/2026
,Dhow Inn,,Test,,0,,USD,Deluxe Double,,2,15,99,1,2,65.5,85.0,0.0,20.0,05/01/2026,13/03/2026
,Dhow Inn,,Test,,0,,USD,Deluxe Double,,2,0,3,1,2,0.0,0.0,0.0,0.0,14/03/2026,31/03/2026
,Dhow Inn,,Test,,0,,USD,Deluxe Double,,2,4,14,1,2,22.75,59.0,0.0,10.0,14/03/2026,31/03/2026
,Dhow Inn,,Test,,0,,USD,Deluxe Double,,2,15,99,1,2,45.5,59.0,0.0,20.0,14/03/2026,31/03/2026
,Dhow Inn,,Test,,0,,USD,Deluxe Double,,2,0,3,1,2,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Dhow Inn,,Test,,0,,USD,Deluxe Double,,2,4,14,1,2,16.0,42.0,0.0,10.0,01/04/2026,31/05/2026
,Dhow Inn,,Test,,0,,USD,Deluxe Double,,2,15,99,1,2,32.0,42.0,0.0,20.0,01/04/2026,31/05/2026
,Dhow Inn,,Test,,0,,USD,Deluxe Double,,2,0,3,1,2,0.0,0.0,0.0,0.0,01/06/2026,04/07/2026
,Dhow Inn,,Test,,0,,USD,Deluxe Double,,2,4,14,1,2,32.75,85.0,0.0,10.0,01/06/2026,04/07/2026
,Dhow Inn,,Test,,0,,USD,Deluxe Double,,2,15,99,1,2,65.5,85.0,0.0,20.0,01/06/2026,04/07/2026
,Dhow Inn,,Test,,0,,USD,Deluxe Double,,2,0,3,1,2,0.0,0.0,0.0,0.0,05/07/2026,04/09/2026
,Dhow Inn,,Test,,0,,USD,Deluxe Double,,2,4,14,1,2,33.25,86.0,0.0,10.0,05/07/2026,04/09/2026
,Dhow Inn,,Test,,0,,USD,Deluxe Double,,2,15,99,1,2,66.5,86.0,0.0,20.0,05/07/2026,04/09/2026
,Dhow Inn,,Test,,0,,USD,Deluxe Double,,2,0,3,1,2,0.0,0.0,0.0,0.0,05/09/2026,31/10/2026
,Dhow Inn,,Test,,0,,USD,Deluxe Double,,2,4,14,1,2,26.25,68.0,0.0,10.0,05/09/2026,31/10/2026
,Dhow Inn,,Test,,0,,USD,Deluxe Double,,2,15,99,1,2,52.5,68.0,0.0,20.0,05/09/2026,31/10/2026
,Dhow Inn,,Test,,0,,USD,Premium Double,,2,0,3,1,2,0.0,0.0,0.0,0.0,05/01/2026,13/03/2026
,Dhow Inn,,Test,,0,,USD,Premium Double,,2,4,14,1,2,38.75,101.0,0.0,10.0,05/01/2026,13/03/2026
,Dhow Inn,,Test,,0,,USD,Premium Double,,2,15,99,1,2,77.5,101.0,0.0,20.0,05/01/2026,13/03/2026
,Dhow Inn,,Test,,0,,USD,Premium Double,,2,0,3,1,2,0.0,0.0,0.0,0.0,14/03/2026,31/03/2026
,Dhow Inn,,Test,,0,,USD,Premium Double,,2,4,14,1,2,25.75,67.0,0.0,10.0,14/03/2026,31/03/2026
,Dhow Inn,,Test,,0,,USD,Premium Double,,2,15,99,1,2,51.5,67.0,0.0,20.0,14/03/2026,31/03/2026
,Dhow Inn,,Test,,0,,USD,Premium Double,,2,0,3,1,2,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
,Dhow Inn,,Test,,0,,USD,Premium Double,,2,4,14,1,2,21.75,57.0,0.0,10.0,01/04/2026,31/05/2026
,Dhow Inn,,Test,,0,,USD,Premium Double,,2,15,99,1,2,43.5,57.0,0.0,20.0,01/04/2026,31/05/2026
,Dhow Inn,,Test,,0,,USD,Premium Double,,2,0,3,1,2,0.0,0.0,0.0,0.0,01/06/2026,04/07/2026
,Dhow Inn,,Test,,0,,USD,Premium Double,,2,4,14,1,2,38.75,101.0,0.0,10.0,01/06/2026,04/07/2026
,Dhow Inn,,Test,,0,,USD,Premium Double,,2,15,99,1,2,77.5,101.0,0.0,20.0,01/06/2026,04/07/2026
,Dhow Inn,,Test,,0,,USD,Premium Double,,2,0,3,1,2,0.0,0.0,0.0,0.0,05/07/2026,04/09/2026
,Dhow Inn,,Test,,0,,USD,Premium Double,,2,4,14,1,2,39.25,102.0,0.0,10.0,05/07/2026,04/09/2026
,Dhow Inn,,Test,,0,,USD,Premium Double,,2,15,99,1,2,78.5,102.0,0.0,20.0,05/07/2026,04/09/2026
,Dhow Inn,,Test,,0,,USD,Premium Double,,2,0,3,1,2,0.0,0.0,0.0,0.0,05/09/2026,31/10/2026
,Dhow Inn,,Test,,0,,USD,Premium Double,,2,4,14,1,2,32.0,83.0,0.0,10.0,05/09/2026,31/10/2026
,Dhow Inn,,Test,,0,,USD,Premium Double,,2,15,99,1,2,64.0,83.0,0.0,20.0,05/09/2026,31/10/2026
,Dhow Inn,,Test,,0,,USD,Triple Room,,3,0,3,1,3,0.0,0.0,0.0,0.0,05/01/2026,13/03/2026
,Dhow Inn,,Test,,0,,USD,Triple Room,,3,4,14,1,3,19.84,39.67,0.0,10.0,05/01/2026,13/03/2026
,Dhow Inn,,Test,,0,,USD,Triple Room,,3,15,99,1,3,39.67,39.67,0.0,20.0,05/01/2026,13/03/2026
