location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Tembo Kiwengwa Resort,,Test,,0,,USD,Single Room with Balcony Pool & Sea View,,1,0,5,1,1,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
,Tembo Kiwengwa Resort,,Test,,0,,USD,Single Room with Balcony Pool & Sea View,,1,6,10,1,1,30.0,0.0,20.0,39.99,01/01/2026,31/12/2026
,Tembo Kiwengwa Resort,,Test,,0,,USD,Single Room with Balcony Pool & Sea View,,1,11,99,1,1,140.0,0.0,20.0,39.99,01/01/2026,31/12/2026
,Tembo Kiwengwa Resort,,Test,,0,,USD,Single Room with Walk-In Pool & Balcony Seaview,,1,0,5,1,1,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
,Tembo Kiwengwa Resort,,Test,,0,,USD,Single Room with Walk-In Pool & Balcony Seaview,,1,6,10,1,1,30.0,0.0,20.0,39.99,01/01/2026,31/12/2026
,Tembo Kiwengwa Resort,,Test,,0,,USD,Single Room with Walk-In Pool & Balcony Seaview,,1,11,99,1,1,150.0,0.0,20.0,39.99,01/01/2026,31/12/2026
,Tembo Kiwengwa Resort,,Test,,0,,USD,Double Room with Balcony Pool & Sea View,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
,Tembo Kiwengwa Resort,,Test,,0,,USD,Double Room with Balcony Pool & Sea View,,2,6,10,1,2,30.0,80.0,20.0,39.99,01/01/2026,31/12/2026
,Tembo Kiwengwa Resort,,Test,,0,,USD,Double Room with Balcony Pool & Sea View,,2,11,99,1,2,80.0,80.0,20.0,39.99,01/01/2026,31/12/2026
,Tembo Kiwengwa Resort,,Test,,0,,USD,Twin Room with Balcony Pool & Sea View,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
,Tembo Kiwengwa Resort,,Test,,0,,USD,Twin Room with Balcony Pool & Sea View,,2,6,10,1,2,30.0,80.0,20.0,39.99,01/01/2026,31/12/2026
,Tembo Kiwengwa Resort,,Test,,0,,USD,Twin Room with Balcony Pool & Sea View,,2,11,99,1,2,80.0,80.0,20.0,39.99,01/01/2026,31/12/2026
,Tembo Kiwengwa Resort,,Test,,0,,USD,Double Room with Walk-In Pool & Balcony Seaview,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
,Tembo Kiwengwa Resort,,Test,,0,,USD,Double Room with Walk-In Pool & Balcony Seaview,,2,6,10,1,2,30.0,90.0,20.0,39.99,01/01/2026,31/12/2026
,Tembo Kiwengwa Resort,,Test,,0,,USD,Double Room with Walk-In Pool & Balcony Seaview,,2,11,99,1,2,90.0,90.0,20.0,39.99,01/01/2026,31/12/2026
