location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Marafiki Bungalows Zanzibar,,Test,,0,,USD,Honeymoon Suite - private villa with pool 2 pax $,,2,0,12,1,2,110.5,110.5,20.0,30.0,09/01/2026,28/02/2026
,Marafiki Bungalows Zanzibar,,Test,,0,,USD,Honeymoon Suite - private villa with pool 2 pax $,,2,12,99,1,2,110.5,110.5,25.0,39.0,09/01/2026,28/02/2026
,Marafiki Bungalows Zanzibar,,Test,,0,,USD,Honeymoon Suite - private villa with pool 2 pax $,,2,0,12,1,2,81.0,81.0,20.0,30.0,01/03/2026,04/04/2026
,Marafiki Bungalows Zanzibar,,Test,,0,,USD,Honeymoon Suite - private villa with pool 2 pax $,,2,12,99,1,2,81.0,81.0,25.0,39.0,01/03/2026,04/04/2026
,Marafiki Bungalows Zanzibar,,Test,,0,,USD,Honeymoon Suite - private villa with pool 2 pax $,,2,0,12,1,2,72.5,72.5,20.0,30.0,05/04/2026,31/05/2026
,Marafiki Bungalows Zanzibar,,Test,,0,,USD,Honeymoon Suite - private villa with pool 2 pax $,,2,12,99,1,2,72.5,72.5,25.0,39.0,05/04/2026,31/05/2026
,Marafiki Bungalows Zanzibar,,Test,,0,,USD,Honeymoon Suite - private villa with pool 2 pax $,,2,0,12,1,2,81.0,81.0,20.0,30.0,01/06/2026,10/07/2026
,Marafiki Bungalows Zanzibar,,Test,,0,,USD,Honeymoon Suite - private villa with pool 2 pax $,,2,12,99,1,2,81.0,81.0,25.0,39.0,01/06/2026,10/07/2026
,Marafiki Bungalows Zanzibar,,Test,,0,,USD,Honeymoon Suite - private villa with pool 2 pax $,,2,0,12,1,2,110.5,110.5,20.0,30.0,11/07/2026,31/08/2026
,Marafiki Bungalows Zanzibar,,Test,,0,,USD,Honeymoon Suite - private villa with pool 2 pax $,,2,12,99,1,2,110.5,110.5,25.0,39.0,11/07/2026,31/08/2026
,Marafiki Bungalows Zanzibar,,Test,,0,,USD,Honeymoon Suite - private villa with pool 2 pax $,,2,0,12,1,2,81.0,81.0,20.0,30.0,01/09/2026,30/09/2026
