location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Double Room,,2,0,4,1,2,38.25,60.0,0.0,0.0,01/06/2026,30/06/2026
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Double Room,,2,5,7,1,2,76.5,60.0,0.0,0.0,01/06/2026,30/06/2026
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Double Room,,2,8,12,1,2,114.75,60.0,0.0,0.0,01/06/2026,30/06/2026
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Double Room,,2,13,99,1,2,153.0,60.0,0.0,0.0,01/06/2026,30/06/2026
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Double Room,,2,0,4,1,2,44.75,80.0,0.0,0.0,01/07/2026,31/10/2026
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Double Room,,2,5,7,1,2,89.5,80.0,0.0,0.0,01/07/2026,31/10/2026
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Double Room,,2,8,12,1,2,134.25,80.0,0.0,0.0,01/07/2026,31/10/2026
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Double Room,,2,13,99,1,2,179.0,80.0,0.0,0.0,01/07/2026,31/10/2026
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Double Room,,2,0,4,1,2,38.25,60.0,0.0,0.0,01/11/2026,23/12/2026
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Double Room,,2,5,7,1,2,76.5,60.0,0.0,0.0,01/11/2026,23/12/2026
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Double Room,,2,8,12,1,2,114.75,60.0,0.0,0.0,01/11/2026,23/12/2026
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Double Room,,2,13,99,1,2,153.0,60.0,0.0,0.0,01/11/2026,23/12/2026
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Double Room,,2,0,4,1,2,44.75,80.0,0.0,0.0,24/12/2026,31/12/2026
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Double Room,,2,5,7,1,2,89.5,80.0,0.0,0.0,24/12/2026,31/12/2026
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Double Room,,2,8,12,1,2,134.25,80.0,0.0,0.0,24/12/2026,31/12/2026
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Double Room,,2,13,99,1,2,179.0,80.0,0.0,0.0,24/12/2026,31/12/2026
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Double Room,,2,0,4,1,2,44.75,80.0,0.0,0.0,01/01/2027,04/01/2027
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Double Room,,2,5,7,1,2,89.5,80.0,0.0,0.0,01/01/2027,04/01/2027
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Double Room,,2,8,12,1,2,134.25,80.0,0.0,0.0,01/01/2027,04/01/2027
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Double Room,,2,13,99,1,2,179.0,80.0,0.0,0.0,01/01/2027,04/01/2027
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Double Room,,2,0,4,1,2,44.75,80.0,0.0,0.0,05/01/2027,31/03/2027
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Double Room,,2,5,7,1,2,89.5,80.0,0.0,0.0,05/01/2027,31/03/2027
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Double Room,,2,8,12,1,2,134.25,80.0,0.0,0.0,05/01/2027,31/03/2027
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Double Room,,2,13,99,1,2,179.0,80.0,0.0,0.0,05/01/2027,31/03/2027
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Twin Room,,2,0,4,1,2,38.25,60.0,0.0,0.0,01/06/2026,30/06/2026
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Twin Room,,2,5,7,1,2,76.5,60.0,0.0,0.0,01/06/2026,30/06/2026
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Twin Room,,2,8,12,1,2,114.75,60.0,0.0,0.0,01/06/2026,30/06/2026
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Twin Room,,2,13,99,1,2,153.0,60.0,0.0,0.0,01/06/2026,30/06/2026
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Twin Room,,2,0,4,1,2,44.75,80.0,0.0,0.0,01/07/2026,31/10/2026
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Twin Room,,2,5,7,1,2,89.5,80.0,0.0,0.0,01/07/2026,31/10/2026
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Twin Room,,2,8,12,1,2,134.25,80.0,0.0,0.0,01/07/2026,31/10/2026
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Twin Room,,2,13,99,1,2,179.0,80.0,0.0,0.0,01/07/2026,31/10/2026
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Twin Room,,2,0,4,1,2,38.25,60.0,0.0,0.0,01/11/2026,23/12/2026
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Twin Room,,2,5,7,1,2,76.5,60.0,0.0,0.0,01/11/2026,23/12/2026
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Twin Room,,2,8,12,1,2,114.75,60.0,0.0,0.0,01/11/2026,23/12/2026
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Twin Room,,2,13,99,1,2,153.0,60.0,0.0,0.0,01/11/2026,23/12/2026
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Twin Room,,2,0,4,1,2,44.75,80.0,0.0,0.0,24/12/2026,31/12/2026
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Twin Room,,2,5,7,1,2,89.5,80.0,0.0,0.0,24/12/2026,31/12/2026
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Twin Room,,2,8,12,1,2,134.25,80.0,0.0,0.0,24/12/2026,31/12/2026
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Twin Room,,2,13,99,1,2,179.0,80.0,0.0,0.0,24/12/2026,31/12/2026
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Twin Room,,2,0,4,1,2,44.75,80.0,0.0,0.0,01/01/2027,04/01/2027
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Twin Room,,2,5,7,1,2,89.5,80.0,0.0,0.0,01/01/2027,04/01/2027
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Twin Room,,2,8,12,1,2,134.25,80.0,0.0,0.0,01/01/2027,04/01/2027
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Twin Room,,2,13,99,1,2,179.0,80.0,0.0,0.0,01/01/2027,04/01/2027
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Twin Room,,2,0,4,1,2,44.75,80.0,0.0,0.0,05/01/2027,31/03/2027
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Twin Room,,2,5,7,1,2,89.5,80.0,0.0,0.0,05/01/2027,31/03/2027
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Twin Room,,2,8,12,1,2,134.25,80.0,0.0,0.0,05/01/2027,31/03/2027
,Vuma Hills Tented Camp By Stanley's  Kopje,,Test,,0,,USD,Twin Room,,2,13,99,1,2,179.0,80.0,0.0,0.0,05/01/2027,31/03/2027
