location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Ahadi Lodge,,Test,,0,,USD,Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/03/2026,31/05/2026
,Ahadi Lodge,,Test,,0,,USD,Single Room,,1,3,12,1,1,40.0,0.0,25.0,45.0,01/03/2026,31/05/2026
,Ahadi Lodge,,Test,,0,,USD,Single Room,,1,13,99,1,1,80.0,0.0,25.0,45.0,01/03/2026,31/05/2026
,Ahadi Lodge,,Test,,0,,USD,Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/06/2026,30/06/2026
,Ahadi Lodge,,Test,,0,,USD,Single Room,,1,3,12,1,1,47.5,0.0,25.0,45.0,01/06/2026,30/06/2026
,Ahadi Lodge,,Test,,0,,USD,Single Room,,1,13,99,1,1,95.0,0.0,25.0,45.0,01/06/2026,30/06/2026
,Ahadi Lodge,,Test,,0,,USD,Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/07/2026,31/08/2026
,Ahadi Lodge,,Test,,0,,USD,Single Room,,1,3,12,1,1,52.5,0.0,25.0,45.0,01/07/2026,31/08/2026
,Ahadi Lodge,,Test,,0,,USD,Single Room,,1,13,99,1,1,105.0,0.0,25.0,45.0,01/07/2026,31/08/2026
,Ahadi Lodge,,Test,,0,,USD,Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/09/2026,30/11/2026
,Ahadi Lodge,,Test,,0,,USD,Single Room,,1,3,12,1,1,47.5,0.0,25.0,45.0,01/09/2026,30/11/2026
,Ahadi Lodge,,Test,,0,,USD,Single Room,,1,13,99,1,1,95.0,0.0,25.0,45.0,01/09/2026,30/11/2026
,Ahadi Lodge,,Test,,0,,USD,Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/12/2026,31/12/2026
,Ahadi Lodge,,Test,,0,,USD,Single Room,,1,3,12,1,1,52.5,0.0,25.0,45.0,01/12/2026,31/12/2026
,Ahadi Lodge,,Test,,0,,USD,Single Room,,1,13,99,1,1,105.0,0.0,25.0,45.0,01/12/2026,31/12/2026
,Ahadi Lodge,,Test,,0,,USD,Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/01/2027,28/02/2027
,Ahadi Lodge,,Test,,0,,USD,Single Room,,1,3,12,1,1,47.5,0.0,25.0,45.0,01/01/2027,28/02/2027
,Ahadi Lodge,,Test,,0,,USD,Single Room,,1,13,99,1,1,95.0,0.0,25.0,45.0,01/01/2027,28/02/2027
,Ahadi Lodge,,Test,,0,,USD,Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/03/2027,31/05/2027
,Ahadi Lodge,,Test,,0,,USD,Single Room,,1,3,12,1,1,40.0,0.0,25.0,45.0,01/03/2027,31/05/2027
,Ahadi Lodge,,Test,,0,,USD,Single Room,,1,13,99,1,1,80.0,0.0,25.0,45.0,01/03/2027,31/05/2027
,Ahadi Lodge,,Test,,0,,USD,Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/06/2027,30/06/2027
,Ahadi Lodge,,Test,,0,,USD,Single Room,,1,3,12,1,1,47.5,0.0,25.0,45.0,01/06/2027,30/06/2027
,Ahadi Lodge,,Test,,0,,USD,Single Room,,1,13,99,1,1,95.0,0.0,25.0,45.0,01/06/2027,30/06/2027
,Ahadi Lodge,,Test,,0,,USD,Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/07/2027,31/08/2027
,Ahadi Lodge,,Test,,0,,USD,Single Room,,1,3,12,1,1,52.5,0.0,25.0,45.0,01/07/2027,31/08/2027
,Ahadi Lodge,,Test,,0,,USD,Single Room,,1,13,99,1,1,105.0,0.0,25.0,45.0,01/07/2027,31/08/2027
,Ahadi Lodge,,Test,,0,,USD,Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/09/2027,30/11/2027
,Ahadi Lodge,,Test,,0,,USD,Single Room,,1,3,12,1,1,47.5,0.0,25.0,45.0,01/09/2027,30/11/2027
,Ahadi Lodge,,Test,,0,,USD,Single Room,,1,13,99,1,1,95.0,0.0,25.0,45.0,01/09/2027,30/11/2027
,Ahadi Lodge,,Test,,0,,USD,Single Room,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/12/2027,31/12/2027
,Ahadi Lodge,,Test,,0,,USD,Single Room,,1,3,12,1,1,52.5,0.0,25.0,45.0,01/12/2027,31/12/2027
,Ahadi Lodge,,Test,,0,,USD,Single Room,,1,13,99,1,1,105.0,0.0,25.0,45.0,01/12/2027,31/12/2027
,Ahadi Lodge,,Test,,0,,USD,Double Room,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/03/2026,31/05/2026
,Ahadi Lodge,,Test,,0,,USD,Double Room,,2,3,12,1,2,25.0,50.0,25.0,45.0,01/03/2026,31/05/2026
,Ahadi Lodge,,Test,,0,,USD,Double Room,,2,13,99,1,2,50.0,50.0,25.0,45.0,01/03/2026,31/05/2026
,Ahadi Lodge,,Test,,0,,USD,Double Room,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/06/2026,30/06/2026
,Ahadi Lodge,,Test,,0,,USD,Double Room,,2,3,12,1,2,30.0,60.0,25.0,45.0,01/06/2026,30/06/2026
,Ahadi Lodge,,Test,,0,,USD,Double Room,,2,13,99,1,2,60.0,60.0,25.0,45.0,01/06/2026,30/06/2026
,Ahadi Lodge,,Test,,0,,USD,Double Room,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/07/2026,31/08/2026
,Ahadi Lodge,,Test,,0,,USD,Double Room,,2,3,12,1,2,36.25,72.5,25.0,45.0,01/07/2026,31/08/2026
,Ahadi Lodge,,Test,,0,,USD,Double Room,,2,13,99,1,2,72.5,72.5,25.0,45.0,01/07/2026,31/08/2026
,Ahadi Lodge,,Test,,0,,USD,Double Room,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/09/2026,30/11/2026
,Ahadi Lodge,,Test,,0,,USD,Double Room,,2,3,12,1,2,30.0,60.0,25.0,45.0,01/09/2026,30/11/2026
,Ahadi Lodge,,Test,,0,,USD,Double Room,,2,13,99,1,2,60.0,60.0,25.0,45.0,01/09/2026,30/11/2026
,Ahadi Lodge,,Test,,0,,USD,Double Room,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/12/2026,31/12/2026
,Ahadi Lodge,,Test,,0,,USD,Double Room,,2,3,12,1,2,36.25,72.5,25.0,45.0,01/12/2026,31/12/2026
,Ahadi Lodge,,Test,,0,,USD,Double Room,,2,13,99,1,2,72.5,72.5,25.0,45.0,01/12/2026,31/12/2026
,Ahadi Lodge,,Test,,0,,USD,Double Room,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/01/2027,28/02/2027
,Ahadi Lodge,,Test,,0,,USD,Double Room,,2,3,12,1,2,30.0,60.0,25.0,45.0,01/01/2027,28/02/2027
,Ahadi Lodge,,Test,,0,,USD,Double Room,,2,13,99,1,2,60.0,60.0,25.0,45.0,01/01/2027,28/02/2027
,Ahadi Lodge,,Test,,0,,USD,Double Room,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/03/2027,31/05/2027
,Ahadi Lodge,,Test,,0,,USD,Double Room,,2,3,12,1,2,25.0,50.0,25.0,45.0,01/03/2027,31/05/2027
,Ahadi Lodge,,Test,,0,,USD,Double Room,,2,13,99,1,2,50.0,50.0,25.0,45.0,01/03/2027,31/05/2027
,Ahadi Lodge,,Test,,0,,USD,Double Room,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/06/2027,30/06/2027
,Ahadi Lodge,,Test,,0,,USD,Double Room,,2,3,12,1,2,30.0,60.0,25.0,45.0,01/06/2027,30/06/2027
,Ahadi Lodge,,Test,,0,,USD,Double Room,,2,13,99,1,2,60.0,60.0,25.0,45.0,01/06/2027,30/06/2027
,Ahadi Lodge,,Test,,0,,USD,Double Room,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/07/2027,31/08/2027
,Ahadi Lodge,,Test,,0,,USD,Double Room,,2,3,12,1,2,36.25,72.5,25.0,45.0,01/07/2027,31/08/2027
,Ahadi Lodge,,Test,,0,,USD,Double Room,,2,13,99,1,2,72.5,72.5,25.0,45.0,01/07/2027,31/08/2027
,Ahadi Lodge,,Test,,0,,USD,Double Room,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/09/2027,30/11/2027
,Ahadi Lodge,,Test,,0,,USD,Double Room,,2,3,12,1,2,30.0,60.0,25.0,45.0,01/09/2027,30/11/2027
