location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,RiverTrees Country Inn,,test,,0,,USD,Garden Room (Double),,2,0,4,1,2,0.0,0.0,0.0,0.0,18/05/2026,14/06/2026
,RiverTrees Country Inn,,test,,0,,USD,Garden Room (Double),,2,5,12,1,2,72.0,144.0,0.0,0.0,18/05/2026,14/06/2026
,RiverTrees Country Inn,,test,,0,,USD,Garden Room (Double),,2,13,99,1,2,144.0,144.0,0.0,0.0,18/05/2026,14/06/2026
,RiverTrees Country Inn,,test,,0,,USD,Garden Room (Double),,2,0,4,1,2,0.0,0.0,0.0,0.0,15/06/2026,31/10/2026
,RiverTrees Country Inn,,test,,0,,USD,Garden Room (Double),,2,5,12,1,2,84.0,168.0,0.0,0.0,15/06/2026,31/10/2026
,RiverTrees Country Inn,,test,,0,,USD,Garden Room (Double),,2,13,99,1,2,168.0,168.0,0.0,0.0,15/06/2026,31/10/2026
,RiverTrees Country Inn,,test,,0,,USD,Garden Room (Double),,2,0,4,1,2,0.0,0.0,0.0,0.0,01/11/2026,20/12/2026
,RiverTrees Country Inn,,test,,0,,USD,Garden Room (Double),,2,5,12,1,2,44.0,88.0,0.0,0.0,01/11/2026,20/12/2026
,RiverTrees Country Inn,,test,,0,,USD,Garden Room (Double),,2,13,99,1,2,88.0,88.0,0.0,0.0,01/11/2026,20/12/2026
,RiverTrees Country Inn,,test,,0,,USD,Garden Room (Double),,2,0,4,1,2,0.0,0.0,0.0,0.0,21/12/2026,31/12/2026
,RiverTrees Country Inn,,test,,0,,USD,Garden Room (Double),,2,5,12,1,2,72.0,144.0,0.0,0.0,21/12/2026,31/12/2026
,RiverTrees Country Inn,,test,,0,,USD,Garden Room (Double),,2,13,99,1,2,144.0,144.0,0.0,0.0,21/12/2026,31/12/2026
,RiverTrees Country Inn,,test,,0,,USD,Garden Room (Double),,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2027,14/03/2027
,RiverTrees Country Inn,,test,,0,,USD,Garden Room (Double),,2,5,12,1,2,72.0,144.0,0.0,0.0,01/01/2027,14/03/2027
,RiverTrees Country Inn,,test,,0,,USD,Garden Room (Double),,2,13,99,1,2,144.0,144.0,0.0,0.0,01/01/2027,14/03/2027
,RiverTrees Country Inn,,test,,0,,USD,Garden Room (Double),,2,0,4,1,2,0.0,0.0,0.0,0.0,15/03/2027,16/05/2027
,RiverTrees Country Inn,,test,,0,,USD,Garden Room (Double),,2,5,12,1,2,44.0,88.0,0.0,0.0,15/03/2027,16/05/2027
,RiverTrees Country Inn,,test,,0,,USD,Garden Room (Double),,2,13,99,1,2,88.0,88.0,0.0,0.0,15/03/2027,16/05/2027
,RiverTrees Country Inn,,test,,0,,USD,Garden Room( Triple),,3,0,4,1,3,0.0,0.0,0.0,0.0,18/05/2026,14/06/2026
,RiverTrees Country Inn,,test,,0,,USD,Garden Room( Triple),,3,5,12,1,3,64.0,128.0,0.0,0.0,18/05/2026,14/06/2026
,RiverTrees Country Inn,,test,,0,,USD,Garden Room( Triple),,3,13,99,1,3,128.0,128.0,0.0,0.0,18/05/2026,14/06/2026
,RiverTrees Country Inn,,test,,0,,USD,Garden Room( Triple),,3,0,4,1,3,0.0,0.0,0.0,0.0,15/06/2026,31/10/2026
,RiverTrees Country Inn,,test,,0,,USD,Garden Room( Triple),,3,5,12,1,3,76.0,152.0,0.0,0.0,15/06/2026,31/10/2026
,RiverTrees Country Inn,,test,,0,,USD,Garden Room( Triple),,3,13,99,1,3,152.0,152.0,0.0,0.0,15/06/2026,31/10/2026
,RiverTrees Country Inn,,test,,0,,USD,Garden Room( Triple),,3,0,4,1,3,0.0,0.0,0.0,0.0,01/11/2026,20/12/2026
,RiverTrees Country Inn,,test,,0,,USD,Garden Room( Triple),,3,5,12,1,3,40.0,80.0,0.0,0.0,01/11/2026,20/12/2026
,RiverTrees Country Inn,,test,,0,,USD,Garden Room( Triple),,3,13,99,1,3,80.0,80.0,0.0,0.0,01/11/2026,20/12/2026
,RiverTrees Country Inn,,test,,0,,USD,Garden Room( Triple),,3,0,4,1,3,0.0,0.0,0.0,0.0,21/12/2026,31/12/2026
,RiverTrees Country Inn,,test,,0,,USD,Garden Room( Triple),,3,5,12,1,3,64.0,128.0,0.0,0.0,21/12/2026,31/12/2026
,RiverTrees Country Inn,,test,,0,,USD,Garden Room( Triple),,3,13,99,1,3,128.0,128.0,0.0,0.0,21/12/2026,31/12/2026
,RiverTrees Country Inn,,test,,0,,USD,Garden Room( Triple),,3,0,4,1,3,0.0,0.0,0.0,0.0,01/01/2027,14/03/2027
,RiverTrees Country Inn,,test,,0,,USD,Garden Room( Triple),,3,5,12,1,3,64.0,128.0,0.0,0.0,01/01/2027,14/03/2027
,RiverTrees Country Inn,,test,,0,,USD,Garden Room( Triple),,3,13,99,1,3,128.0,128.0,0.0,0.0,01/01/2027,14/03/2027
,RiverTrees Country Inn,,test,,0,,USD,Garden Room( Triple),,3,0,4,1,3,0.0,0.0,0.0,0.0,15/03/2027,16/05/2027
,RiverTrees Country Inn,,test,,0,,USD,Garden Room( Triple),,3,5,12,1,3,40.0,80.0,0.0,0.0,15/03/2027,16/05/2027
,RiverTrees Country Inn,,test,,0,,USD,Garden Room( Triple),,3,13,99,1,3,80.0,80.0,0.0,0.0,15/03/2027,16/05/2027
,RiverTrees Country Inn,,test,,0,,USD,Exclusive Farm House,,4,0,4,1,4,0.0,0.0,0.0,0.0,18/05/2026,14/06/2026
,RiverTrees Country Inn,,test,,0,,USD,Exclusive Farm House,,4,5,12,1,4,144.0,288.0,0.0,0.0,18/05/2026,14/06/2026
,RiverTrees Country Inn,,test,,0,,USD,Exclusive Farm House,,4,13,99,1,4,288.0,288.0,0.0,0.0,18/05/2026,14/06/2026
,RiverTrees Country Inn,,test,,0,,USD,Exclusive Farm House,,4,0,4,1,4,0.0,0.0,0.0,0.0,15/06/2026,31/10/2026
,RiverTrees Country Inn,,test,,0,,USD,Exclusive Farm House,,4,5,12,1,4,168.0,336.0,0.0,0.0,15/06/2026,31/10/2026
,RiverTrees Country Inn,,test,,0,,USD,Exclusive Farm House,,4,13,99,1,4,336.0,336.0,0.0,0.0,15/06/2026,31/10/2026
,RiverTrees Country Inn,,test,,0,,USD,Exclusive Farm House,,4,0,4,1,4,0.0,0.0,0.0,0.0,01/11/2026,20/12/2026
,RiverTrees Country Inn,,test,,0,,USD,Exclusive Farm House,,4,5,12,1,4,88.0,176.0,0.0,0.0,01/11/2026,20/12/2026
