location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Single),,1,0,5,1,1,0.0,0.0,0.0,0.0,07/01/2026,31/01/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Single),,1,6,12,1,1,90.0,0.0,17.5,31.5,07/01/2026,31/01/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Single),,1,13,99,1,1,180.0,0.0,35.0,63.0,07/01/2026,31/01/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Single),,1,0,5,1,1,0.0,0.0,0.0,0.0,01/02/2026,28/02/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Single),,1,6,12,1,1,92.5,0.0,17.5,31.5,01/02/2026,28/02/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Single),,1,13,99,1,1,185.0,0.0,35.0,63.0,01/02/2026,28/02/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Single),,1,0,5,1,1,0.0,0.0,0.0,0.0,01/03/2026,31/05/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Single),,1,6,12,1,1,90.0,0.0,17.5,31.5,01/03/2026,31/05/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Single),,1,13,99,1,1,180.0,0.0,35.0,63.0,01/03/2026,31/05/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Single),,1,0,5,1,1,0.0,0.0,0.0,0.0,01/06/2026,15/06/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Single),,1,6,12,1,1,92.5,0.0,17.5,31.5,01/06/2026,15/06/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Single),,1,13,99,1,1,185.0,0.0,35.0,63.0,01/06/2026,15/06/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Single),,1,0,5,1,1,0.0,0.0,0.0,0.0,16/06/2026,15/09/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Single),,1,6,12,1,1,102.5,0.0,17.5,31.5,16/06/2026,15/09/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Single),,1,13,99,1,1,205.0,0.0,35.0,63.0,16/06/2026,15/09/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Single),,1,0,5,1,1,0.0,0.0,0.0,0.0,16/09/2026,31/10/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Single),,1,6,12,1,1,92.5,0.0,17.5,31.5,16/09/2026,31/10/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Single),,1,13,99,1,1,185.0,0.0,35.0,63.0,16/09/2026,31/10/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Single),,1,0,5,1,1,0.0,0.0,0.0,0.0,01/11/2026,20/12/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Single),,1,6,12,1,1,90.0,0.0,17.5,31.5,01/11/2026,20/12/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Single),,1,13,99,1,1,180.0,0.0,35.0,63.0,01/11/2026,20/12/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Single),,1,0,5,1,1,0.0,0.0,0.0,0.0,21/12/2026,06/01/2027
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Single),,1,6,12,1,1,102.5,0.0,17.5,31.5,21/12/2026,06/01/2027
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Single),,1,13,99,1,1,205.0,0.0,35.0,63.0,21/12/2026,06/01/2027
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Double),,2,0,5,1,2,0.0,0.0,0.0,0.0,07/01/2026,31/01/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Double),,2,6,12,1,2,52.5,105.0,17.5,31.5,07/01/2026,31/01/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Double),,2,13,99,1,2,105.0,105.0,35.0,63.0,07/01/2026,31/01/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Double),,2,0,5,1,2,0.0,0.0,0.0,0.0,01/02/2026,28/02/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Double),,2,6,12,1,2,53.75,107.5,17.5,31.5,01/02/2026,28/02/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Double),,2,13,99,1,2,107.5,107.5,35.0,63.0,01/02/2026,28/02/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Double),,2,0,5,1,2,0.0,0.0,0.0,0.0,01/03/2026,31/05/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Double),,2,6,12,1,2,52.5,105.0,17.5,31.5,01/03/2026,31/05/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Double),,2,13,99,1,2,105.0,105.0,35.0,63.0,01/03/2026,31/05/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Double),,2,0,5,1,2,0.0,0.0,0.0,0.0,01/06/2026,15/06/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Double),,2,6,12,1,2,53.75,107.5,17.5,31.5,01/06/2026,15/06/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Double),,2,13,99,1,2,107.5,107.5,35.0,63.0,01/06/2026,15/06/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Double),,2,0,5,1,2,0.0,0.0,0.0,0.0,16/06/2026,15/09/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Double),,2,6,12,1,2,58.75,117.5,17.5,31.5,16/06/2026,15/09/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Double),,2,13,99,1,2,117.5,117.5,35.0,63.0,16/06/2026,15/09/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Double),,2,0,5,1,2,0.0,0.0,0.0,0.0,16/09/2026,31/10/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Double),,2,6,12,1,2,53.75,107.5,17.5,31.5,16/09/2026,31/10/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Double),,2,13,99,1,2,107.5,107.5,35.0,63.0,16/09/2026,31/10/2026
,Mount Meru Hotel,,test,,0,,USD,Standand Room ( Double),,2,0,5,1,2,0.0,0.0,0.0,0.0,01/11/2026,20/12/2026
