location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Mount Meru Game Lodge,,Test,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,01/01/2026,14/03/2026
,Mount Meru Game Lodge,,Test,,0,,USD,Single Room,,1,6,12,1,1,77.5,0.0,25.0,45.0,01/01/2026,14/03/2026
,Mount Meru Game Lodge,,Test,,0,,USD,Single Room,,1,13,99,1,1,155.0,0.0,25.0,45.0,01/01/2026,14/03/2026
,Mount Meru Game Lodge,,Test,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,15/03/2026,14/06/2026
,Mount Meru Game Lodge,,Test,,0,,USD,Single Room,,1,6,12,1,1,52.5,0.0,25.0,45.0,15/03/2026,14/06/2026
,Mount Meru Game Lodge,,Test,,0,,USD,Single Room,,1,13,99,1,1,105.0,0.0,25.0,45.0,15/03/2026,14/06/2026
,Mount Meru Game Lodge,,Test,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,15/06/2026,31/10/2026
,Mount Meru Game Lodge,,Test,,0,,USD,Single Room,,1,6,12,1,1,77.5,0.0,25.0,45.0,15/06/2026,31/10/2026
,Mount Meru Game Lodge,,Test,,0,,USD,Single Room,,1,13,99,1,1,155.0,0.0,25.0,45.0,15/06/2026,31/10/2026
,Mount Meru Game Lodge,,Test,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,01/11/2026,15/12/2026
,Mount Meru Game Lodge,,Test,,0,,USD,Single Room,,1,6,12,1,1,52.5,0.0,25.0,45.0,01/11/2026,15/12/2026
,Mount Meru Game Lodge,,Test,,0,,USD,Single Room,,1,13,99,1,1,105.0,0.0,25.0,45.0,01/11/2026,15/12/2026
,Mount Meru Game Lodge,,Test,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,15/12/2026,31/12/2026
,Mount Meru Game Lodge,,Test,,0,,USD,Single Room,,1,6,12,1,1,77.5,0.0,25.0,45.0,15/12/2026,31/12/2026
,Mount Meru Game Lodge,,Test,,0,,USD,Single Room,,1,13,99,1,1,155.0,0.0,25.0,45.0,15/12/2026,31/12/2026
,Mount Meru Game Lodge,,Test,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/01/2026,14/03/2026
,Mount Meru Game Lodge,,Test,,0,,USD,Double Room,,2,6,12,1,2,57.5,115.0,25.0,45.0,01/01/2026,14/03/2026
,Mount Meru Game Lodge,,Test,,0,,USD,Double Room,,2,13,99,1,2,115.0,115.0,25.0,45.0,01/01/2026,14/03/2026
,Mount Meru Game Lodge,,Test,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,15/03/2026,14/06/2026
,Mount Meru Game Lodge,,Test,,0,,USD,Double Room,,2,6,12,1,2,34.25,68.5,25.0,45.0,15/03/2026,14/06/2026
,Mount Meru Game Lodge,,Test,,0,,USD,Double Room,,2,13,99,1,2,68.5,68.5,25.0,45.0,15/03/2026,14/06/2026
,Mount Meru Game Lodge,,Test,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,15/06/2026,31/10/2026
,Mount Meru Game Lodge,,Test,,0,,USD,Double Room,,2,6,12,1,2,57.5,115.0,25.0,45.0,15/06/2026,31/10/2026
,Mount Meru Game Lodge,,Test,,0,,USD,Double Room,,2,13,99,1,2,115.0,115.0,25.0,45.0,15/06/2026,31/10/2026
,Mount Meru Game Lodge,,Test,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/11/2026,15/12/2026
,Mount Meru Game Lodge,,Test,,0,,USD,Double Room,,2,6,12,1,2,34.25,68.5,25.0,45.0,01/11/2026,15/12/2026
,Mount Meru Game Lodge,,Test,,0,,USD,Double Room,,2,13,99,1,2,68.5,68.5,25.0,45.0,01/11/2026,15/12/2026
,Mount Meru Game Lodge,,Test,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,15/12/2026,31/12/2026
,Mount Meru Game Lodge,,Test,,0,,USD,Double Room,,2,6,12,1,2,57.5,115.0,25.0,45.0,15/12/2026,31/12/2026
,Mount Meru Game Lodge,,Test,,0,,USD,Double Room,,2,13,99,1,2,115.0,115.0,25.0,45.0,15/12/2026,31/12/2026
,Mount Meru Game Lodge,,Test,,0,,USD,Triple Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,01/01/2026,14/03/2026
,Mount Meru Game Lodge,,Test,,0,,USD,Triple Room,,3,6,12,1,3,47.5,95.0,25.0,45.0,01/01/2026,14/03/2026
,Mount Meru Game Lodge,,Test,,0,,USD,Triple Room,,3,13,99,1,3,95.0,95.0,25.0,45.0,01/01/2026,14/03/2026
,Mount Meru Game Lodge,,Test,,0,,USD,Triple Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,15/03/2026,14/06/2026
,Mount Meru Game Lodge,,Test,,0,,USD,Triple Room,,3,6,12,1,3,28.5,57.0,25.0,45.0,15/03/2026,14/06/2026
,Mount Meru Game Lodge,,Test,,0,,USD,Triple Room,,3,13,99,1,3,57.0,57.0,25.0,45.0,15/03/2026,14/06/2026
,Mount Meru Game Lodge,,Test,,0,,USD,Triple Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,15/06/2026,31/10/2026
,Mount Meru Game Lodge,,Test,,0,,USD,Triple Room,,3,6,12,1,3,47.5,95.0,25.0,45.0,15/06/2026,31/10/2026
,Mount Meru Game Lodge,,Test,,0,,USD,Triple Room,,3,13,99,1,3,95.0,95.0,25.0,45.0,15/06/2026,31/10/2026
