location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Amani Safari Lodge,,test,,0,,USD,Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
,Amani Safari Lodge,,test,,0,,USD,Single Room,,1,6,12,1,1,60.0,0.0,0.0,25.0,01/01/2026,31/12/2026
,Amani Safari Lodge,,test,,0,,USD,Single Room,,1,13,99,1,1,120.0,0.0,0.0,25.0,01/01/2026,31/12/2026
,Amani Safari Lodge,,test,,0,,USD,Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
,Amani Safari Lodge,,test,,0,,USD,Double Room,,2,6,12,1,2,37.5,75.0,0.0,25.0,01/01/2026,31/12/2026
,Amani Safari Lodge,,test,,0,,USD,Double Room,,2,13,99,1,2,75.0,75.0,0.0,25.0,01/01/2026,31/12/2026
,Amani Safari Lodge,,test,,0,,USD,Triple Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
,Amani Safari Lodge,,test,,0,,USD,Triple Room,,3,6,12,1,3,37.5,75.0,0.0,25.0,01/01/2026,31/12/2026
,Amani Safari Lodge,,test,,0,,USD,Triple Room,,3,13,99,1,3,75.0,75.0,0.0,25.0,01/01/2026,31/12/2026
,Amani Safari Lodge,,test,,0,,USD,Family Room,,4,0,5,1,4,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
,Amani Safari Lodge,,test,,0,,USD,Family Room,,4,6,12,1,4,37.5,75.0,0.0,25.0,01/01/2026,31/12/2026
,Amani Safari Lodge,,test,,0,,USD,Family Room,,4,13,99,1,4,75.0,75.0,0.0,25.0,01/01/2026,31/12/2026
