location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Tulia Boutique Hotel & Spa,,Test,,0,,USD,Standard Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
,Tulia Boutique Hotel & Spa,,Test,,0,,USD,Standard Single Room,,1,6,12,1,1,42.5,0.0,7.5,15.0,01/01/2026,31/12/2026
,Tulia Boutique Hotel & Spa,,Test,,0,,USD,Standard Single Room,,1,13,99,1,1,85.0,0.0,15.0,30.0,01/01/2026,31/12/2026
,Tulia Boutique Hotel & Spa,,Test,,0,,USD,Standard Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
,Tulia Boutique Hotel & Spa,,Test,,0,,USD,Standard Double Room,,2,6,12,1,2,23.75,47.5,7.5,15.0,01/01/2026,31/12/2026
,Tulia Boutique Hotel & Spa,,Test,,0,,USD,Standard Double Room,,2,13,99,1,2,47.5,47.5,15.0,30.0,01/01/2026,31/12/2026
,Tulia Boutique Hotel & Spa,,Test,,0,,USD,Deluxe Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
,Tulia Boutique Hotel & Spa,,Test,,0,,USD,Deluxe Single Room,,1,6,12,1,1,47.5,0.0,7.5,15.0,01/01/2026,31/12/2026
,Tulia Boutique Hotel & Spa,,Test,,0,,USD,Deluxe Single Room,,1,13,99,1,1,95.0,0.0,15.0,30.0,01/01/2026,31/12/2026
,Tulia Boutique Hotel & Spa,,Test,,0,,USD,Deluxe Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
,Tulia Boutique Hotel & Spa,,Test,,0,,USD,Deluxe Double Room,,2,6,12,1,2,26.25,52.5,7.5,15.0,01/01/2026,31/12/2026
,Tulia Boutique Hotel & Spa,,Test,,0,,USD,Deluxe Double Room,,2,13,99,1,2,52.5,52.5,15.0,30.0,01/01/2026,31/12/2026
,Tulia Boutique Hotel & Spa,,Test,,0,,USD,Twin Room  Single,,1,0,5,1,1,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
,Tulia Boutique Hotel & Spa,,Test,,0,,USD,Twin Room  Single,,1,6,12,1,1,47.5,0.0,7.5,15.0,01/01/2026,31/12/2026
,Tulia Boutique Hotel & Spa,,Test,,0,,USD,Twin Room  Single,,1,13,99,1,1,95.0,0.0,15.0,30.0,01/01/2026,31/12/2026
,Tulia Boutique Hotel & Spa,,Test,,0,,USD,Twin Room Double,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
,Tulia Boutique Hotel & Spa,,Test,,0,,USD,Twin Room Double,,2,6,12,1,2,26.25,52.5,7.5,15.0,01/01/2026,31/12/2026
,Tulia Boutique Hotel & Spa,,Test,,0,,USD,Twin Room Double,,2,13,99,1,2,52.5,52.5,15.0,30.0,01/01/2026,31/12/2026
,Tulia Boutique Hotel & Spa,,Test,,0,,USD,Premier Single Room,,1,0,5,1,1,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
,Tulia Boutique Hotel & Spa,,Test,,0,,USD,Premier Single Room,,1,6,12,1,1,52.5,0.0,7.5,15.0,01/01/2026,31/12/2026
,Tulia Boutique Hotel & Spa,,Test,,0,,USD,Premier Single Room,,1,13,99,1,1,105.0,0.0,15.0,30.0,01/01/2026,31/12/2026
,Tulia Boutique Hotel & Spa,,Test,,0,,USD,Rremier Double Room,,2,0,5,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
,Tulia Boutique Hotel & Spa,,Test,,0,,USD,Rremier Double Room,,2,6,12,1,2,27.5,55.0,7.5,15.0,01/01/2026,31/12/2026
,Tulia Boutique Hotel & Spa,,Test,,0,,USD,Rremier Double Room,,2,13,99,1,2,55.0,55.0,15.0,30.0,01/01/2026,31/12/2026
,Tulia Boutique Hotel & Spa,,Test,,0,,USD,Triple Room,,3,0,5,1,3,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
,Tulia Boutique Hotel & Spa,,Test,,0,,USD,Triple Room,,3,6,12,1,3,20.0,40.0,7.5,15.0,01/01/2026,31/12/2026
,Tulia Boutique Hotel & Spa,,Test,,0,,USD,Triple Room,,3,13,99,1,3,40.0,40.0,15.0,30.0,01/01/2026,31/12/2026
,Tulia Boutique Hotel & Spa,,Test,,0,,USD,Quad Room,,4,0,5,1,4,0.0,0.0,0.0,0.0,01/01/2026,31/12/2026
,Tulia Boutique Hotel & Spa,,Test,,0,,USD,Quad Room,,4,6,12,1,4,18.12,36.25,7.5,15.0,01/01/2026,31/12/2026
,Tulia Boutique Hotel & Spa,,Test,,0,,USD,Quad Room,,4,13,99,1,4,36.25,36.25,15.0,30.0,01/01/2026,31/12/2026
