location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Tarangire Luxury Hideaway Sangaiwe,,Test,,0,,USD,Single Room,,1,0,3,1,1,0.0,0.0,0.0,0.0,16/03/2026,31/05/2026
,Tarangire Luxury Hideaway Sangaiwe,,Test,,0,,USD,Single Room,,1,4,16,1,1,90.0,0.0,25.0,30.0,16/03/2026,31/05/2026
,Tarangire Luxury Hideaway Sangaiwe,,Test,,0,,USD,Single Room,,1,17,99,1,1,180.0,0.0,25.0,30.0,16/03/2026,31/05/2026
,Tarangire Luxury Hideaway Sangaiwe,,Test,,0,,USD,Single Room,,1,0,3,1,1,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Tarangire Luxury Hideaway Sangaiwe,,Test,,0,,USD,Single Room,,1,4,16,1,1,120.0,0.0,25.0,30.0,01/06/2026,31/10/2026
,Tarangire Luxury Hideaway Sangaiwe,,Test,,0,,USD,Single Room,,1,17,99,1,1,240.0,0.0,25.0,30.0,01/06/2026,31/10/2026
,Tarangire Luxury Hideaway Sangaiwe,,Test,,0,,USD,Single Room,,1,0,3,1,1,0.0,0.0,0.0,0.0,01/11/2026,19/12/2026
,Tarangire Luxury Hideaway Sangaiwe,,Test,,0,,USD,Single Room,,1,4,16,1,1,90.0,0.0,25.0,30.0,01/11/2026,19/12/2026
,Tarangire Luxury Hideaway Sangaiwe,,Test,,0,,USD,Single Room,,1,17,99,1,1,180.0,0.0,25.0,30.0,01/11/2026,19/12/2026
,Tarangire Luxury Hideaway Sangaiwe,,Test,,0,,USD,Single Room,,1,0,3,1,1,0.0,0.0,0.0,0.0,20/12/2026,15/03/2027
,Tarangire Luxury Hideaway Sangaiwe,,Test,,0,,USD,Single Room,,1,4,16,1,1,120.0,0.0,25.0,30.0,20/12/2026,15/03/2027
,Tarangire Luxury Hideaway Sangaiwe,,Test,,0,,USD,Single Room,,1,17,99,1,1,240.0,0.0,25.0,30.0,20/12/2026,15/03/2027
,Tarangire Luxury Hideaway Sangaiwe,,Test,,0,,USD,Single Room,,1,0,3,1,1,0.0,0.0,0.0,0.0,16/03/2027,31/05/2027
,Tarangire Luxury Hideaway Sangaiwe,,Test,,0,,USD,Single Room,,1,4,16,1,1,90.0,0.0,25.0,30.0,16/03/2027,31/05/2027
,Tarangire Luxury Hideaway Sangaiwe,,Test,,0,,USD,Single Room,,1,17,99,1,1,180.0,0.0,25.0,30.0,16/03/2027,31/05/2027
