location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Kerama Silent Lodge,,Test,,0,,USD,Executive Deluxe Room ( Single),,1,0,5,1,1,0.0,0.0,0.0,0.0,01/01/2025,31/12/2026
,Kerama Silent Lodge,,Test,,0,,USD,Executive Deluxe Room ( Single),,1,6,11,1,1,30.0,0.0,15.0,30.0,01/01/2025,31/12/2026
,Kerama Silent Lodge,,Test,,0,,USD,Executive Deluxe Room ( Single),,1,12,99,1,1,100.0,0.0,15.0,30.0,01/01/2025,31/12/2026
,Kerama Silent Lodge,,Test,,0,,USD,Executive Deluxe Room ( Double),,2,0,5,1,2,0.0,0.0,0.0,0.0,01/01/2025,31/12/2026
,Kerama Silent Lodge,,Test,,0,,USD,Executive Deluxe Room ( Double),,2,6,11,1,2,30.0,60.0,15.0,30.0,01/01/2025,31/12/2026
,Kerama Silent Lodge,,Test,,0,,USD,Executive Deluxe Room ( Double),,2,12,99,1,2,60.0,60.0,15.0,30.0,01/01/2025,31/12/2026
,Kerama Silent Lodge,,Test,,0,,USD,Executive Deluxe Room ( Triple),,3,0,5,1,3,0.0,0.0,0.0,0.0,01/01/2025,31/12/2026
,Kerama Silent Lodge,,Test,,0,,USD,Executive Deluxe Room ( Triple),,3,6,11,1,3,30.0,50.0,15.0,30.0,01/01/2025,31/12/2026
,Kerama Silent Lodge,,Test,,0,,USD,Executive Deluxe Room ( Triple),,3,12,99,1,3,50.0,50.0,15.0,30.0,01/01/2025,31/12/2026
,Kerama Silent Lodge,,Test,,0,,USD,Deluxe Room (Single),,1,0,5,1,1,0.0,0.0,0.0,0.0,01/01/2025,31/12/2026
,Kerama Silent Lodge,,Test,,0,,USD,Deluxe Room (Single),,1,6,11,1,1,30.0,0.0,15.0,30.0,01/01/2025,31/12/2026
,Kerama Silent Lodge,,Test,,0,,USD,Deluxe Room (Single),,1,12,99,1,1,80.0,0.0,15.0,30.0,01/01/2025,31/12/2026
,Kerama Silent Lodge,,Test,,0,,USD,Deluxe Room ( Double),,2,0,5,1,2,0.0,0.0,0.0,0.0,01/01/2025,31/12/2026
,Kerama Silent Lodge,,Test,,0,,USD,Deluxe Room ( Double),,2,6,11,1,2,30.0,45.0,15.0,30.0,01/01/2025,31/12/2026
,Kerama Silent Lodge,,Test,,0,,USD,Deluxe Room ( Double),,2,12,99,1,2,45.0,45.0,15.0,30.0,01/01/2025,31/12/2026
,Kerama Silent Lodge,,Test,,0,,USD,Deluxe Room ( Triple),,3,0,5,1,3,0.0,0.0,0.0,0.0,01/01/2025,31/12/2026
,Kerama Silent Lodge,,Test,,0,,USD,Deluxe Room ( Triple),,3,6,11,1,3,30.0,40.0,15.0,30.0,01/01/2025,31/12/2026
,Kerama Silent Lodge,,Test,,0,,USD,Deluxe Room ( Triple),,3,12,99,1,3,40.0,40.0,15.0,30.0,01/01/2025,31/12/2026
,Kerama Silent Lodge,,Test,,0,,USD,Villa Room ( Single),,1,0,5,1,1,0.0,0.0,0.0,0.0,01/01/2025,31/12/2026
,Kerama Silent Lodge,,Test,,0,,USD,Villa Room ( Single),,1,6,11,1,1,30.0,0.0,15.0,30.0,01/01/2025,31/12/2026
,Kerama Silent Lodge,,Test,,0,,USD,Villa Room ( Single),,1,12,99,1,1,110.0,0.0,15.0,30.0,01/01/2025,31/12/2026
,Kerama Silent Lodge,,Test,,0,,USD,Villa Room (Double),,2,0,5,1,2,0.0,0.0,0.0,0.0,01/01/2025,31/12/2026
,Kerama Silent Lodge,,Test,,0,,USD,Villa Room (Double),,2,6,11,1,2,30.0,60.0,15.0,30.0,01/01/2025,31/12/2026
,Kerama Silent Lodge,,Test,,0,,USD,Villa Room (Double),,2,12,99,1,2,60.0,60.0,15.0,30.0,01/01/2025,31/12/2026
,Kerama Silent Lodge,,Test,,0,,USD,Villa Room ( Triple),,3,0,5,1,3,0.0,0.0,0.0,0.0,01/01/2025,31/12/2026
,Kerama Silent Lodge,,Test,,0,,USD,Villa Room ( Triple),,3,6,11,1,3,30.0,50.0,15.0,30.0,01/01/2025,31/12/2026
,Kerama Silent Lodge,,Test,,0,,USD,Villa Room ( Triple),,3,12,99,1,3,50.0,50.0,15.0,30.0,01/01/2025,31/12/2026
,Kerama Silent Lodge,,Test,,0,,USD,Villa interconnecting Family Room,,5,0,5,1,5,0.0,0.0,0.0,0.0,01/01/2025,31/12/2026
,Kerama Silent Lodge,,Test,,0,,USD,Villa interconnecting Family Room,,5,6,11,1,5,30.0,51.0,15.0,30.0,01/01/2025,31/12/2026
,Kerama Silent Lodge,,Test,,0,,USD,Villa interconnecting Family Room,,5,12,99,1,5,51.0,51.0,15.0,30.0,01/01/2025,31/12/2026
,Kerama Silent Lodge,,Test,,0,,USD,Cottages Room ( Single),,1,0,5,1,1,0.0,0.0,0.0,0.0,01/01/2025,31/12/2026
,Kerama Silent Lodge,,Test,,0,,USD,Cottages Room ( Single),,1,6,11,1,1,30.0,0.0,15.0,30.0,01/01/2025,31/12/2026
,Kerama Silent Lodge,,Test,,0,,USD,Cottages Room ( Single),,1,12,99,1,1,120.0,0.0,15.0,30.0,01/01/2025,31/12/2026
,Kerama Silent Lodge,,Test,,0,,USD,Cottages Room ( Double),,2,0,5,1,2,0.0,0.0,0.0,0.0,01/01/2025,31/12/2026
