location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Lemala Mpingo Ridge,,Test,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/06/2026,30/09/2026
,Lemala Mpingo Ridge,,Test,,0,,USD,Single Room,,1,5,15,1,1,412.0,0.0,0.0,0.0,01/06/2026,30/09/2026
,Lemala Mpingo Ridge,,Test,,0,,USD,Single Room,,1,16,99,1,1,2082.14,0.0,0.0,0.0,01/06/2026,30/09/2026
,Lemala Mpingo Ridge,,Test,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/10/2026,19/12/2026
,Lemala Mpingo Ridge,,Test,,0,,USD,Single Room,,1,5,15,1,1,280.0,0.0,0.0,0.0,01/10/2026,19/12/2026
,Lemala Mpingo Ridge,,Test,,0,,USD,Single Room,,1,16,99,1,1,869.0,0.0,0.0,0.0,01/10/2026,19/12/2026
,Lemala Mpingo Ridge,,Test,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,20/12/2026,05/01/2027
,Lemala Mpingo Ridge,,Test,,0,,USD,Single Room,,1,5,15,1,1,412.0,0.0,0.0,0.0,20/12/2026,05/01/2027
,Lemala Mpingo Ridge,,Test,,0,,USD,Single Room,,1,16,99,1,1,2082.14,0.0,0.0,0.0,20/12/2026,05/01/2027
,Lemala Mpingo Ridge,,Test,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,06/01/2027,28/02/2027
,Lemala Mpingo Ridge,,Test,,0,,USD,Single Room,,1,5,15,1,1,280.0,0.0,0.0,0.0,06/01/2027,28/02/2027
,Lemala Mpingo Ridge,,Test,,0,,USD,Single Room,,1,16,99,1,1,869.0,0.0,0.0,0.0,06/01/2027,28/02/2027
,Lemala Mpingo Ridge,,Test,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/03/2027,31/05/2027
,Lemala Mpingo Ridge,,Test,,0,,USD,Single Room,,1,5,15,1,1,165.0,0.0,0.0,0.0,01/03/2027,31/05/2027
,Lemala Mpingo Ridge,,Test,,0,,USD,Single Room,,1,16,99,1,1,585.0,0.0,0.0,0.0,01/03/2027,31/05/2027
,Lemala Mpingo Ridge,,Test,,0,,USD,Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/06/2026,30/09/2026
,Lemala Mpingo Ridge,,Test,,0,,USD,Double Room,,2,5,15,1,2,412.0,1457.5,0.0,0.0,01/06/2026,30/09/2026
,Lemala Mpingo Ridge,,Test,,0,,USD,Double Room,,2,16,99,1,2,1457.5,1457.5,0.0,0.0,01/06/2026,30/09/2026
,Lemala Mpingo Ridge,,Test,,0,,USD,Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/10/2026,19/12/2026
,Lemala Mpingo Ridge,,Test,,0,,USD,Double Room,,2,5,15,1,2,280.0,869.0,0.0,0.0,01/10/2026,19/12/2026
,Lemala Mpingo Ridge,,Test,,0,,USD,Double Room,,2,16,99,1,2,869.0,869.0,0.0,0.0,01/10/2026,19/12/2026
,Lemala Mpingo Ridge,,Test,,0,,USD,Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,20/12/2026,05/01/2027
,Lemala Mpingo Ridge,,Test,,0,,USD,Double Room,,2,5,15,1,2,412.0,1457.5,0.0,0.0,20/12/2026,05/01/2027
,Lemala Mpingo Ridge,,Test,,0,,USD,Double Room,,2,16,99,1,2,1457.5,1457.5,0.0,0.0,20/12/2026,05/01/2027
,Lemala Mpingo Ridge,,Test,,0,,USD,Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,06/01/2027,28/02/2027
,Lemala Mpingo Ridge,,Test,,0,,USD,Double Room,,2,5,15,1,2,280.0,869.0,0.0,0.0,06/01/2027,28/02/2027
,Lemala Mpingo Ridge,,Test,,0,,USD,Double Room,,2,16,99,1,2,869.0,869.0,0.0,0.0,06/01/2027,28/02/2027
,Lemala Mpingo Ridge,,Test,,0,,USD,Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/03/2027,31/05/2027
,Lemala Mpingo Ridge,,Test,,0,,USD,Double Room,,2,5,15,1,2,165.0,585.0,0.0,0.0,01/03/2027,31/05/2027
,Lemala Mpingo Ridge,,Test,,0,,USD,Double Room,,2,16,99,1,2,585.0,585.0,0.0,0.0,01/03/2027,31/05/2027
,Lemala Mpingo Ridge,,Test,,0,,USD,Triple Room,,3,0,4,1,3,0.0,0.0,0.0,0.0,01/06/2026,30/09/2026
,Lemala Mpingo Ridge,,Test,,0,,USD,Triple Room,,3,5,15,1,3,412.0,1020.25,0.0,0.0,01/06/2026,30/09/2026
,Lemala Mpingo Ridge,,Test,,0,,USD,Triple Room,,3,16,99,1,3,1020.25,1020.25,0.0,0.0,01/06/2026,30/09/2026
,Lemala Mpingo Ridge,,Test,,0,,USD,Triple Room,,3,0,4,1,3,0.0,0.0,0.0,0.0,01/10/2026,19/12/2026
,Lemala Mpingo Ridge,,Test,,0,,USD,Triple Room,,3,5,15,1,3,280.0,608.3,0.0,0.0,01/10/2026,19/12/2026
,Lemala Mpingo Ridge,,Test,,0,,USD,Triple Room,,3,16,99,1,3,608.3,608.3,0.0,0.0,01/10/2026,19/12/2026
,Lemala Mpingo Ridge,,Test,,0,,USD,Triple Room,,3,0,4,1,3,0.0,0.0,0.0,0.0,20/12/2026,05/01/2027
,Lemala Mpingo Ridge,,Test,,0,,USD,Triple Room,,3,5,15,1,3,412.0,1020.25,0.0,0.0,20/12/2026,05/01/2027
,Lemala Mpingo Ridge,,Test,,0,,USD,Triple Room,,3,16,99,1,3,1020.25,1020.25,0.0,0.0,20/12/2026,05/01/2027
,Lemala Mpingo Ridge,,Test,,0,,USD,Triple Room,,3,0,4,1,3,0.0,0.0,0.0,0.0,06/01/2027,28/02/2027
,Lemala Mpingo Ridge,,Test,,0,,USD,Triple Room,,3,5,15,1,3,280.0,608.3,0.0,0.0,06/01/2027,28/02/2027
,Lemala Mpingo Ridge,,Test,,0,,USD,Triple Room,,3,16,99,1,3,608.3,608.3,0.0,0.0,06/01/2027,28/02/2027
,Lemala Mpingo Ridge,,Test,,0,,USD,Triple Room,,3,0,4,1,3,0.0,0.0,0.0,0.0,01/03/2027,31/05/2027
,Lemala Mpingo Ridge,,Test,,0,,USD,Triple Room,,3,5,15,1,3,165.0,409.5,0.0,0.0,01/03/2027,31/05/2027
,Lemala Mpingo Ridge,,Test,,0,,USD,Triple Room,,3,16,99,1,3,409.5,409.5,0.0,0.0,01/03/2027,31/05/2027
