location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Single),,1,0,3,1,1,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Single),,1,4,12,1,1,44.5,0.0,20.0,45.0,01/01/2026,31/03/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Single),,1,13,99,1,1,89.0,0.0,20.0,45.0,01/01/2026,31/03/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Single),,1,0,3,1,1,0.0,0.0,0.0,0.0,01/04/2026,14/06/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Single),,1,4,12,1,1,35.5,0.0,20.0,45.0,01/04/2026,14/06/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Single),,1,13,99,1,1,71.0,0.0,20.0,45.0,01/04/2026,14/06/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Single),,1,0,3,1,1,0.0,0.0,0.0,0.0,15/06/2026,31/10/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Single),,1,4,12,1,1,44.5,0.0,20.0,45.0,15/06/2026,31/10/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Single),,1,13,99,1,1,89.0,0.0,20.0,45.0,15/06/2026,31/10/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Single),,1,0,3,1,1,0.0,0.0,0.0,0.0,01/11/2026,14/12/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Single),,1,4,12,1,1,35.5,0.0,20.0,45.0,01/11/2026,14/12/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Single),,1,13,99,1,1,71.0,0.0,20.0,45.0,01/11/2026,14/12/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Single),,1,0,3,1,1,0.0,0.0,0.0,0.0,15/12/2026,31/12/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Single),,1,4,12,1,1,47.5,0.0,20.0,45.0,15/12/2026,31/12/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Single),,1,13,99,1,1,95.0,0.0,20.0,45.0,15/12/2026,31/12/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Double),,2,0,3,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Double),,2,4,12,1,2,32.75,65.5,20.0,45.0,01/01/2026,31/03/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Double),,2,13,99,1,2,65.5,65.5,20.0,45.0,01/01/2026,31/03/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Double),,2,0,3,1,2,0.0,0.0,0.0,0.0,01/04/2026,14/06/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Double),,2,4,12,1,2,27.0,54.0,20.0,45.0,01/04/2026,14/06/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Double),,2,13,99,1,2,54.0,54.0,20.0,45.0,01/04/2026,14/06/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Double),,2,0,3,1,2,0.0,0.0,0.0,0.0,15/06/2026,31/10/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Double),,2,4,12,1,2,32.75,65.5,20.0,45.0,15/06/2026,31/10/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Double),,2,13,99,1,2,65.5,65.5,20.0,45.0,15/06/2026,31/10/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Double),,2,0,3,1,2,0.0,0.0,0.0,0.0,01/11/2026,14/12/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Double),,2,4,12,1,2,27.0,54.0,20.0,45.0,01/11/2026,14/12/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Double),,2,13,99,1,2,54.0,54.0,20.0,45.0,01/11/2026,14/12/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Double),,2,0,3,1,2,0.0,0.0,0.0,0.0,15/12/2026,31/12/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Double),,2,4,12,1,2,43.25,86.5,20.0,45.0,15/12/2026,31/12/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Double),,2,13,99,1,2,86.5,86.5,20.0,45.0,15/12/2026,31/12/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Triple),,3,0,3,1,3,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Triple),,3,4,12,1,3,28.34,56.67,20.0,45.0,01/01/2026,31/03/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Triple),,3,13,99,1,3,56.67,56.67,20.0,45.0,01/01/2026,31/03/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Triple),,3,0,3,1,3,0.0,0.0,0.0,0.0,01/04/2026,14/06/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Triple),,3,4,12,1,3,24.5,49.0,20.0,45.0,01/04/2026,14/06/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Triple),,3,13,99,1,3,49.0,49.0,20.0,45.0,01/04/2026,14/06/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Triple),,3,0,3,1,3,0.0,0.0,0.0,0.0,15/06/2026,31/10/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Triple),,3,4,12,1,3,28.34,56.67,20.0,45.0,15/06/2026,31/10/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Triple),,3,13,99,1,3,56.67,56.67,20.0,45.0,15/06/2026,31/10/2026
,Heart And Soul Lodge,,Test,,0,,USD,Standard Suite Room (Triple),,3,0,3,1,3,0.0,0.0,0.0,0.0,01/11/2026,14/12/2026
