location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Neptune Ngorongoro Lodge,,test,,0,,USD,Luxury Suite Double,,2,0,1,1,2,0.0,0.0,0.0,0.0,05/01/2026,28/02/2026
,Neptune Ngorongoro Lodge,,test,,0,,USD,Luxury Suite Double,,2,2,12,1,2,219.5,439.0,0.0,0.0,05/01/2026,28/02/2026
,Neptune Ngorongoro Lodge,,test,,0,,USD,Luxury Suite Double,,2,13,99,1,2,439.0,439.0,0.0,0.0,05/01/2026,28/02/2026
,Neptune Ngorongoro Lodge,,test,,0,,USD,Luxury Suite Double,,2,0,1,1,2,0.0,0.0,0.0,0.0,01/03/2026,31/05/2026
,Neptune Ngorongoro Lodge,,test,,0,,USD,Luxury Suite Double,,2,2,12,1,2,137.0,274.0,0.0,0.0,01/03/2026,31/05/2026
,Neptune Ngorongoro Lodge,,test,,0,,USD,Luxury Suite Double,,2,13,99,1,2,274.0,274.0,0.0,0.0,01/03/2026,31/05/2026
,Neptune Ngorongoro Lodge,,test,,0,,USD,Luxury Suite Double,,2,0,1,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Neptune Ngorongoro Lodge,,test,,0,,USD,Luxury Suite Double,,2,2,12,1,2,250.0,500.0,0.0,0.0,01/06/2026,31/10/2026
,Neptune Ngorongoro Lodge,,test,,0,,USD,Luxury Suite Double,,2,13,99,1,2,500.0,500.0,0.0,0.0,01/06/2026,31/10/2026
,Neptune Ngorongoro Lodge,,test,,0,,USD,Luxury Suite Double,,2,0,1,1,2,0.0,0.0,0.0,0.0,01/11/2026,17/12/2026
,Neptune Ngorongoro Lodge,,test,,0,,USD,Luxury Suite Double,,2,2,12,1,2,146.5,293.0,0.0,0.0,01/11/2026,17/12/2026
,Neptune Ngorongoro Lodge,,test,,0,,USD,Luxury Suite Double,,2,13,99,1,2,293.0,293.0,0.0,0.0,01/11/2026,17/12/2026
,Neptune Ngorongoro Lodge,,test,,0,,USD,Luxury Suite Double,,2,0,1,1,2,0.0,0.0,0.0,0.0,18/12/2026,03/01/2027
,Neptune Ngorongoro Lodge,,test,,0,,USD,Luxury Suite Double,,2,2,12,1,2,293.5,587.0,0.0,0.0,18/12/2026,03/01/2027
,Neptune Ngorongoro Lodge,,test,,0,,USD,Luxury Suite Double,,2,13,99,1,2,587.0,587.0,0.0,0.0,18/12/2026,03/01/2027
,Neptune Ngorongoro Lodge,,test,,0,,USD,Luxury Suite  Single,,1,0,1,1,1,0.0,0.0,0.0,0.0,05/01/2026,28/02/2026
,Neptune Ngorongoro Lodge,,test,,0,,USD,Luxury Suite  Single,,1,2,12,1,1,329.5,0.0,0.0,0.0,05/01/2026,28/02/2026
,Neptune Ngorongoro Lodge,,test,,0,,USD,Luxury Suite  Single,,1,13,99,1,1,659.0,0.0,0.0,0.0,05/01/2026,28/02/2026
,Neptune Ngorongoro Lodge,,test,,0,,USD,Luxury Suite  Single,,1,0,1,1,1,0.0,0.0,0.0,0.0,01/03/2026,31/05/2026
,Neptune Ngorongoro Lodge,,test,,0,,USD,Luxury Suite  Single,,1,2,12,1,1,205.5,0.0,0.0,0.0,01/03/2026,31/05/2026
,Neptune Ngorongoro Lodge,,test,,0,,USD,Luxury Suite  Single,,1,13,99,1,1,411.0,0.0,0.0,0.0,01/03/2026,31/05/2026
,Neptune Ngorongoro Lodge,,test,,0,,USD,Luxury Suite  Single,,1,0,1,1,1,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Neptune Ngorongoro Lodge,,test,,0,,USD,Luxury Suite  Single,,1,2,12,1,1,375.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Neptune Ngorongoro Lodge,,test,,0,,USD,Luxury Suite  Single,,1,13,99,1,1,750.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Neptune Ngorongoro Lodge,,test,,0,,USD,Luxury Suite  Single,,1,0,1,1,1,0.0,0.0,0.0,0.0,01/11/2026,17/12/2026
,Neptune Ngorongoro Lodge,,test,,0,,USD,Luxury Suite  Single,,1,2,12,1,1,220.0,0.0,0.0,0.0,01/11/2026,17/12/2026
,Neptune Ngorongoro Lodge,,test,,0,,USD,Luxury Suite  Single,,1,13,99,1,1,440.0,0.0,0.0,0.0,01/11/2026,17/12/2026
,Neptune Ngorongoro Lodge,,test,,0,,USD,Luxury Suite  Single,,1,0,1,1,1,0.0,0.0,0.0,0.0,18/12/2026,03/01/2027
,Neptune Ngorongoro Lodge,,test,,0,,USD,Luxury Suite  Single,,1,2,12,1,1,440.5,0.0,0.0,0.0,18/12/2026,03/01/2027
,Neptune Ngorongoro Lodge,,test,,0,,USD,Luxury Suite  Single,,1,13,99,1,1,881.0,0.0,0.0,0.0,18/12/2026,03/01/2027
