location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Baobab Migration Camps,,test,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/01/2026,28/02/2026
,Baobab Migration Camps,,test,,0,,USD,Single Room,,1,5,12,1,1,191.0,0.0,0.0,0.0,01/01/2026,28/02/2026
,Baobab Migration Camps,,test,,0,,USD,Single Room,,1,13,99,1,1,288.0,0.0,0.0,0.0,01/01/2026,28/02/2026
,Baobab Migration Camps,,test,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/03/2026,31/03/2026
,Baobab Migration Camps,,test,,0,,USD,Single Room,,1,5,12,1,1,94.0,0.0,0.0,0.0,01/03/2026,31/03/2026
,Baobab Migration Camps,,test,,0,,USD,Single Room,,1,13,99,1,1,135.0,0.0,0.0,0.0,01/03/2026,31/03/2026
,Baobab Migration Camps,,test,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Baobab Migration Camps,,test,,0,,USD,Single Room,,1,5,12,1,1,191.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Baobab Migration Camps,,test,,0,,USD,Single Room,,1,13,99,1,1,288.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Baobab Migration Camps,,test,,0,,USD,Single Room,,1,0,4,1,1,0.0,0.0,0.0,0.0,15/12/2026,31/12/2026
,Baobab Migration Camps,,test,,0,,USD,Single Room,,1,5,12,1,1,191.0,0.0,0.0,0.0,15/12/2026,31/12/2026
,Baobab Migration Camps,,test,,0,,USD,Single Room,,1,13,99,1,1,288.0,0.0,0.0,0.0,15/12/2026,31/12/2026
,Baobab Migration Camps,,test,,0,,USD,Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2026,28/02/2026
,Baobab Migration Camps,,test,,0,,USD,Double Room,,2,5,12,1,2,191.0,254.0,0.0,0.0,01/01/2026,28/02/2026
,Baobab Migration Camps,,test,,0,,USD,Double Room,,2,13,99,1,2,254.0,254.0,0.0,0.0,01/01/2026,28/02/2026
,Baobab Migration Camps,,test,,0,,USD,Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/03/2026,31/03/2026
,Baobab Migration Camps,,test,,0,,USD,Double Room,,2,5,12,1,2,94.0,125.0,0.0,0.0,01/03/2026,31/03/2026
,Baobab Migration Camps,,test,,0,,USD,Double Room,,2,13,99,1,2,125.0,125.0,0.0,0.0,01/03/2026,31/03/2026
,Baobab Migration Camps,,test,,0,,USD,Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Baobab Migration Camps,,test,,0,,USD,Double Room,,2,5,12,1,2,191.0,254.0,0.0,0.0,01/06/2026,31/10/2026
,Baobab Migration Camps,,test,,0,,USD,Double Room,,2,13,99,1,2,254.0,254.0,0.0,0.0,01/06/2026,31/10/2026
,Baobab Migration Camps,,test,,0,,USD,Double Room,,2,0,4,1,2,0.0,0.0,0.0,0.0,15/12/2026,31/12/2026
,Baobab Migration Camps,,test,,0,,USD,Double Room,,2,5,12,1,2,191.0,254.0,0.0,0.0,15/12/2026,31/12/2026
,Baobab Migration Camps,,test,,0,,USD,Double Room,,2,13,99,1,2,254.0,254.0,0.0,0.0,15/12/2026,31/12/2026
,Baobab Migration Camps,,test,,0,,USD,Triple Room,,3,0,4,1,3,0.0,0.0,0.0,0.0,01/01/2026,28/02/2026
,Baobab Migration Camps,,test,,0,,USD,Triple Room,,3,5,12,1,3,191.0,216.0,0.0,0.0,01/01/2026,28/02/2026
,Baobab Migration Camps,,test,,0,,USD,Triple Room,,3,13,99,1,3,216.0,216.0,0.0,0.0,01/01/2026,28/02/2026
,Baobab Migration Camps,,test,,0,,USD,Triple Room,,3,0,4,1,3,0.0,0.0,0.0,0.0,01/03/2026,31/03/2026
,Baobab Migration Camps,,test,,0,,USD,Triple Room,,3,5,12,1,3,94.0,116.0,0.0,0.0,01/03/2026,31/03/2026
,Baobab Migration Camps,,test,,0,,USD,Triple Room,,3,13,99,1,3,116.0,116.0,0.0,0.0,01/03/2026,31/03/2026
,Baobab Migration Camps,,test,,0,,USD,Triple Room,,3,0,4,1,3,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Baobab Migration Camps,,test,,0,,USD,Triple Room,,3,5,12,1,3,191.0,216.0,0.0,0.0,01/06/2026,31/10/2026
,Baobab Migration Camps,,test,,0,,USD,Triple Room,,3,13,99,1,3,216.0,216.0,0.0,0.0,01/06/2026,31/10/2026
,Baobab Migration Camps,,test,,0,,USD,Triple Room,,3,0,4,1,3,0.0,0.0,0.0,0.0,15/12/2026,31/12/2026
,Baobab Migration Camps,,test,,0,,USD,Triple Room,,3,5,12,1,3,191.0,216.0,0.0,0.0,15/12/2026,31/12/2026
,Baobab Migration Camps,,test,,0,,USD,Triple Room,,3,13,99,1,3,216.0,216.0,0.0,0.0,15/12/2026,31/12/2026
