location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Lake Natron  Eco Camp,,Test,,0,,USD,Single Tent,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/01/2026,30/06/2026
,Lake Natron  Eco Camp,,Test,,0,,USD,Single Tent,,1,3,8,1,1,20.0,0.0,19.0,36.0,01/01/2026,30/06/2026
,Lake Natron  Eco Camp,,Test,,0,,USD,Single Tent,,1,9,12,1,1,32.0,0.0,19.0,36.0,01/01/2026,30/06/2026
,Lake Natron  Eco Camp,,Test,,0,,USD,Single Tent,,1,13,99,1,1,40.0,0.0,19.0,36.0,01/01/2026,30/06/2026
,Lake Natron  Eco Camp,,Test,,0,,USD,Single Tent,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/07/2026,31/10/2026
,Lake Natron  Eco Camp,,Test,,0,,USD,Single Tent,,1,3,8,1,1,20.0,0.0,19.0,36.0,01/07/2026,31/10/2026
,Lake Natron  Eco Camp,,Test,,0,,USD,Single Tent,,1,9,12,1,1,32.0,0.0,19.0,36.0,01/07/2026,31/10/2026
,Lake Natron  Eco Camp,,Test,,0,,USD,Single Tent,,1,13,99,1,1,40.0,0.0,19.0,36.0,01/07/2026,31/10/2026
,Lake Natron  Eco Camp,,Test,,0,,USD,Single Tent,,1,0,2,1,1,0.0,0.0,0.0,0.0,01/11/2026,31/12/2026
,Lake Natron  Eco Camp,,Test,,0,,USD,Single Tent,,1,3,8,1,1,20.0,0.0,19.0,36.0,01/11/2026,31/12/2026
,Lake Natron  Eco Camp,,Test,,0,,USD,Single Tent,,1,9,12,1,1,32.0,0.0,19.0,36.0,01/11/2026,31/12/2026
,Lake Natron  Eco Camp,,Test,,0,,USD,Single Tent,,1,13,99,1,1,40.0,0.0,19.0,36.0,01/11/2026,31/12/2026
,Lake Natron  Eco Camp,,Test,,0,,USD,Double  Tent,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/01/2026,30/06/2026
,Lake Natron  Eco Camp,,Test,,0,,USD,Double  Tent,,2,3,8,1,2,17.75,35.5,14.0,36.0,01/01/2026,30/06/2026
,Lake Natron  Eco Camp,,Test,,0,,USD,Double  Tent,,2,9,12,1,2,28.4,35.5,14.0,36.0,01/01/2026,30/06/2026
,Lake Natron  Eco Camp,,Test,,0,,USD,Double  Tent,,2,13,99,1,2,35.5,35.5,14.0,36.0,01/01/2026,30/06/2026
,Lake Natron  Eco Camp,,Test,,0,,USD,Double  Tent,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/07/2026,31/10/2026
,Lake Natron  Eco Camp,,Test,,0,,USD,Double  Tent,,2,3,8,1,2,17.75,35.5,14.0,36.0,01/07/2026,31/10/2026
,Lake Natron  Eco Camp,,Test,,0,,USD,Double  Tent,,2,9,12,1,2,28.4,35.5,14.0,36.0,01/07/2026,31/10/2026
,Lake Natron  Eco Camp,,Test,,0,,USD,Double  Tent,,2,13,99,1,2,35.5,35.5,14.0,36.0,01/07/2026,31/10/2026
,Lake Natron  Eco Camp,,Test,,0,,USD,Double  Tent,,2,0,2,1,2,0.0,0.0,0.0,0.0,01/11/2026,31/12/2026
,Lake Natron  Eco Camp,,Test,,0,,USD,Double  Tent,,2,3,8,1,2,17.75,35.5,14.0,36.0,01/11/2026,31/12/2026
,Lake Natron  Eco Camp,,Test,,0,,USD,Double  Tent,,2,9,12,1,2,28.4,35.5,14.0,36.0,01/11/2026,31/12/2026
,Lake Natron  Eco Camp,,Test,,0,,USD,Double  Tent,,2,13,99,1,2,35.5,35.5,14.0,36.0,01/11/2026,31/12/2026
,Lake Natron  Eco Camp,,Test,,0,,USD,Triple Tent,,3,0,2,1,3,0.0,0.0,0.0,0.0,01/01/2026,30/06/2026
,Lake Natron  Eco Camp,,Test,,0,,USD,Triple Tent,,3,3,8,1,3,20.0,40.0,15.0,27.0,01/01/2026,30/06/2026
,Lake Natron  Eco Camp,,Test,,0,,USD,Triple Tent,,3,9,12,1,3,32.0,40.0,15.0,27.0,01/01/2026,30/06/2026
,Lake Natron  Eco Camp,,Test,,0,,USD,Triple Tent,,3,13,99,1,3,40.0,40.0,15.0,27.0,01/01/2026,30/06/2026
,Lake Natron  Eco Camp,,Test,,0,,USD,Triple Tent,,3,0,2,1,3,0.0,0.0,0.0,0.0,01/07/2026,31/10/2026
,Lake Natron  Eco Camp,,Test,,0,,USD,Triple Tent,,3,3,8,1,3,20.0,40.0,15.0,27.0,01/07/2026,31/10/2026
,Lake Natron  Eco Camp,,Test,,0,,USD,Triple Tent,,3,9,12,1,3,32.0,40.0,15.0,27.0,01/07/2026,31/10/2026
,Lake Natron  Eco Camp,,Test,,0,,USD,Triple Tent,,3,13,99,1,3,40.0,40.0,15.0,27.0,01/07/2026,31/10/2026
,Lake Natron  Eco Camp,,Test,,0,,USD,Triple Tent,,3,0,2,1,3,0.0,0.0,0.0,0.0,01/11/2026,31/12/2026
,Lake Natron  Eco Camp,,Test,,0,,USD,Triple Tent,,3,3,8,1,3,20.0,40.0,15.0,27.0,01/11/2026,31/12/2026
,Lake Natron  Eco Camp,,Test,,0,,USD,Triple Tent,,3,9,12,1,3,32.0,40.0,15.0,27.0,01/11/2026,31/12/2026
,Lake Natron  Eco Camp,,Test,,0,,USD,Triple Tent,,3,13,99,1,3,40.0,40.0,15.0,27.0,01/11/2026,31/12/2026
